,https://roic.ai/company/DOMO,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , 
1,Revenue,74540000,108524000,142464000,173395000,210180000,257961000
2,COGS,33195000,44919000,49554000,55930000,56748000,67146000
3,Gross Profit,41345000,63605000,92910000,117465000,153432000,190815000
4,Gross Profit Ratio,0.5547,0.5861,0.6522,0.6774,0.7300,0.7397
5,Research and Development Exp.,76164000,78261000,75740000,69224000,66474000,81027000
6,General and Administrative Exp.,29106000,29323000,30176000,35941000,42708000,54536000
7,Selling and Marketing Exp.,118935000,131802000,131081000,127567000,117335000,143722000
8,"Selling, General and Administrative Exp.",148041000,161125000,161257000,163508000,160043000,198258000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,224205000,239386000,236997000,232732000,226517000,279285000
11,COGS and Expenses,257400000,284305000,286551000,288662000,283265000,346431000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,5199000,8131000,8787000,6917000,4765000,5363000
15,EBITDA,-177148000,-168046000,-144274000,-117985000,-79460000,-97209000
16,EBITDA ratio,-2.3765,-1.5485,-1.0127,-0.6804,-0.3781,-0.3768
17,Operating Income,-182860000,-175781000,-144087000,-115267000,-73085000,-88470000
18,Operating Income ratio,-2.4532,-1.6197,-1.0114,-0.6648,-0.3477,-0.3430
19,Total Other Income Expenses (Gains),513000,-396000,-8974000,-9635000,-11140000,-14102000
20,Income Before Tax,-182347000,-176177000,-153061000,-124902000,-84225000,-102572000
21,Income Before Tax Ratio,-2.4463,-1.6234,-1.0744,-0.7203,-0.4007,-0.3976
22,Income Tax expense (Gain),773000,385000,1248000,754000,409000,-461000
23,Net Income,-183120000,-176562000,-154309000,-125656000,-84634000,-102111000
24,Net Income ratio,-2.4567,-1.6269,-1.0831,-0.7247,-0.4027,-0.3958
25,EPS,-7.34,-7.08,-9.43,-4.57,-2.89,-3.19
26,EPS Diluted,-7.34,-7.08,-9.43,-4.57,-2.89,-3.19
27,Weighted Average Shares Outstanding,24953806,24953806,16358000,27520000,29308000,32021000
28,Weighted Average Shares Outstanding Diluted,24953806,24953806,16358000,27520000,29308000,32021000
