,https://roic.ai/company/ZIVO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,1680,49058,95967,297295,161340,176903,79140,82725,103891,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,1863,75284,191663,252877,167922,130036,63693,51807,138252,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,-183,-26226,-95696,44418,-6582,46867,15447,30918,-34361,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,-0.1089,-0.5346,-0.9972,0.1494,-0.0408,0.2649,0.1952,0.3737,-0.3307,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,55707,192366,118111,333280,323186,148831,339315,395573,377893,677490,1018023,1971175,1033351,788971,2381222,2814991,2307033,3754913
6,General and Administrative Exp.,- -,- -,- -,484927,3624109,2965796,3550778,1904914,898900,2104165,3599600,1512325,1403103,2092174,1592049,2022929,2701473,3948964,3315652,6045317,1948423
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,209189,225132,96790,13729,- -,- -,198632,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,3430,484927,3624109,2965796,3550778,1904914,1108089,2329297,3696390,1526054,1403103,2092174,1790681,2022929,2701473,3948964,3315652,6045317,4820762
9,Other Expenses,3611,2055,- -,- -,15000,- -,-582,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2872339
10,Operating Expenses,3611,2055,- -,540634,3831475,3083907,3883476,2228100,1256920,2668612,4091963,1903947,2080593,3110197,3761856,3056280,3490444,6330186,6130643,8352350,5703336
11,COGS and Expenses,3611,2055,3430,542497,3906759,3275570,4136353,2396022,1386956,2732305,4143770,2042199,2080593,3110197,3761856,3056280,3490444,6330186,6130643,8352350,8575675
