,https://roic.ai/company/KRTX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,36964000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,3616000,11536000,24536000,43408000,128200000
6,General and Administrative Exp.,1190000,2974000,20869000,28408000,52617000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1190000,2974000,20869000,28408000,52617000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,4806000,14510000,45405000,71816000,180817000
11,COGS and Expenses,4806000,14510000,45405000,71816000,180817000
12,Interest Income ,- -,25000,2528000,3305000,502000
13,Interest Expense (Gain),1171000,2583000,945000,- -,- -
14,Depreciation and Amortization,1000,6000,58000,145000,506000
15,EBITDA,-4805000,-14479000,-45347000,-68366000,-143293000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-3.8766
17,Operating Income,-4806000,-14510000,-45405000,-71816000,-143853000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-3.8917
19,Total Other Income Expenses (Gains),-1226000,-3002000,1448000,3305000,54000
20,Income Before Tax,-6032000,-17512000,-43957000,-68511000,-143799000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-3.8902
22,Income Tax expense (Gain),- -,- -,- -,43000,6000
23,Net Income,-6032000,-17512000,-43957000,-68554000,-143805000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-3.8904
25,EPS,-0.81,-2.36,-3.68,-2.59,-0.00
26,EPS Diluted,-0.81,-2.36,-3.68,-2.59,-0.00
27,Weighted Average Shares Outstanding,7421258,7421258,11958152,26446006,29572289
28,Weighted Average Shares Outstanding Diluted,7421258,7421258,11958152,26446006,29572289
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1771917/000156459020012311/0001564590-20-012311-index.html,https://www.sec.gov/Archives/edgar/data/1771917/000156459021008416/0001564590-21-008416-index.htm,https://www.sec.gov/Archives/edgar/data/1771917/000095017022001855/0000950170-22-001855-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,1942000,85526000,208929000,53048000,206953000
32,Short-Term Investments,- -,4983000,180468000,269282000,287038000
33,Cash and Short-Term Investments,1942000,90509000,389397000,322330000,493991000
34,Net Receivables,- -,- -,- -,- -,1750000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,175000,1709000,3309000,22269000,21593000
37,Total Current Assets,2117000,92218000,392706000,344599000,517334000
38,PP&E,12000,138000,195000,2869000,9545000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
