,https://roic.ai/company/CCLP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,99944000,90573000,80932000,95200000,108600000,121300000,282647000,457641000,311363000,295566000,438663000,476581000,301587000,304171000
2,COGS,44189000,40959000,37759000,53200000,57500000,68100000,174667000,290660000,191260000,193498000,308397000,317499000,254240000,168687000
3,Gross Profit,55755000,49614000,43173000,42000000,51100000,53200000,107980000,166981000,120103000,102068000,130266000,159082000,47347000,135484000
4,Gross Profit Ratio,0.5579,0.5478,0.5334,0.4412,0.4705,0.4386,0.3820,0.3649,0.3857,0.3453,0.2970,0.3338,0.1570,0.4454
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,14352000,13193000,14295000,14300000,17300000,17500000,32100000,43479000,36222000,33438000,39600000,43100000,34295000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",14352000,13193000,14295000,14300000,17300000,17500000,32100000,43479000,36222000,33438000,39600000,43100000,34295000,43299000
9,Other Expenses,12112000,13823000,13070000,13978000,14685000,14609000,41158000,81838000,72123000,69140000,70500000,76663000,- -,- -
10,Operating Expenses,26464000,27016000,27365000,28278000,31985000,32109000,73258000,125317000,108345000,102578000,110100000,119763000,34295000,43299000
11,COGS and Expenses,70653000,67975000,65124000,81000000,88900000,101000000,259597000,569408000,404545000,293508000,421279000,439356000,288535000,211986000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),10990000,11980000,38000,-5100000,25000,469000,12964000,32178000,38055000,43135000,52585000,-53375000,54468000,54791000
14,Depreciation and Amortization,12112000,13823000,13112000,12521000,13227000,14349000,40879000,81838000,72123000,69140000,70500000,76663000,80533000,78234000
15,EBITDA,41229000,36503000,28807000,16626000,32905000,34676000,63929000,-32715000,-26095000,74600000,88722000,5668000,64305000,87705000
16,EBITDA ratio,0.4125,0.4030,0.3559,0.1746,0.3030,0.2859,0.2262,-0.0715,-0.0838,0.2524,0.2023,0.0119,0.2132,0.2883
17,Operating Income,- -,- -,15808000,15194000,20585000,21076000,34722000,41664000,11758000,1842000,- -,- -,- -,- -
