,https://roic.ai/company/DBRG,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,27425000,65469000,107155000,180239000,300649000,841976000,938232000,2796734000,2665276000,2326354000,1236594000,965799000
2,COGS,- -,- -,- -,21959000,29688000,54507000,156144000,142127000,1181106000,1301079000,1169167000,486245000,344435000
3,Gross Profit,- -,27425000,65469000,85196000,150551000,246142000,685832000,796105000,1615628000,1364197000,1157187000,750349000,621364000
4,Gross Profit Ratio,- -,1.0000,1.0000,0.7951,0.8353,0.8187,0.8146,0.8485,0.5777,0.5118,0.4974,0.6068,0.6434
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,9327000,- -,6346000,7548000,11408000,122744000,163537000,460341000,334219000,321746000,348711000,411365000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,9327000,17050000,25328000,33811000,54541000,137806000,163537000,460341000,334219000,321746000,348711000,411365000
9,Other Expenses,- -,- -,- -,-18982000,-25953000,-33956000,163390000,206687000,637520000,615440000,525672000,431443000,539695000
10,Operating Expenses,- -,9327000,17050000,6346000,7858000,20585000,301196000,370224000,1097861000,949659000,847418000,780154000,951060000
11,COGS and Expenses,- -,9327000,17050000,28305000,37546000,75092000,457340000,512351000,2278967000,2250738000,2016585000,1266399000,1295495000
12,Interest Income ,- -,3158000,- -,36445000,77475000,204361000,417305000,385851000,416625000,215367000,166771000,- -,8791000
13,Interest Expense (Gain),- -,555000,3011000,8248000,18838000,48365000,133094000,170083000,574822000,595551000,535538000,310454000,186949000
14,Depreciation and Amortization,- -,- -,- -,- -,310000,9177000,140977000,171682000,617779000,572406000,596262000,578282000,636555000
15,EBITDA,- -,18529000,46462000,72424000,121572000,178292000,414755000,461865000,896311000,588569000,96996000,-1797062000,412869000
16,EBITDA ratio,- -,0.6756,0.7097,0.6759,0.6745,0.5930,0.4926,0.4923,0.3205,0.2208,0.0417,-1.4532,0.4275
17,Operating Income,- -,17543000,- -,70602000,122048000,156096000,201462000,203476000,-288123000,- -,- -,- -,- -
18,Operating Income ratio,- -,0.6397,- -,0.6589,0.6771,0.5192,0.2393,0.2169,-0.1030,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,454000,-3864000,-232000,4534000,1216000,45278000,92032000,111556000,-969392000,-1946478000,-2444471000,-1080111000
20,Income Before Tax,- -,17997000,44555000,70370000,126582000,157312000,246740000,295508000,-176567000,-554854000,-1636709000,-2474276000,-317361000
21,Income Before Tax Ratio,- -,0.6562,0.6806,0.6567,0.7023,0.5232,0.2930,0.3150,-0.0631,-0.2082,-0.7036,-2.0009,-0.3286
22,Income Tax expense (Gain),- -,243000,1191000,2165000,659000,-2399000,-9296000,4782000,-98399000,-59781000,14003000,-10039000,-100538000
23,Net Income,- -,17731000,42260000,62011000,101765000,123149000,149980000,115318000,-197891000,-519607000,-1048807000,-2675759000,-310097000
24,Net Income ratio,- -,0.6465,0.6455,0.5787,0.5646,0.4096,0.1781,0.1229,-0.0708,-0.1950,-0.4508,-2.1638,-0.3211
25,EPS,- -,0.82,1.00,0.91,0.82,0.69,0.65,0.41,-0.64,-1.28,-2.41,-5.81,-0.78
26,EPS Diluted,- -,0.80,1.00,0.90,0.82,0.69,0.65,0.40,-0.64,-1.28,-2.41,-5.81,-0.78
27,Weighted Average Shares Outstanding,21578364,21578364,42130024,52677707,97042226,141782412,162658125,164569446,532600000,496993000,479588000,473558000,491456000
28,Weighted Average Shares Outstanding Diluted,21578364,21999925,42513462,52703514,97042226,141789743,162658125,164569446,532600000,496993000,479588000,473558000,491456000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1679688/000167968821000018/0001679688-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1679688/000167968822000008/0001679688-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
