,https://roic.ai/company/UUUU,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25027610,64321000,46253000,61351000,54552000,31046000,31721000,5865000,1658000,3184000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21854905,55872000,30282000,37617000,35453000,19405000,14752000,3947000,1644,1814000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3172705,8449000,15971000,23734000,19099000,11641000,16969000,1918000,1656356,1370000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1268,0.1314,0.3453,0.3869,0.3501,0.3750,0.5349,0.3270,0.9990,0.4303
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11920000,- -,8762000,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3888720,3404768,3673174,- -,12828000,11342000,12325000,15898000,15198000,14341000,14453000,14344000,26005000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1074000,279000,316000,- -,- -,- -,- -,38000,44000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3888720,3404768,3673174,- -,13902000,11621000,12641000,15898000,15198000,14341000,14453000,14382000,26049000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11443588,10653000,11298000,16623000,35401000,17510000,19361000,13695000,-14381962,10746000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11443588,36475000,22919000,38026000,51299000,32708000,33702000,28148000,38,36795000
11,COGS and Expenses,- -,91761,86559,88983,120872,301359,504778,1219201,8852798,5518168,4005890,3528455,3776847,33298493,92347000,53201000,75643000,93326000,59504000,53033000,46446000,24641000,38609000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,583946,29065,12280,10927,183463,462000,47000,94000,143000,161000,336000,482000,153000,44000
13,Interest Expense (Gain),- -,- -,- -,- -,15478,- -,- -,- -,- -,- -,- -,- -,- -,462627,1472000,1689000,2035000,2289000,2101000,1722000,1491000,952000,54000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,14241,135408,166943,117170,123687,103673,- -,14417000,3890000,5364000,4258000,4636000,3790000,1213000,- -,3189000
15,EBITDA,- -,1150864,-85672,-20555,-120872,-301359,-434089,-1204960,-8528445,-3609087,-3833,-2805039,-4043390,17435854,-20701000,-37930000,-74818000,-32866000,-21029000,-19733000,-35274000,-26824000,4784000
16,EBITDA ratio,- -,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.6967,-0.3218,-0.8201,-1.2195,-0.6025,-0.6773,-0.6221,-6.0143,-16.1785,1.5025
17,Operating Income,- -,-1334386,-87447,-157412,-120872,-301359,-575466,-1219201,-9041744,-7260306,- -,- -,-3776847,-8270883,-33366000,- -,-79902000,-38774000,-28458000,-21312000,-40581000,-24627000,-35425000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,-Infinity,-0.3305,-0.5187,- -,-1.3024,-0.7108,-0.9166,-0.6719,-6.9192,-14.8534,-11.1259
19,Total Other Income Expenses (Gains),- -,-1242625,-888,-68837,-887,34659,-70689,- -,-4511650,-889866,-3086134,-838960,381143,25244110,-3224000,-36561000,-2455000,-1090000,468000,-4050000,2487000,-3245000,36873000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3395704,16973227,-36590000,-43509000,-82357000,-39864000,-27990000,-25362000,-38094000,-27872000,1448000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,0.6782,-0.5689,-0.9407,-1.3424,-0.7308,-0.9016,-0.7995,-6.4951,-16.8106,0.4548
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103000,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-1334386,-87447,-166053,-137237,-278064,-583727,-1188833,-12330019,-5824088,-7062959,-4355135,-3395704,16973227,-36590000,-43612000,-82217000,-39413000,-27766000,-25245000,-37978000,-27776000,1541000
