,https://roic.ai/company/CMRE-PE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,426348000,399939000,353151000,382155000,386155000,414249000,483995000,490378000,468189000,412433000,380397000,478109000,460319000,793639000
2,COGS,152085000,117590000,105257000,117454000,209380000,220663000,245677000,237749000,226824000,222045000,231320000,135622000,248698000,351772000
3,Gross Profit,274263000,282349000,247894000,264701000,176775000,193586000,238318000,252629000,241365000,190388000,149077000,342487000,211621000,441867000
4,Gross Profit Ratio,0.6433,0.7060,0.7019,0.6927,0.4578,0.4673,0.4924,0.5152,0.5155,0.4616,0.3919,0.7163,0.4597,0.5568
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,19216000,25097000,26177000,36275000,33349000,28210000,28696000,30749000,32631000,46440000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,19216000,25097000,26177000,36275000,33349000,28210000,28696000,30749000,32631000,46440000
9,Other Expenses,94760000,90762000,92017000,94172000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,94760000,90762000,92017000,94172000,19216000,25097000,26177000,36275000,33349000,28210000,28696000,30749000,32631000,46440000
11,COGS and Expenses,246845000,208352000,197274000,211626000,228596000,245760000,271854000,274024000,260173000,250255000,260016000,166371000,281329000,398212000
12,Interest Income ,5575000,2672000,1449000,477000,1495000,543000,815000,1373000,1630000,2643000,3454000,3349000,1827000,1587000
13,Interest Expense (Gain),68420000,86817000,71949000,75441000,20009000,21920000,44550000,45070000,49880000,55925000,60607000,-89163000,63252000,86047000
14,Depreciation and Amortization,77342000,75756000,70887000,78803000,80333000,89958000,105787000,101645000,100943000,96448000,96288000,113653000,108892000,- -
15,EBITDA,245541000,279502000,224060000,241836000,181471000,214965000,265424000,290479000,232525000,225249000,224134000,123489000,181021000,521168000
16,EBITDA ratio,0.5759,0.6989,0.6345,0.6328,0.4699,0.5189,0.5484,0.5924,0.4966,0.5461,0.5892,0.2583,0.3933,0.6567
17,Operating Income,179503000,191587000,155877000,170662000,154873000,169015000,214691000,217913000,166055000,137015000,117158000,173123000,60328000,441350000
18,Operating Income ratio,0.4210,0.4790,0.4414,0.4466,0.4011,0.4080,0.4436,0.4444,0.3547,0.3322,0.3080,0.3621,0.1311,0.5561
19,Total Other Income Expenses (Gains),-16879000,9487000,-4459000,-7973000,-73744000,-65928000,-99604000,-74149000,-84353000,-64139000,-49919000,-74124000,-51451000,-6229000
20,Income Before Tax,- -,- -,- -,- -,81129000,103087000,115087000,143764000,81702000,72876000,67239000,98999000,8877000,435121000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.2101,0.2489,0.2378,0.2932,0.1745,0.1767,0.1768,0.2071,0.0193,0.5483
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,99779000,116929000,81224000,87592000,81129000,103087000,115087000,143764000,81702000,72876000,67239000,98999000,8877000,435121000
24,Net Income ratio,0.2340,0.2924,0.2300,0.2292,0.2101,0.2489,0.2378,0.2932,0.1745,0.1767,0.1768,0.2071,0.0193,0.5483
25,EPS,4.32,5.07,3.52,3.80,3.52,4.47,4.99,6.23,3.54,3.16,2.91,4.29,0.38,18.86
26,EPS Diluted,4.32,5.07,3.52,3.80,3.52,4.47,4.99,6.23,3.54,3.16,2.91,4.29,0.38,18.86
27,Weighted Average Shares Outstanding,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400
28,Weighted Average Shares Outstanding Diluted,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400,23070400
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,90262000,12282000,159774000,97996000,267321000,93379000,113089000,100105000,164898000,178986000,113714000,148928000,143922000,276002000
32,Short-Term Investments,- -,8188000,6080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,90262000,20470000,165854000,97996000,267321000,93379000,113089000,100105000,164898000,178986000,113714000,148928000,143922000,276002000
34,Net Receivables,9201000,4230000,5404000,8811000,11407000,20662000,9082000,11486000,7712000,8873000,16782000,16580000,10755000,32309000
35,Inventory,12587000,11479000,9534000,9335000,9398000,11005000,11565000,10578000,11415000,9662000,11020000,10546000,10455000,21365000
36,Other Current Assets,9445000,12126000,30420000,22709000,11798000,11517000,24239000,22887000,25804000,29114000,29252000,21190000,26918000,96448000
37,Total Current Assets,121495000,48305000,211212000,138851000,299924000,136563000,157975000,145056000,209829000,226635000,170768000,197244000,192050000,426124000
38,PP&E,1572116000,1465644000,1535440000,1767260000,1921897000,2428259000,2349367000,2247616000,2073157000,1995174000,2608687000,2620259000,2649608000,3841495000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1222000,1030000,839000,667000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1222000,1030000,839000,667000
42,Investments,35864000,6190000,- -,- -,- -,23732000,73579000,117931000,153126000,161897000,131082000,111681000,85040000,19872000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,86025000,190161000,82130000,76434000,89513000,97288000,133819000,127958000,122312000,106592000,139052000,81744000,82979000,118883000
45,Total Non-Current Assets,1694005000,1661995000,1617570000,1843694000,2011410000,2549279000,2556765000,2493505000,2348595000,2263663000,2880043000,2814714000,2818466000,3980917000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1815500000,1710300000,1828782000,1982545000,2311334000,2685842000,2714740000,2638561000,2558424000,2490298000,3050811000,3011958000,3010516000,4407041000
48,Accounts Payable,3826000,8822000,4128000,4057000,5882000,5814000,6296000,4047000,3848000,6314000,8586000,6215000,7582000,18865000
49,Short-Term Debt,94735000,93856000,114597000,153176000,162169000,206717000,206459000,199793000,227336000,239192000,183461000,227555000,163632000,289041000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,6618000,2136000,2580000,6901000,5595000,9601000,12929000,18356000,19668000,15310000,12432000,10387000,11893000,23830000
52,Other Current Liabilities,182355000,78457000,63483000,62455000,75765000,72848000,64692000,49770000,29134000,15892000,20190000,22377000,23867000,38291000
53,Total Current Liabilities,287534000,183271000,184788000,226589000,249411000,294980000,290376000,271966000,279986000,276708000,224669000,266534000,206974000,370027000
54,Long-Term Debt,1435213000,1341737000,1227140000,1290244000,1399720000,1660859000,1326990000,1137832000,856330000,644662000,1159244000,1206405000,1305076000,2269407000
55,Deferred Revenue,3818000,1215000,650000,10532000,16641000,25164000,29454000,26508000,16488000,11057000,4741000,7933000,29627000,33867000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
