,https://roic.ai/company/ITRG,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,315478,454732,815415,927957
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-315478,-454732,-815415,-927957
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,128756,89427,64389,56039,- -,528873,435862,313409,82884,73738,2119544,5568584,6393441,7722834,6702580
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155945,672064,783783,- -,- -
8,"Selling, General and Administrative Exp.",128756,89427,64389,56039,- -,528873,435862,313409,82884,73738,2275489,6240648,7177224,7722834,6702580
9,Other Expenses,17429,8715,- -,46144,8729921,1429060,429393,636702,149294,- -,278292,10220545,13887805,18080841,24860253
10,Operating Expenses,146185,98142,64389,102183,8729921,1957933,865255,950111,232178,73738,2553781,16461193,21065029,25803675,31562833
11,COGS and Expenses,146185,98142,64389,102183,8729921,1957933,865255,950111,232178,73738,2553781,16776671,21519761,26619090,32490790
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9219,141683,230034,273504,47349
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,346482,- -,- -,- -,- -,95545,88466,121578,113755
14,Depreciation and Amortization,17430,8715,- -,- -,5250,16330,- -,- -,- -,- -,2324,315478,1683215,815415,927957
15,EBITDA,-128755,627101,38334,-91354,-8724671,-1898183,-865255,-950111,-232053,-489502,-1955694,-16226010,-20744995,-25465746,-31443687
16,EBITDA ratio,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-146185,-98142,-64389,-102183,-8729921,-1957933,1011737,-950111,-232178,-73738,-2553781,-15396499,-20281662,-25674240,-31702931
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-5000,-766528,-102723,-14302,6102,-43420,-1989645,-10996,-125,415764,-2970096,588660,-1371387,-1489377,-1230714
20,Income Before Tax,-151185,-864670,-167112,-116485,-8723819,-2001353,-977908,-961107,-232303,342026,-5523877,-14807839,-21653049,-27163617,-32933645
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),-106000,-222300,-46000,-14854,-259000,-247000,-32000,-24000,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-45185,-642370,-121112,-101631,-8464819,-1754353,-945908,-937107,-232303,342026,-5523877,-14807839,-21653049,-27163617,-32933645
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.62,-7.81,-1.68,-15.63,-50.00,-6.25,-3.13,-1.56,-0.31,0.63,-0.72,-0.63,-0.65,-0.54,-0.41
26,EPS Diluted,-0.62,-7.81,-1.68,-15.63,-50.00,-6.25,-3.13,-1.56,-0.31,0.63,-0.72,-0.63,-0.65,-0.54,-0.41
27,Weighted Average Shares Outstanding,73229,73229,72162,72807,169171,317184,377107,502272,502528,656736,7584400,23658400,33840400,49844000,79867332
28,Weighted Average Shares Outstanding Diluted,73229,73229,72162,72807,169171,317184,377107,502272,502528,656736,7584400,23658400,33840400,49844000,79867332
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,51684,96970,57060,681,1595409,106820,568193,14572,10526,3700,16660293,15420540,31323346,37000648,14337078
32,Short-Term Investments,- -,- -,45000,- -,- -,7500,21000,4625,4500,9625,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,51684,96970,102060,681,1595409,114320,589193,19197,15026,13325,16660293,15420540,31323346,37000648,14337078
34,Net Receivables,19831,16962,10059,10853,- -,40910,33220,45814,6183,3804,87565,87672,111577,72379,85032
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,103002,35000,- -,35000,108771,- -,- -,- -,- -,3193,316883,415122,597718,804013,684354
37,Total Current Assets,174517,148932,112119,46534,1704180,155230,622413,65011,21209,20322,17064741,15923334,32032641,37877040,15106464
38,PP&E,148633,- -,1613459,- -,134750,- -,- -,- -,- -,- -,59411668,60202997,63732308,75507127,59882678
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,46444,46444,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2647716,1793683,46444,1706012,- -,- -,- -,- -,- -,- -,4374934,2700684,1949762,200037,171049
45,Total Non-Current Assets,2842793,1840127,1659903,1706012,134750,- -,- -,- -,- -,- -,63786602,62903681,65682070,75707164,60053727
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3017310,1989059,1772022,1752546,1838930,155230,622413,65011,21209,20322,80851343,78827015,97714711,113584204,75160191
48,Accounts Payable,- -,- -,55417,77787,143712,145199,30316,162158,153984,96945,413796,1100113,758430,2650744,1531901
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4619619,305638,639223,663267
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,218577,47996,- -,64639,353368,199534,713010,952623,1149298,785986,2722203,2868111,3380994,3956619,3524073
53,Total Current Liabilities,218577,47996,55417,142426,497080,344733,743326,1114781,1303282,882931,3135999,8587843,4445062,7246586,5719241
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4034999,801649,717042,1178818,774995
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,327000,104700,- -,24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,38854,- -,- -,- -,- -,- -,- -,- -,46579123,39858960,41993019,51905753,39590952
58,Total Non-Current Liabilities,327000,104700,38854,24000,- -,- -,- -,- -,- -,- -,50614122,40660609,42710061,53084571,40365947
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1043294,1022680,1190279,840725
61,Total Liabilities,545577,152696,94271,166426,497080,344733,743326,1114781,1303282,882931,53750121,49248452,47155123,60331157,46085188
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2916080,- -,12576641,- -,- -,- -,- -,- -,- -,61709371,103572785,131327665,122010028
64,Retained Earnings,-817050,-1459420,-1588949,-1690580,-11837411,-13591764,-14537672,-15474779,-15707082,-15365056,-20888933,-35696772,-57349821,-84513438,-100272209
65,Other Comprehensive Income/Loss,-48658,- -,- -,- -,-5250,750620,929620,931620,931620,931620,2104321,3565964,4336624,-1019733,7337184
66,Other Total Stockholders Equity,- -,- -,350620,- -,607870,- -,- -,- -,- -,- -,- -,- -,- -,7458553,- -
67,Total Stockholders Equity,2471733,1836363,1677751,1586120,1341850,-189503,-120913,-1049770,-1282073,-862609,27101222,29578563,50559588,53253047,29075003
68,Total Liabilities And Stockholders Equity,3017310,1989059,1772022,1752546,1838930,155230,622413,65011,21209,20322,80851343,78827015,97714711,113584204,75160191
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3017310,1989059,1772022,1752546,1838930,155230,622413,65011,21209,20322,80851343,78827015,97714711,113584204,75160191
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-45185,-642370,-121112,-101631,-8464819,-1754353,-945908,-937107,-232303,342026,-5523877,-14807839,-21653049,-27163617,-32933645
74,Depreciation and Amortization,17430,8715,- -,- -,5250,16330,- -,- -,- -,- -,2324,315478,1683215,815415,927957
75,Deferred Income Tax,- -,- -,-46000,-14854,-259000,-247000,-32000,-24000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,546,7000,- -,- -,- -,148000,25000,2000,- -,- -,617762,1577664,- -,2272266,1863085
77,Change in Working Capital,184576,-134909,978,8429,144655,130014,615395,382861,228132,66912,-86469,522886,337933,1841300,-133194
78,Accounts Receivable,297066,2869,6903,-793,- -,- -,- -,- -,- -,- -,- -,- -,203640,-149216,-63008
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-115564,-155780,13921,9222,- -,- -,- -,- -,- -,- -,- -,533269,186310,1894934,-6288
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-101000,544228,102723,20829,6974898,43420,1671,17246,125,-415764,2340949,-2088628,19631901,-768889,-237702
83,Cash Provided by Operating Activities,56367,-217336,-63411,-87227,-1599016,-1663589,-335842,-559000,-4046,-6826,-2649311,-14480439,- -,-23003525,-30513499
84,CAPEX,-10829,- -,- -,-93382,-140000,- -,- -,- -,- -,- -,-78562,-3974555,-5834253,-642902,-1300261
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4219828,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3648657,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,5379,- -,- -,- -,1564540,- -,- -,74
88,Other Investing Activites,-10829,262622,23501,-93382,33602,75000,- -,- -,- -,- -,- -,- -,6065467,1867984,7562
89,Cash Used for Investing Activites,-10829,262622,23501,-93382,-106398,75000,- -,5379,- -,- -,-7947047,-2410015,231214,1225082,-1292625
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-187288,-210319,-455356,-616877
91,Common Stock Issued,- -,- -,- -,- -,3271561,100000,797215,- -,- -,- -,29055677,16994080,- -,30393408,18976371
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,124230,28581,- -,- -,- -,- -,- -,-1802726,-1156091,41864987,-2482307,-1277434
95,Cash Used/Provided by Financing Activities,- -,- -,- -,124230,3300142,100000,797215,- -,- -,- -,27252951,15650701,41654668,27455745,17082060
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,45538,45286,-39910,-56379,1594728,-1488589,461373,-553621,-4046,-6826,16656593,-1239753,15902806,5677302,-14724064
98,Cash at the End of Period,51684,96970,57060,681,1595409,106820,568193,14572,10526,3700,16660293,15420540,- -,37000648,14337078
99,Cash at the Beginning of Period,6146,51684,96970,57060,681,1595409,106820,568193,14572,10526,3700,16660293,- -,31323346,29061142
100,Free Cash Flow,45538,-217336,-63411,-180609,-1739016,-1663589,-335842,-559000,-4046,-6826,-2727873,-18454994,- -,-23646427,-31813760
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,
