,https://roic.ai/company/VATE,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,172972000,280197000,421628000,832739000,1199422000,1082475000,1024056000,1287779000,1350872000,1187396000,1011467000,902183000,895863000,815550000,764947000,989259000,260554000,230686000,543202000,1120806000,1558126000,1634123000,1976700000,1984100000,1005800000,1205200000
2,COGS,158845000,252731000,353016000,624599000,861181000,767841000,668643000,786308000,821455000,784826000,663830000,554886000,569865000,533705000,488612000,695738000,125263000,220315000,471486000,984868000,1377223000,1421764000,1782500000,1659300000,838500000,1021500000
3,Gross Profit,14127000,27466000,68612000,208140000,338241000,314634000,355413000,501471000,529417000,402570000,347637000,347297000,325998000,281845000,276335000,293521000,135291000,10371000,71716000,135938000,180903000,212359000,194200000,324800000,167300000,183700000
4,Gross Profit Ratio,0.0817,0.0980,0.1627,0.2499,0.2820,0.2907,0.3471,0.3894,0.3919,0.3390,0.3437,0.3850,0.3639,0.3456,0.3612,0.2967,0.5192,0.0450,0.1320,0.1213,0.1161,0.1300,0.0982,0.1637,0.1663,0.1524
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111957000,153069000,291575000,- -,190100000,181100000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111957000,153069000,291575000,- -,190100000,181100000,168300000
9,Other Expenses,22278000,57355000,103717000,254538000,451106000,460622000,336391000,364748000,486794000,469111000,362292000,307913000,287193000,250623000,263480000,266091000,133783000,46724000,86013000,19850000,24314000,-78084000,250000000,50600000,-23200000,26000000
10,Operating Expenses,22278000,57355000,103717000,254538000,451106000,460622000,336391000,364748000,486794000,469111000,362292000,307913000,287193000,250623000,263480000,266091000,133783000,46724000,86013000,131807000,177383000,213491000,250000000,240700000,157900000,194300000
11,COGS and Expenses,181123000,310086000,456733000,879137000,1312287000,1228463000,1005034000,1151056000,1308249000,1253937000,1026122000,862799000,857058000,784328000,752092000,961829000,259046000,267039000,557499000,1116675000,1554606000,1635255000,2032500000,1900000000,996400000,1215800000
12,Interest Income ,785000,- -,11504000,- -,29386000,-19950000,2454000,1075000,11619000,2606000,3693000,5701000,120000,960000,741000,- -,86000,-226000,436000,- -,- -,- -,- -,- -,- -,- -
