,https://roic.ai/company/XPEV,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,9706000,2321219000,5844321000,20988131000
2,COGS,12067000,2879360000,5578332000,18365576000
3,Gross Profit,-2361000,-558141000,265989000,2622555000
4,Gross Profit Ratio,-0.2433,-0.2405,0.0455,0.1250
5,Research and Development Exp.,1051219000,2070158000,1725906000,4114267000
6,General and Administrative Exp.,325432000,495967000,1182884000,- -
7,Selling and Marketing Exp.,317109000,668602000,1737765000,- -
8,"Selling, General and Administrative Exp.",642541000,1164569000,2920649000,5305433000
9,Other Expenses,-1487000,-12294000,-86830000,-217740000
10,Operating Expenses,1692273000,3222433000,4559725000,9201960000
11,COGS and Expenses,1704340000,6101793000,10138057000,27567536000
12,Interest Income ,65376000,88843000,133036000,743034000
13,Interest Expense (Gain),5822000,32017000,22451000,55336000
14,Depreciation and Amortization,95631000,226665000,437939000,- -
15,EBITDA,-1297370000,-3432990000,-2270372000,-4781770000
16,EBITDA ratio,-133.6668,-1.4790,-0.3885,-0.2278
17,Operating Income,-1694634000,-3780574000,-4293736000,-6579405000
18,Operating Income ratio,-174.5965,-1.6287,-0.7347,-0.3135
19,Total Other Income Expenses (Gains),295811000,88902000,1562974000,1742299000
20,Income Before Tax,-1398823000,-3691672000,-2730762000,-4837106000
21,Income Before Tax Ratio,-144.1194,-1.5904,-0.4673,-0.2305
22,Income Tax expense (Gain),- -,1000,1223000,25990000
23,Net Income,-1398823000,-3691673000,-2731985000,-4863096000
24,Net Income ratio,-144.1194,-1.5904,-0.4675,-0.2317
25,EPS,-2.84,-8.76,-12.96,-60.89
26,EPS Diluted,-2.84,-8.76,-12.96,-60.89
27,Weighted Average Shares Outstanding,794784352,424754844,377135457,79867332
28,Weighted Average Shares Outstanding Diluted,794784352,424754844,377135457000,79867332
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1810997/000119312521118515/0001193125-21-118515-index.htm,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,1626878000,1946931000,29209388000,11024906000
32,Short-Term Investments,3006247000,407844000,3800608000,28691770000
33,Cash and Short-Term Investments,4633125000,2354775000,33009996000,39716676000
34,Net Receivables,1087650000,1323817000,1807273000,3593481000
35,Inventory,169326000,454116000,1343025000,2661921000
36,Other Current Assets,218942000,827942000,3518984000,2858658000
37,Total Current Assets,6109043000,4960650000,39679278000,48830736000
38,PP&E,1229975000,3677208000,3579898000,6985951000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,309433000,373189000,987975000,1474195000
41,Intangible Assets,309433000,373189000,987975000,1474195000
42,Investments,- -,- -,1000000,1549176000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,24737000,240318000,458628000,6811244000
45,Total Non-Current Assets,1564145000,4290715000,5027501000,16820566000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,7673188000,9251365000,44706779000,65651302000
48,Accounts Payable,214893000,953946000,5111745000,7374571000
49,Short-Term Debt,283582000,570690000,292465000,373488000
50,Tax Payable,- -,- -,1209000,22737000
51,Deferred Revenue,36516000,53860000,169054000,418227000
52,Other Current Liabilities,437995000,1719195000,2263999000,9846378000
53,Total Current Liabilities,972986000,3297691000,7837263000,18012664000
54,Long-Term Debt,1267356000,2051404000,1997501000,2864860000
55,Deferred Revenue,801000,69116000,144767000,479061000
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,7617270000,10663584000,297439000,2148139000
58,Total Non-Current Liabilities,8885427000,12784104000,2439707000,5492060000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,350938000,452144000,472066000,1563242000
61,Total Liabilities,9858413000,16081795000,10276970000,23504724000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,21000,21000,101000,112000
64,Retained Earnings,-2182266000,-6824503000,-11322423000,-16191566000
65,Other Comprehensive Income/Loss,-2980000,-5948000,-730381000,-1642502000
66,Other Total Stockholders Equity,- -,- -,46482512000,59980534000
67,Total Stockholders Equity,-2185225000,-6830430000,34429809000,42146578000
68,Total Liabilities And Stockholders Equity,7673188000,9251365000,44706779000,65651302000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,7673188000,9251365000,44706779000,65651302000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1810997/000119312521118515/0001193125-21-118515-index.htm,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-1398823000,-3691673000,-2731985000,- -
74,Depreciation and Amortization,95631000,226665000,437939000,- -
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,1630000,517000,996417000,- -
77,Change in Working Capital,-2989000,-189976000,2494676000,- -
78,Accounts Receivable,-35390000,-504618000,-595908000,- -
79,Inventory,-137877000,-394295000,-981521000,- -
80,Accounts Payable,176817000,739053000,4157799000,- -
81,Other Working Capital,2366000,83132000,222886000,- -
82,Other Non-Cash Items,-268164000,91702000,-1336813000,- -
83,Cash Provided by Operating Activities,-1572715000,-3562765000,-139766000,- -
84,CAPEX,-1009398000,-2008353000,-1362416000,- -
85,Acquisitions Net,- -,- -,16000000,- -
86,Purchases of Investments,-2623422000,- -,-3328088000,- -
87,Sales/Maturities of Investments,- -,2665185000,- -,- -
88,Other Investing Activites,-236563000,-93296000,-157746000,- -
89,Cash Used for Investing Activites,-3630324000,740296000,-4406161000,- -
90,Debt Repayment,-320000000,-748060000,-2443819000,- -
91,Common Stock Issued,- -,- -,27399289000,- -
92,Common Stock Repurchased,- -,-55000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,7054200000,4396622000,9374323000,- -
95,Cash Used/Provided by Financing Activities,6734200000,3593562000,34329793000,- -
96,Effect of Forex Changes on Cash,-14782000,5125000,-650076000,- -
97,Net Change In Cash,1516379000,776218000,29133790000,- -
98,Cash at the End of Period,1631525000,2407743000,31541533000,- -
99,Cash at the Beginning of Period,115146000,1631525000,2407743000,- -
100,Free Cash Flow,-2582113000,-5571118000,-1502182000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1810997/000119312521118515/0001193125-21-118515-index.htm,undefined
