,https://roic.ai/company/MAX,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,296910000,408005000,584814000,645274000
2,COGS,247670000,342909000,499434000,543750000
3,Gross Profit,49240000,65096000,85380000,101524000
4,Gross Profit Ratio,0.1658,0.1595,0.1460,0.1573
5,Research and Development Exp.,10339000,7042000,- -,15195000
6,General and Administrative Exp.,7843000,19391000,45362000,61357000
7,Selling and Marketing Exp.,11739000,13822000,20483000,22823000
8,"Selling, General and Administrative Exp.",19582000,33213000,65845000,84180000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,29921000,40255000,65845000,99375000
11,COGS and Expenses,277591000,383164000,565279000,643125000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),1194000,7021000,7938000,7830000
14,Depreciation and Amortization,11956000,5653000,3490000,3353000
15,EBITDA,31275000,30494000,5795000,4861000
16,EBITDA ratio,0.1053,0.0747,0.0099,0.0075
17,Operating Income,19319000,24841000,19535000,2149000
18,Operating Income ratio,0.0651,0.0609,0.0334,0.0033
19,Total Other Income Expenses (Gains),-1194000,-7021000,-10240000,-11671000
20,Income Before Tax,18125000,17820000,9295000,-9522000
21,Income Before Tax Ratio,0.0610,0.0437,0.0159,-0.0148
22,Income Tax expense (Gain),- -,- -,-1267000,-1047000
23,Net Income,18125000,17820000,-4366000,-5275000
24,Net Income ratio,0.0610,0.0437,-0.0075,-0.0082
25,EPS,0.31,0.55,-0.14,-0.09
26,EPS Diluted,0.31,0.55,-0.14,-0.09
27,Weighted Average Shares Outstanding,32400037,32400037,32134170,58741647
28,Weighted Average Shares Outstanding Diluted,32400037,32400037,32134170,58741647
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1818383/000156459021013026/0001564590-21-013026-index.htm,https://www.sec.gov/Archives/edgar/data/1818383/000181838322000023/0001818383-22-000023-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,5662000,10028000,23554000,50564000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,5662000,10028000,23554000,50564000
34,Net Receivables,37150000,56012000,96295000,76094000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,1286000,1448000,7950000,10448000
37,Total Current Assets,44098000,67488000,127799000,137106000
38,PP&E,881000,755000,762000,- -
39,Goodwill,18402000,18402000,18402000,18402000
40,Intangible Assets,23985000,18752000,15551000,12567000
41,Intangible Assets,42387000,37154000,33953000,30969000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,31613000,102656000
44,Other Non-Current Assets,- -,- -,16210000,19073000
