,https://roic.ai/company/ORLA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4091000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,929,6790,112332,78850,106000,1358000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,-929,-6790,-112332,-78850,-106000,2733000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.6681
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,94162,201996,255773,222194,176680,168573,56096,180555,1351492,6562564,7933746,8576328,6853000,9536000
7,Selling and Marketing Exp.,- -,- -,745,27433,8647,1328,4022,3267,- -,41111,515679,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,94162,202741,283206,230841,178008,172595,59363,180555,1392602,7078243,7933746,8576328,6853000,9536000
9,Other Expenses,107536,- -,1089,3419,-0,- -,44418,25850,90,0,0,14071643,12502010,16302000,15262000
10,Operating Expenses,107536,94162,203830,286625,230841,178008,217013,85213,180646,1392602,7078243,22005389,21078338,23155000,24798000
11,COGS and Expenses,107536,94162,203830,286625,230841,178008,217013,85213,180646,1393532,7085032,22117721,21157188,23261000,26156000
12,Interest Income ,- -,17252,3058,1120,17,- -,- -,- -,382,49502,148865,324516,108706,267000,343000
13,Interest Expense (Gain),- -,216,- -,- -,- -,- -,- -,- -,- -,639,11379,- -,1295291,4162000,1639000
14,Depreciation and Amortization,- -,- -,1089,3419,- -,- -,- -,- -,- -,13493,6790,112332,103000,106000,154000
15,EBITDA,-107536,-94162,-202741,-283206,-230841,-201894,367949,-69162,-183612,-1329996,-6933805,-22207294,-20969631,-21831000,-24485000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.9851
17,Operating Income,-107536,-94162,-203830,-286625,-230841,-178008,-217013,-85213,-180646,-1393532,-7085032,-22117721,-21157188,-23261000,-22065000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.3935
19,Total Other Income Expenses (Gains),- -,- -,3058,1120,17,23885,-599378,-37497,-23648,-756742,-807823,155650,-1347348,-4433000,-4213000
20,Income Before Tax,- -,- -,-200772,-285505,-230825,-154123,-816391,-122710,-204293,-2150274,-7892856,-21962071,-22504536,-27694000,-26278000
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-6.4234
22,Income Tax expense (Gain),- -,- -,- -,- -,-114297,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-107405,-77126,-200772,-285505,-116528,-154122,-816391,-122710,-204293,-2150274,-7892856,-21962071,-22504536,-27694000,-26278000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-6.4234
25,EPS,-0.15,-0.04,-0.14,-0.15,-0.05,-0.05,-0.19,-0.03,-0.01,-0.07,-0.06,-0.12,-0.12,-0.13,-0.25
26,EPS Diluted,-0.15,-0.04,-0.14,-0.15,-0.05,-0.05,-0.19,-0.03,-0.01,-0.07,-0.06,-0.12,-0.12,-0.13,-0.24
