,https://roic.ai/company/OPXS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,20020000,27580000,22900000,16230000,14254000,17070000,10210000,13003000,17279000,18547000,20853000,24530000,25890000,18222000
2,COGS,- -,75000,- -,18160000,24810000,22030000,13740000,11849000,13860000,8810000,11617000,14228000,15133000,16338000,18277000,19802000,15702000
3,Gross Profit,- -,-75000,- -,1860000,2770000,870000,2490000,2405000,3210000,1400000,1386000,3051000,3414000,4515000,6253000,6088000,2520000
4,Gross Profit Ratio,- -,-Infinity,- -,0.0929,0.1004,0.0380,0.1534,0.1687,0.1880,0.1371,0.1066,0.1766,0.1841,0.2165,0.2549,0.2351,0.1383
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,12607,15186,4700000,2290000,9590000,2410000,2706000,2900000,2380000,2826000,3962000,3210000,3029000,3056000,3205000,3014000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,12607,15186,4700000,2290000,9590000,2410000,2706000,2900000,2380000,2826000,3962000,3210000,3029000,3056000,3205000,3014000
9,Other Expenses,- -,- -,- -,1810000,610000,1120000,-0,- -,50000,-0,-0,0,0,- -,-0,- -,- -
10,Operating Expenses,- -,12607,15186,6510000,2900000,10710000,2410000,2706000,2950000,2380000,2826000,3962000,3210000,3029000,3056000,3205000,3014000
11,COGS and Expenses,- -,87607,15186,24670000,27710000,32740000,16150000,14555000,16810000,11190000,14443000,18190000,18343000,19367000,21333000,23007000,18716000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,-200000,179570,89338,74000,- -,- -,- -,179000,- -,19000,20000,23000,19000,-11000
14,Depreciation and Amortization,- -,- -,- -,760000,2171177,1103732,66000,165000,69000,80000,334000,345000,337000,327000,340000,248000,263000
15,EBITDA,- -,-87607,-15186,-4290000,2030747,-8726930,140000,-155000,289000,-900000,1004000,137000,52000,1908000,4881000,2623000,2282000
16,EBITDA ratio,- -,-Infinity,-Infinity,-0.2143,0.0736,-0.3811,0.0086,-0.0109,0.0169,-0.0881,0.0772,0.0079,0.0028,0.0915,0.1990,0.1013,0.1252
17,Operating Income,- -,-87607,-15186,-4650000,-129248,-9837342,78000,-301000,259000,-977000,-1440000,-200000,204000,1486000,3197000,2883000,-494000
18,Operating Income ratio,- -,-Infinity,-Infinity,-0.2323,-0.0047,-0.4296,0.0048,-0.0211,0.0152,-0.0957,-0.1107,-0.0116,0.0110,0.0713,0.1303,0.1114,-0.0271
19,Total Other Income Expenses (Gains),- -,- -,- -,-200000,-180752,-92658,- -,-19000,-39000,-13000,1931000,-8000,-508000,75000,1321000,-527000,2524000
20,Income Before Tax,- -,- -,- -,-4850000,-310000,-9930000,- -,-320000,220000,-990000,491000,-208000,-304000,1561000,4518000,2356000,2030000
21,Income Before Tax Ratio,- -,- -,- -,-0.2423,-0.0112,-0.4336,- -,-0.0224,0.0129,-0.0970,0.0378,-0.0120,-0.0164,0.0749,0.1842,0.0910,0.1114
22,Income Tax expense (Gain),- -,- -,- -,-20000,-290000,-310000,-590000,48000,80000,1080000,- -,- -,- -,167000,-1150000,531000,-101000
23,Net Income,- -,-87607,-15186,-4830000,-30000,-9610000,590000,-368000,140000,-2060000,491000,-208000,-304000,1394000,5668000,1825000,2131000
24,Net Income ratio,- -,-Infinity,-Infinity,-0.2413,-0.0011,-0.4197,0.0364,-0.0258,0.0082,-0.2018,0.0378,-0.0120,-0.0164,0.0668,0.2311,0.0705,0.1169
25,EPS,- -,-4.04,-0.38,-121.58,-0.23,-70.00,4.21,-2.56,0.90,-12.50,-19.10,-0.64,-0.04,0.11,0.45,0.14,0.18
26,EPS Diluted,- -,-4.04,-0.38,-121.58,-0.23,-70.00,4.21,-2.56,0.20,-12.50,-19.10,-0.64,-0.04,0.11,0.45,0.14,0.18
27,Weighted Average Shares Outstanding,- -,28052,39728,39728,121088,139444,139444,143496,154997,164940,312219,1546774,7995092,8458466,8388794,8464572,8241021
