,https://roic.ai/company/TTM,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,76691600000,95730500000,139644258260,198606976572,241043587445,332310860880,365048000000,722806300000,926262800000,1232134100000,1664852900000,1889860300000,2341760500000,2625265200000,2697422000000,2656495100000,2882951100000,2993662400000,2594251200000,2481631400000
2,COGS,62243800000,74038500000,108121480190,157078594452,189657791153,264073080750,287752000000,488733400000,618704600000,833973200000,1100476600000,1286337500000,1548486300000,1714299500000,1747387900000,1798620900000,2006629400000,2081342000000,1763059300000,1664062500000
3,Gross Profit,14447800000,21692000000,31522778070,41528382120,51385796292,68237780130,77296000000,234072900000,307558200000,398160900000,564376300000,603522800000,793274200000,910965700000,950034100000,857874200000,876321700000,912320400000,831191900000,817568900000
4,Gross Profit Ratio,0.1884,0.2266,0.2257,0.2091,0.2132,0.2053,0.2117,0.3238,0.3320,0.3231,0.3390,0.3193,0.3388,0.3470,0.3522,0.3229,0.3040,0.3048,0.3204,0.3294
5,Research and Development Exp.,1214400000,1536200000,1279826525,2537117772,4669815688,6031018744,9900000000,- -,- -,- -,13859600000,20193100000,25651200000,28515300000,34687700000,34135700000,35318700000,42245700000,41884900000,52266200000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,250813300000,87944900000,92249600000,410906500000,168307300000,216726000000,253293900000,291860900000,287709200000,305980700000,349813400000,311711400000,285294200000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66315100000,81425400000,85772900000,87684600000,86986800000,89685900000,87296300000,76142400000,43846300000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,250813300000,87944900000,92249600000,410906500000,234622400000,298151400000,339066800000,379545500000,374696000000,395666600000,437109700000,387853800000,329140500000
9,Other Expenses,13965800000,13073500000,16030369525,20179038252,26637555518,35710888924,43708000000,-17271100000,171397600000,218354300000,61179700000,286978800000,395800800000,449980700000,507915300000,512998600000,561073900000,636056700000,602875700000,513013200000
10,Operating Expenses,15180200000,14609700000,17310196050,22716156024,31307371206,41741907668,53608000000,233542200000,259342500000,310603900000,485945800000,541794300000,719603400000,817562800000,922148500000,921830300000,992059200000,1115412100000,1032614400000,894419900000
11,COGS and Expenses,77424000000,88648200000,125431676240,179794750476,220965162359,305814988418,341360000000,722275600000,878047100000,1144577100000,1586422400000,1828131800000,2268089700000,2531862300000,2669536400000,2720451200000,2998688600000,3196754100000,2795673700000,2558482400000
12,Interest Income ,383800000,- -,351409995,764192100,663933719,- -,1688000000,3097200000,2570100000,3669500000,5426800000,7759800000,6656700000,6763900000,7186600000,5640700000,7122400000,7864600000,11696900000,4925300000
13,Interest Expense (Gain),5199900000,- -,2685466505,2995633032,3725158316,- -,10500000000,34222300000,40396000000,36853500000,38290400000,40751800000,53094700000,52231600000,47912600000,42365700000,46365000000,57586000000,72553100000,80840500000
14,Depreciation and Amortization,- -,- -,4125813645,4930130748,5855093334,6622888062,7780000000,28039800000,36636600000,43445700000,54435100000,73723200000,110462600000,134495800000,168074900000,182405400000,209818200000,230197800000,207632100000,229638100000
