,https://roic.ai/company/TPTW,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,2766730,2155160,937069,10212377,11094170
2,COGS,- -,- -,- -,- -,- -,- -,1826775,1663698,1749034,5912001,7193493
3,Gross Profit,- -,- -,- -,- -,- -,- -,939955,491462,-811965,4300376,3900677
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.3397,0.2280,-0.8665,0.4211,0.3516
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,4292485,2223182,744060,1487004,1857608
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,153004,212468,58712,55882,178539
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,4445489,2435650,802772,1542886,2036147
9,Other Expenses,- -,- -,- -,- -,- -,- -,851506,1139335,3530080,4916670,9068869
10,Operating Expenses,- -,- -,- -,- -,- -,- -,5296995,3574985,4332852,6459556,12105016
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,7123770,5238683,6081886,12371557,19298509
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,135394,174773,232672,3581020,1531733
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,851506,1139335,974173,1459691,1785642
15,EBITDA,- -,- -,- -,- -,- -,- -,-3476299,-2455271,-4170644,-8987454,-4801893
16,EBITDA ratio,- -,- -,- -,- -,- -,- -,-1.2565,-1.1393,-4.4507,-0.8801,-0.4328
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2159180,-8204339
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.2114,-0.7395
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-106159,-645856,- -,-11868985,85071
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-4463199,-3769379,-5377489,-14028165,-8119268
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-1.6132,-1.7490,-5.7386,-1.3736,-0.7318
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,- -,- -,- -,- -,-4463199,-3769379,-5377489,-14028165,-8119268
24,Net Income ratio,- -,- -,- -,- -,- -,- -,-1.6132,-1.7490,-5.7386,-1.3736,-0.7318
25,EPS,- -,- -,- -,- -,- -,- -,-0.03,-0.03,-0.04,-0.10,-0.01
26,EPS Diluted,- -,- -,- -,- -,- -,- -,-0.03,-0.03,-0.04,-0.10,-0.01
27,Weighted Average Shares Outstanding,- -,- -,- -,- -,- -,- -,136953904,135326404,136953904,141594930,740163898
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,- -,- -,- -,136953904,135326404,136953904,141594930,740163898
29,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1661039/000165495419007502/0001654954-19-007502-index.htm,https://www.sec.gov/Archives/edgar/data/1661039/000165495420004046/0001654954-20-004046-index.htm,https://www.sec.gov/Archives/edgar/data/1661039/000165495421004259/0001654954-21-004259-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,93286,36380,31786,192172,19309
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,93286,36380,31786,192172,19309
34,Net Receivables,- -,- -,- -,- -,- -,- -,84856,63407,48922,379805,164818
