,https://roic.ai/company/NEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,252403,1000,93491,369972,558074,1885324,6475996,11504725,20015319,29469054,34371000,43484000,59867000,66467000,87069000,99802000,244083000,258611000,276741000,408830000,444448000,484329000
2,COGS,74290,- -,189958,481593,576867,1188402,2759190,5522775,9353852,14254227,18588000,24056000,33031000,34730000,46355000,56046000,133704000,138295000,149476000,211994000,258555000,297269000
3,Gross Profit,178113,- -,-96467,-111621,-18793,696922,3716806,5981950,10661467,15214827,15783000,19428000,26836000,31737000,40714000,43756000,110379000,120316000,127265000,196836000,185893000,187060000
4,Gross Profit Ratio,0.7057,- -,-1.0318,-0.3017,-0.0337,0.3697,0.5739,0.5200,0.5327,0.5163,0.4592,0.4468,0.4483,0.4775,0.4676,0.4384,0.4522,0.4652,0.4599,0.4815,0.4183,0.3862
5,Research and Development Exp.,- -,- -,46414,- -,- -,- -,- -,- -,- -,- -,- -,- -,2281000,2440000,2689000,4198000,4649000,3636000,3001000,8487000,8229000,21873000
6,General and Administrative Exp.,- -,- -,440792,382711,710771,1497286,3576812,- -,- -,10056944,11267000,12874000,15843000,17397000,23808000,33631000,75782000,88755000,84822000,127993000,143794000,221347000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,6885396,7479000,6963000,7501000,8726000,11999000,11562000,23910000,24543000,29402000,47350000,47862000,62594000
8,"Selling, General and Administrative Exp.",- -,- -,440792,382711,710771,1497286,3576812,- -,- -,16942340,18746000,19837000,23344000,26123000,35807000,45193000,99692000,113298000,114224000,175343000,191656000,283941000
9,Other Expenses,1149039,- -,- -,- -,- -,- -,- -,9122922,11545456,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1149039,- -,487206,382711,710771,1497286,3576812,9122922,11545456,16942340,18746000,19837000,25625000,28563000,38496000,49391000,104341000,116934000,117225000,183830000,199885000,305814000
11,COGS and Expenses,1223329,8078966,677164,864304,1287638,2685688,6336002,14645697,20899308,31196567,37334000,43893000,58656000,63293000,84851000,105437000,238045000,255229000,266701000,395824000,458440000,603083000
