,https://roic.ai/company/LCLP,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,10000,98757,81550,534,3064,85409,- -,- -,50000
2,COGS,- -,6840,18000,71903,109289,- -,- -,- -,- -
3,Gross Profit,10000,91917,63550,-71369,-106225,85409,- -,- -,50000
4,Gross Profit Ratio,1.0000,0.9307,0.7793,-133.6498,-34.6687,1.0000,- -,- -,1.0000
5,Research and Development Exp.,- -,- -,- -,49599,4191,- -,- -,- -,- -
6,General and Administrative Exp.,10000,119139,99487,2088644,1161183,401390,385369,326614,599590
7,Selling and Marketing Exp.,- -,30008,2730,10364,14329,2495,- -,- -,- -
8,"Selling, General and Administrative Exp.",10000,149147,102217,2099008,1175512,403885,385369,326614,599590
9,Other Expenses,- -,1,2302,1,262000,- -,- -,- -,- -
10,Operating Expenses,10000,149148,104519,2148608,1441703,403885,385369,326614,599590
11,COGS and Expenses,10000,155988,122519,2220511,1550992,403885,385369,326614,599590
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,83550,2411109,747611,478551,395048,568168
14,Depreciation and Amortization,- -,- -,-437,- -,- -,- -,112329000000,- -,- -
15,EBITDA,-10000,-57031,-41401,-19630000,6990260,-7202558,112328614631,-326614,-2910869
16,EBITDA ratio,-1.0000,-0.5775,-0.5077,-36760.2996,2281.4164,-84.3302,Infinity,-Infinity,-58.2174
17,Operating Income,-10000,-57231,-40969,-2253912,-1598927,-318476,-385369,-326614,-549590
18,Operating Income ratio,-1.0000,-0.5795,-0.5024,-4220.8090,-521.8430,-3.7288,-Infinity,-Infinity,-10.9918
19,Total Other Income Expenses (Gains),- -,200,5,-17459638,6178078,-7631693,5649966,-10413713,-2929447
20,Income Before Tax,-10000,-57031,-40964,-19713550,4579151,-7950169,5264597,-10740327,-3479037
21,Income Before Tax Ratio,-1.0000,-0.5775,-0.5023,-36916.7603,1494.5010,-93.0835,Infinity,-Infinity,-69.5807
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-10000,-57031,-40964,-19713550,4579151,-7950169,5264597,-10740327,-3479037
24,Net Income ratio,-1.0000,-0.5775,-0.5023,-36916.7603,1494.5010,-93.0835,Infinity,-Infinity,-69.5807
25,EPS,-0.00,-0.00,-0.00,-0.40,0.05,-0.01,0.00,-0.01,-0.00
26,EPS Diluted,-0.00,-0.00,-0.00,-0.40,0.05,-0.01,0.00,-0.01,-0.00
27,Weighted Average Shares Outstanding,78010000,84675635,119366500,49435410,90001941,985622702,1259831337,1259831337,1262254090
28,Weighted Average Shares Outstanding Diluted,78010000,84675635,119366500,49435410,90001941,985622702,1259831337,1259831337,1262254090
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1604930/000127100815000048/0001271008-15-000048-index.html,https://www.sec.gov/Archives/edgar/data/1604930/000149315216014075/0001493152-16-014075-index.htm,https://www.sec.gov/Archives/edgar/data/1604930/000149315218009910/0001493152-18-009910-index.htm,https://www.sec.gov/Archives/edgar/data/1604930/000149315220002063/0001493152-20-002063-index.htm,https://www.sec.gov/Archives/edgar/data/1604930/000149315220022464/0001493152-20-022464-index.htm,https://www.sec.gov/Archives/edgar/data/1604930/000149315221000080/0001493152-21-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1604930/000149315221025369/0001493152-21-025369-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,54151,13574,469233,91672,8252,33774,12160,230685
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,54151,13574,469233,91672,8252,33774,12160,230685
34,Net Receivables,- -,7500,- -,- -,3064,- -,- -,- -,34271
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
