,https://roic.ai/company/PAM,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,127686513,1479226523,4013831854,4094070971,4866925429,6774518774,7564657834,5334993550,6204645511,7160781433,31295000000,50347000000,110080000000,169861284120,90121715460,1508000000
2,COGS,- -,- -,- -,79592381,1104038592,3082359252,3197265987,3987967830,5583050351,6981981585,5598574748,6029079708,7092790535,25136000000,34427000000,74161000000,121705969440,55789633380,955000000
3,Gross Profit,- -,- -,- -,48094132,375187931,931472602,896804984,878957599,1191468423,582676249,-263581198,175565803,67990898,6159000000,15920000000,35919000000,48155314680,34332082080,553000000
4,Gross Profit Ratio,- -,- -,- -,0.3767,0.2536,0.2321,0.2190,0.1806,0.1759,0.0770,-0.0494,0.0283,0.0095,0.1968,0.3162,0.3263,0.2835,0.3810,0.3667
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,701670,331194,16488513,117273072,262382978,312872535,366835721,560182706,448970370,511559641,815083774,1224464679,3614000000,4561000000,7751000000,9044095170,7152517100,99000000
7,Selling and Marketing Exp.,- -,368213,2400,974702,45750215,139651639,153571349,210043525,450547075,501146213,643085490,723729444,991723491,2981000000,2960000000,6451000000,8864411160,3197595880,33000000
8,"Selling, General and Administrative Exp.",- -,1069883,333594,17463215,163023287,402034617,466443884,576879246,1010729781,950116583,1154645131,1538813218,2216188170,6595000000,7521000000,14202000000,17908506330,10350112980,132000000
9,Other Expenses,- -,-996974,-1505790,-8343285,-34482929,19839155,39016969,19964093,5732085,123658618,-2911744328,-2155119741,-5473684375,-2641000000,-655000000,3995000000,4791573600,2187828760,-47000000
10,Operating Expenses,- -,72909,-1172196,9119930,128540358,421873772,505460853,596843339,1016461866,1073775201,-1757099197,-616306523,-3257496205,3954000000,6866000000,18197000000,22700079930,12537941740,85000000
