,https://roic.ai/company/FREVS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,14430000,15730000,18160000,19530000,19150000,20190000,30360000,33670000,38310000,40740000,42340000,42420000,44050000,44060000,45470000,41340000,42430000,44783000,46254000,51634000,57997000,60277000,52727000,50291000
2,COGS,4750000,5040000,5500000,6390000,5890000,6510000,10850000,13150000,15400000,16440000,16690000,17380000,18230000,17730000,17930000,17900000,18920000,22137000,21785000,25987000,24641000,27508000,24492000,25311000
3,Gross Profit,9680000,10690000,12660000,13140000,13260000,13680000,19510000,20520000,22910000,24300000,25650000,25040000,25820000,26330000,27540000,23440000,23510000,22646000,24469000,25647000,33356000,32769000,28235000,24980000
4,Gross Profit Ratio,0.6708,0.6796,0.6971,0.6728,0.6924,0.6776,0.6426,0.6094,0.5980,0.5965,0.6058,0.5903,0.5862,0.5976,0.6057,0.5670,0.5541,0.5057,0.5290,0.4967,0.5751,0.5436,0.5355,0.4967
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,580000,620000,700000,770000,790000,830000,1300000,1520000,1710000,1780000,1850000,1870000,1940000,1950000,1890000,1850000,1970000,2000000,2046000,2375000,2547000,2603000,6857000,2178000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",580000,- -,- -,- -,3490000,- -,- -,- -,- -,- -,1847000,1870000,1941000,1950000,1885000,1849000,1968000,2000000,2046000,2375000,2547000,2603000,6857000,2178000
9,Other Expenses,5410000,-7379000,-8218000,-9377000,-8833000,-9559000,-15825000,-18937000,-21845000,-23527000,11547000,12268000,12673000,13022000,13867000,6233000,6346000,6883000,7852000,10669000,11515000,11339000,10341000,9300000
10,Operating Expenses,5990000,-7379000,-8218000,-9377000,-5343000,-9559000,-15825000,-18937000,-21845000,-23527000,13394000,14138000,14614000,14972000,15752000,8082000,8314000,8883000,9898000,13044000,14062000,13942000,17198000,11478000
11,COGS and Expenses,10740000,12000000,13320000,14650000,13570000,14120000,16240000,19400000,22250000,23530000,24160000,25120000,26230000,25790000,29730000,25980000,27230000,31020000,31683000,39651000,38703000,41450000,41690000,36789000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000,173000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11557000,10848000,13817000,11655000,11704000,10922000,10287000,10256000,11393000,14464000,17617000,16337000,14122000,11167000
14,Depreciation and Amortization,1780000,1878000,2182000,2445000,2463000,2485000,4333000,4678000,5006000,5781000,6292000,6374000,6666000,6701000,6884000,6909000,7096000,7562000,8804000,12601000,13304000,13089000,12160000,10953000
15,EBITDA,5480000,5608000,7022000,7335000,8443000,8565000,19543000,9138000,10166000,14721000,23889000,22772000,24893000,23736000,29938000,25281000,29043000,20449000,23202000,40181000,32404000,31213000,46835000,23047000
16,EBITDA ratio,0.3798,0.3565,0.3867,0.3756,0.4409,0.4242,0.6437,0.2714,0.2654,0.3613,0.5642,0.5368,0.5651,0.5387,0.6584,0.6115,0.6845,0.4566,0.5016,0.7782,0.5587,0.5178,0.8883,0.4583
17,Operating Income,3700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,18180000,17300000,17826000,18267000,15746000,15354000,15196000,13763000,14571000,11983000,19294000,18827000,3760000,13502000
18,Operating Income ratio,0.2564,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4294,0.4078,0.4047,0.4146,0.3463,0.3714,0.3581,0.3073,0.3150,0.2321,0.3327,0.3123,0.0713,0.2685
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-8870000,-9810000,-10890000,-12040000,-11000000,-10630000,-13696000,-11557000,-11526000,-11754000,-11776000,-10851000,-11472000,-1300000,-18328000,-17034000,13560000,-12455000
