,https://roic.ai/company/WDAY,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,25245000,68055000,- -,134427000,273657000,468938000,787860000,1162346000,1569407000,2143050000,2822180000,3627206000,4317996000,5138798000
2,COGS,20505000,39864000,- -,65368000,116535000,176810000,264803000,374427000,483545000,629413000,834950000,1065258000,1198132000,1428095000
3,Gross Profit,4740000,28191000,- -,69059000,157122000,292128000,523057000,787919000,1085862000,1513637000,1987230000,2561948000,3119864000,3710703000
4,Gross Profit Ratio,0.1878,0.4142,- -,0.5137,0.5742,0.6230,0.6639,0.6779,0.6919,0.7063,0.7041,0.7063,0.7225,0.7221
5,Research and Development Exp.,30045000,39175000,- -,62014000,102665000,182116000,316868000,469944000,680531000,910584000,1211832000,1549906000,1721222000,1879220000
6,General and Administrative Exp.,5215000,8553000,- -,15133000,48880000,65921000,106051000,148578000,198122000,222909000,347337000,367724000,414068000,486012000
7,Selling and Marketing Exp.,20875000,36524000,- -,70356000,123440000,197373000,315840000,434056000,583874000,683367000,891345000,1146548000,1233173000,1461921000
8,"Selling, General and Administrative Exp.",26090000,45077000,- -,85489000,172320000,263294000,421891000,582634000,781996000,906276000,1238682000,1514272000,1647241000,1947933000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,56135000,84252000,- -,147503000,274985000,445410000,738759000,1052578000,1462527000,1816860000,2450514000,3064178000,3368463000,3827153000
11,COGS and Expenses,76640000,124116000,- -,212871000,391520000,622220000,1003562000,1427005000,1946072000,2446273000,3285464000,4129436000,4566595000,5255248000
12,Interest Income ,444000,88000,- -,68000,560000,1992000,2960000,4855000,11303000,25252000,42461000,41268000,18788000,5575000
13,Interest Expense (Gain),- -,221000,- -,976000,1363000,19618000,31060000,31932000,30103000,44549000,60209000,58685000,68806000,16602000
14,Depreciation and Amortization,3262000,5313000,- -,9319000,17722000,34695000,59205000,85939000,115885000,136974000,198111000,276278000,293657000,343723000
15,EBITDA,-46589000,-50584000,- -,-69167000,-99981000,-116518000,-155707000,-171030000,-263104000,-133263000,-165432000,-147484000,87329000,376507000
16,EBITDA ratio,-1.8455,-0.7433,- -,-0.5145,-0.3654,-0.2485,-0.1976,-0.1471,-0.1676,-0.0622,-0.0586,-0.0407,0.0202,0.0733
17,Operating Income,-51395000,-56061000,- -,-78444000,-117863000,-153282000,-215702000,-264659000,-376665000,-303223000,-463284000,-502230000,-248599000,-116450000
18,Operating Income ratio,-2.0358,-0.8238,- -,-0.5835,-0.4307,-0.3269,-0.2738,-0.2277,-0.2400,-0.1415,-0.1642,-0.1385,-0.0576,-0.0227
19,Total Other Income Expenses (Gains),1544000,-57000,- -,-1018000,-1203000,-17549000,-30270000,-24242000,-32427000,-11563000,39532000,19783000,-26535000,132632000
20,Income Before Tax,-49851000,-56118000,- -,-79462000,-119066000,-170831000,-245972000,-288901000,-409092000,-314786000,-423752000,-482447000,-275134000,16182000
21,Income Before Tax Ratio,-1.9747,-0.8246,- -,-0.5911,-0.4351,-0.3643,-0.3122,-0.2485,-0.2607,-0.1469,-0.1502,-0.1330,-0.0637,0.0031
22,Income Tax expense (Gain),91000,97000,- -,167000,124000,1678000,2010000,1017000,-814000,6436000,-5494000,-1773000,7297000,-13191000
23,Net Income,-49942000,-56215000,- -,-79629000,-119190000,-172509000,-247982000,-289918000,-408278000,-321222000,-418258000,-480674000,-282431000,29373000
24,Net Income ratio,-1.9783,-0.8260,- -,-0.5924,-0.4355,-0.3679,-0.3148,-0.2494,-0.2601,-0.1499,-0.1482,-0.1325,-0.0654,0.0057
25,EPS,-0.38,-0.43,- -,-0.61,-1.62,-1.01,-1.35,-1.53,-2.06,-1.55,-1.93,-2.12,-1.19,0.12
26,EPS Diluted,-0.38,-0.43,- -,-0.61,-1.62,-1.01,-1.35,-1.53,-2.06,-1.55,-1.93,-2.12,-1.19,0.12
27,Weighted Average Shares Outstanding,131857000,131857000,- -,131857000,74011000,171297000,183702000,190016000,198214000,207774000,216789000,227185000,237019000,247249000
28,Weighted Average Shares Outstanding Diluted,131857000,131857000,- -,131857000,74011000,171297000,183702000,190016000,198214000,207774000,216789000,227185000,237019000,254032000
29,SEC Link,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1327811/000119312513122351/0001193125-13-122351-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000119312514124249/0001193125-14-124249-index.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781115000006/wday-01312015x10k.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781116000032/0001327811-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781117000008/0001327811-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781118000009/0001327811-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781119000038/0001327811-19-000038-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781120000022/0001327811-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1327811/000132781121000020/0001327811-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1327811/000132781122000030/0001327811-22-000030-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,34400000,30887000,- -,57529000,84158000,581326000,298192000,300087000,539923000,1134355000,638554000,731141000,1384181000,1534273000
32,Short-Term Investments,20600000,4498000,- -,53634000,706181000,1305253000,1559517000,1669372000,1456822000,2133495000,1139864000,1213432000,2151472000,2109888000
33,Cash and Short-Term Investments,55000000,35385000,- -,111163000,790339000,1886579000,1857709000,1969459000,1996745000,3267850000,1778418000,1944573000,3535653000,3644161000
34,Net Receivables,- -,21364000,- -,54467000,67437000,92184000,188357000,293407000,383908000,528208000,704680000,877578000,1032484000,1242545000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
