,https://roic.ai/company/GOOS,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,218414000,290830000,403777000,591181000,830500000,958100000,903700000
2,COGS,129805000,145206000,191709000,243569000,313700000,364800000,349700000
3,Gross Profit,88609000,145624000,212068000,347612000,516800000,593300000,554000000
4,Gross Profit Ratio,0.4057,0.5007,0.5252,0.5880,0.6223,0.6192,0.6130
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,61940000,104670000,171566000,209484000,320100000,401200000,437100000
10,Operating Expenses,61940000,104670000,171566000,209484000,320100000,401200000,437100000
11,COGS and Expenses,191745000,249876000,363275000,453053000,633800000,766000000,786800000
12,Interest Income ,9000,5000,2000,173000,500000,- -,- -
13,Interest Expense (Gain),7058000,7851000,11555000,12677000,14100000,21000000,- -
14,Depreciation and Amortization,3394000,5916000,8521000,14219000,22700000,63100000,84600000
15,EBITDA,29584000,46725000,50616000,152136000,219300000,247800000,170600000
16,EBITDA ratio,0.1354,0.1607,0.1254,0.2573,0.2641,0.2586,0.1888
17,Operating Income,26669000,40954000,40502000,138128000,196700000,192100000,116900000
18,Operating Income ratio,0.1221,0.1408,0.1003,0.2336,0.2368,0.2005,0.1294
19,Total Other Income Expenses (Gains),-7537000,-7996000,-9962000,-12888000,-14200000,-28400000,-30900000
20,Income Before Tax,19132000,32958000,30540000,125240000,182500000,163700000,86000000
21,Income Before Tax Ratio,0.0876,0.1133,0.0756,0.2118,0.2197,0.1709,0.0952
22,Income Tax expense (Gain),4707000,6473000,8900000,29185000,38900000,12000000,15800000
23,Net Income,14425000,26485000,21640000,96055000,143600000,151700000,70200000
24,Net Income ratio,0.0660,0.0911,0.0536,0.1625,0.1729,0.1583,0.0777
25,EPS,0.14,0.24,0.22,0.90,1.31,1.38,0.64
26,EPS Diluted,0.13,0.24,0.21,0.86,1.28,1.36,0.63
27,Weighted Average Shares Outstanding,106308154,106308154,100262026,107250039,109422574,109892031,109892031
28,Weighted Average Shares Outstanding Diluted,108059624,107988361,102023196,111519238,111767584,111168788,111112173
29,SEC Link,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,5918000,7226000,9678000,95290000,88600000,31700000,477900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5918000,7226000,9678000,95290000,88600000,31700000,477900000
34,Net Receivables,14109000,17475000,12925000,17037000,24400000,44300000,45700000
35,Inventory,69776000,119506000,125464000,165372000,267300000,412300000,342300000
36,Other Current Assets,4087000,10525000,15156000,23270000,32900000,35900000,31000000
37,Total Current Assets,93890000,154732000,163223000,300969000,413200000,524200000,896900000
38,PP&E,12571000,24430000,36467000,60172000,84300000,326900000,350200000
39,Goodwill,44537000,44537000,45269000,45269000,53100000,53100000,53100000
40,Intangible Assets,122046000,125677000,131912000,136800000,155600000,161700000,155000000
41,Intangible Assets,166583000,170214000,177181000,182069000,208700000,214800000,208100000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,1781000,3642000,3998000,3045000,12200000,15100000,46900000
44,Other Non-Current Assets,- -,- -,- -,2183000,7000000,31700000,5100000
45,Total Non-Current Assets,180935000,198286000,217646000,247469000,312200000,588500000,610300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,274825000,353018000,380869000,548438000,725400000,1112700000,1507200000
48,Accounts Payable,12552000,23408000,25098000,28012000,46500000,52600000,78900000
49,Short-Term Debt,1250000,1250000,- -,- -,- -,35900000,45200000
50,Tax Payable,398000,7155000,- -,17740000,18100000,13000000,19100000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,15295000,25323000,39171000,105584000,90100000,112800000,138000000
53,Total Current Liabilities,29097000,49981000,64269000,133596000,136600000,201300000,262100000
54,Long-Term Debt,110133000,138250000,146089000,137074000,145200000,350100000,577400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,14951000,12769000,10888000,13256000,16700000,- -,21600000
57,Other Non-Current Liabilities,6211000,9316000,13455000,20902000,27800000,41100000,46000000
58,Total Non-Current Liabilities,131295000,160335000,170432000,171232000,189700000,391200000,645000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,254800000
61,Total Liabilities,160392000,210316000,234701000,304828000,326300000,592500000,907100000
62,Preferred Stock,54895000,56871000,- -,- -,- -,- -,- -
63,Common Stock,3350000,3350000,103295000,106095000,112600000,114700000,120500000
64,Retained Earnings,-1052000,25433000,40101000,136156000,279700000,389800000,454400000
