,https://roic.ai/company/AKO-A,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,416529322521,384935948821,444664571366,481927294781,398242077636,386856122981,412145003297,478718332823,547022893460,636689245422,847301262000,743115988000,888713882000,982864417000,1172292817000,1521681335000,1797199877000,1877394256000,1777459320000,1848878619000,1672915799000,1779025115000,1698281237000,2216733000000
2,COGS,211051864338,200059822025,228811106570,301613349719,262166428296,247212246890,252666113132,287542740168,312243342134,351451694549,470650678000,413356479000,504515568000,578581184000,698955215000,914817748000,1081243408000,1106706146000,1033910027000,1069024964000,968027774000,1048343767000,1022498659000,1375393000000
3,Gross Profit,205477458183,184876126796,215853464796,180313945062,136075649340,139643876092,159478890165,191175592655,234779551326,285237550873,376650584000,329759509000,384198314000,404283233000,473337602000,606863587000,715956469000,770688110000,743549293000,779853655000,704888025000,730681348000,675782578000,841340000000
4,Gross Profit Ratio,0.4933,0.4803,0.4854,0.3742,0.3417,0.3610,0.3869,0.3993,0.4292,0.4480,0.4445,0.4438,0.4323,0.4113,0.4038,0.3988,0.3984,0.4105,0.4183,0.4218,0.4214,0.4107,0.3979,0.3795
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155599585000,168523756000,197005912000,272556438000,342140932000,352600846000,346202795000,348199321000,313742853000,325903809000,283638935000,6393000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83141545000,98807574000,122818941000,163022685000,187042843000,202490792000,183676895000,192927875000,165775484000,166996289000,152532018000,542509000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238741130000,267331330000,319824853000,435579123000,529183775000,555091638000,529879690000,541127196000,479518337000,492900098000,436170953000,548902000000
9,Other Expenses,156228791631,152178402803,161012594297,124487111187,94554035225,91944113988,96837778552,113227085764,139666665840,169742530519,237973984000,199698228000,2966852000,3074333000,4487209000,9415963000,4719538000,8219046000,5972221000,7669234000,4653929000,4356973000,3367615000,- -
10,Operating Expenses,156228791631,152178402803,161012594297,124487111187,94554035225,91944113988,96837778552,113227085764,139666665840,169742530519,237973984000,199698228000,241707982000,270405663000,324312062000,444995086000,533903313000,563310684000,535851911000,548796430000,484172266000,497257071000,439538568000,548902000000
11,COGS and Expenses,367280655969,352238224828,389823700867,426100460906,356720463521,339156360878,349503891685,400769825933,451910007974,521194225067,708624662000,613054707000,746223550000,848986847000,1023267277000,1359812834000,1615146721000,1670016830000,1569761938000,1617821394000,1452200040000,1545600838000,1462037227000,1924295000000
