,https://roic.ai/company/BILI,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,130996000,523310000,2468449000,4128931000,6777922000,11998976000,19383684000
2,COGS,303568000,772812000,1919241000,3273493000,5587673000,9158800000,15340537000
3,Gross Profit,-172572000,-249502000,549208000,855438000,1190249000,2840176000,4043147000
4,Gross Profit Ratio,-1.3174,-0.4768,0.2225,0.2072,0.1756,0.2367,0.2086
5,Research and Development Exp.,24915000,91222000,280093000,537488000,894411000,1512966000,2839862000
6,General and Administrative Exp.,153707000,451334000,260898000,461165000,592497000,976082000,1837506000
7,Selling and Marketing Exp.,17689000,102659000,232489000,585758000,1198516000,3492091000,5794853000
8,"Selling, General and Administrative Exp.",171396000,553993000,493387000,1046923000,1791013000,4468173000,7632359000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,196311000,645215000,773480000,1584411000,2685424000,5981139000,10472221000
11,COGS and Expenses,499879000,1418027000,2692721000,4857904000,8273097000,15139939000,25812758000
12,Interest Income ,2345000,1502000,1483000,68706000,162782000,83301000,70367000
13,Interest Expense (Gain),- -,- -,- -,- -,46543000,108547000,155467000
14,Depreciation and Amortization,42226000,161518000,304398000,642445000,1168109000,1817876000,- -
15,EBITDA,-326925000,-745407000,129529000,116713000,-38454000,-1031912000,-6538472000
16,EBITDA ratio,-2.4957,-1.4244,0.0525,0.0283,-0.0057,-0.0860,-0.3373
17,Operating Income,-368883000,-894717000,-224272000,-728973000,-1495175000,-3140963000,-6429074000
18,Operating Income ratio,-2.8160,-1.7097,-0.0909,-0.1766,-0.2206,-0.2618,-0.3317
19,Total Other Income Expenses (Gains),-2180000,-13638000,49403000,189940000,227472000,140315000,-284376000
20,Income Before Tax,-371063000,-908355000,-174869000,-539033000,-1267703000,-3000648000,-6713450000
21,Income Before Tax Ratio,-2.8326,-1.7358,-0.0708,-0.1306,-0.1870,-0.2501,-0.3463
