,https://roic.ai/company/MRC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,3661922000,3845536000,4832423000,5570858000,5230792000,5933212000,4528613000,3041000000,3646000000,4172000000,3662000000,2560000000,2666000000
2,COGS,3113928000,3327434000,4124271000,4557115000,4276033000,4915106000,3742548000,2573000000,3064000000,3483000000,3009000000,2129000000,2249000000
3,Gross Profit,547994000,518102000,708152000,1013743000,954759000,1018106000,786065000,468000000,582000000,689000000,653000000,431000000,417000000
4,Gross Profit Ratio,0.1496,0.1347,0.1465,0.1820,0.1825,0.1716,0.1736,0.1539,0.1596,0.1651,0.1783,0.1684,0.1564
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,513563000,606753000,642994000,715958000,606503000,524000000,536000000,562000000,550000000,449000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,513563000,606753000,642994000,715958000,606503000,524000000,536000000,562000000,550000000,449000000,410000000
9,Other Expenses,408564000,447808000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,408564000,447808000,513563000,606753000,642994000,715958000,606503000,524000000,536000000,562000000,550000000,449000000,410000000
11,COGS and Expenses,3522492000,3775242000,4637834000,5163868000,4919027000,5631064000,4349051000,3097000000,3600000000,4045000000,3559000000,2578000000,2659000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),116504000,139641000,136844000,112519000,60685000,61752000,47540000,35000000,31000000,38000000,40000000,28000000,23000000
14,Depreciation and Amortization,61091000,70431000,67698000,68051000,74410000,90258000,80572000,69000000,67000000,68000000,63000000,46000000,43000000
15,EBITDA,-177159000,134895000,260310000,362266000,372006000,377956000,-214257000,13000000,105000000,201000000,169000000,-209000000,52000000
16,EBITDA ratio,-0.0484,0.0351,0.0539,0.0650,0.0711,0.0637,-0.0473,0.0043,0.0288,0.0482,0.0461,-0.0816,0.0195
17,Operating Income,-246670000,70294000,194589000,406990000,311765000,302148000,-282346000,-56000000,46000000,127000000,103000000,-260000000,7000000
18,Operating Income ratio,-0.0674,0.0183,0.0403,0.0731,0.0596,0.0509,-0.0623,-0.0184,0.0126,0.0304,0.0281,-0.1016,0.0026
19,Total Other Income Expenses (Gains),-108084000,-145471000,-138821000,-225294000,-74854000,-76202000,-60023000,-35000000,-39000000,-32000000,-37000000,-23000000,-21000000
20,Income Before Tax,-354754000,-75177000,55768000,181696000,236911000,225946000,-342369000,-91000000,7000000,95000000,66000000,-283000000,-14000000
21,Income Before Tax Ratio,-0.0969,-0.0195,0.0115,0.0326,0.0453,0.0381,-0.0756,-0.0299,0.0019,0.0228,0.0180,-0.1105,-0.0053
22,Income Tax expense (Gain),-14983000,-23353000,26784000,63738000,84816000,81836000,-10790000,-8000000,-43000000,21000000,27000000,-9000000,- -
23,Net Income,-339771000,-51824000,28984000,117958000,152095000,144110000,-331579000,-83000000,50000000,74000000,39000000,-274000000,-14000000
24,Net Income ratio,-0.0928,-0.0135,0.0060,0.0212,0.0291,0.0243,-0.0732,-0.0273,0.0137,0.0177,0.0106,-0.1070,-0.0053
25,EPS,-4.02,-0.61,0.34,1.22,1.50,1.41,-3.38,-1.10,0.28,0.55,0.18,-3.63,-0.17
26,EPS Diluted,-4.02,-0.61,0.34,1.22,1.48,1.40,-3.38,-1.10,0.27,0.54,0.18,-3.63,-0.17
27,Weighted Average Shares Outstanding,84437000,84437000,84417000,96465000,101712000,102006000,102067000,97300000,94300000,90100000,83000000,82000000,82000000
28,Weighted Average Shares Outstanding Diluted,84756000,84756000,84655000,96925000,102522000,102790000,102067000,97300000,95600000,91800000,83900000,82000000,82000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1439095/000119312512096454/0001193125-12-096454-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000119312513071478/0001193125-13-071478-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909514000014/mrc-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1439095/000143909515000009/mrc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1439095/000143909516000041/0001439095-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909517000008/0001439095-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909518000010/0001439095-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909519000012/0001439095-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909520000015/0001439095-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143774921002784/0001437749-21-002784-index.htm,https://www.sec.gov/Archives/edgar/data/1439095/000143774922003524/0001437749-22-003524-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,56244000,56202000,46127000,37090000,25188000,25064000,68997000,109000000,48000000,43000000,32000000,119000000,48000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,56244000,56202000,46127000,37090000,25188000,25064000,68997000,109000000,48000000,43000000,32000000,119000000,48000000
34,Net Receivables,527454000,628997000,791280000,823484000,812147000,974454000,532609000,399000000,522000000,587000000,459000000,319000000,379000000
35,Inventory,871653000,765367000,899064000,970228000,971567000,1186946000,781108000,561000000,701000000,797000000,701000000,509000000,453000000
36,Other Current Assets,12264000,10209000,11437000,19772000,37091000,35698000,22591000,48000000,47000000,38000000,26000000,19000000,19000000
37,Total Current Assets,1467615000,1460775000,1747908000,1850574000,1845993000,2222162000,1405305000,1117000000,1318000000,1465000000,1218000000,966000000,899000000
38,PP&E,111480000,104725000,107430000,122458000,118923000,116001000,126742000,135000000,147000000,140000000,324000000,303000000,282000000
39,Goodwill,549733000,549384000,561270000,610392000,632284000,806006000,483775000,482000000,486000000,484000000,483000000,264000000,264000000
40,Intangible Assets,875988000,817165000,771867000,749272000,708009000,701118000,458800000,411000000,368000000,322000000,281000000,229000000,204000000
41,Intangible Assets,1425721000,1366549000,1333137000,1359664000,1340293000,1507124000,942575000,893000000,854000000,806000000,764000000,493000000,468000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,78340000,59145000,39212000,37031000,30473000,28534000,26924000,19000000,21000000,23000000,19000000,19000000,22000000
45,Total Non-Current Assets,1615541000,1530419000,1479779000,1519153000,1489689000,1651659000,1096241000,1047000000,1022000000,969000000,1107000000,815000000,772000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3083156000,2991194000,3227687000,3369727000,3335682000,3873821000,2501546000,2164000000,2340000000,2434000000,2325000000,1781000000,1671000000
48,Accounts Payable,338512000,426632000,479584000,438344000,550393000,538943000,326813000,314000000,415000000,435000000,357000000,264000000,321000000
49,Short-Term Debt,- -,- -,- -,6500000,7935000,7935000,7935000,8000000,4000000,4000000,4000000,4000000,35000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,17023000,18140000,4450000,1573000,- -,- -,- -,- -,- -,- -,- -,70000000,- -
52,Other Current Liabilities,181914000,173443000,189133000,203687000,203769000,237260000,109618000,111000000,143000000,130000000,125000000,61000000,80000000
53,Total Current Liabilities,537449000,618215000,673167000,650104000,762097000,784138000,444366000,433000000,562000000,569000000,486000000,399000000,436000000
54,Long-Term Debt,1443496000,1360241000,1526740000,1250089000,978899000,1445709000,515720000,406000000,522000000,680000000,547000000,379000000,472000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,325964000,303083000,288985000,261448000,241116000,223705000,208470000,184000000,106000000,98000000,91000000,70000000,53000000
57,Other Non-Current Liabilities,32349000,19897000,17933000,22164000,15302000,23054000,21678000,23000000,36000000,40000000,204000000,228000000,32000000
58,Total Non-Current Liabilities,1801809000,1683221000,1833658000,1533701000,1235317000,1692468000,745868000,613000000,664000000,818000000,842000000,677000000,557000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201000000,224000000,210000000
61,Total Liabilities,2339258000,2301436000,2506825000,2183805000,1997414000,2476606000,1190234000,1046000000,1226000000,1387000000,1328000000,1076000000,993000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,355467000,355000000,355000000,355000000,355000000,355000000,355000000
63,Common Stock,1687000,1688000,844000,1016000,1019000,1022000,1022000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,-514216000,-565790000,-536791000,-418830000,-266735000,-122625000,-467378000,-574000000,-548000000,-498000000,-483000000,-781000000,-819000000
65,Other Comprehensive Income/Loss,-28718000,-44714000,-26000000,-22000000,-40000000,-137000000,-232000000,-234000000,-210000000,-232000000,-232000000,-234000000,-231000000
66,Other Total Stockholders Equity,1285145000,1298574000,1282809000,1625736000,1643984000,1655818000,1654201000,1570000000,1516000000,1421000000,1356000000,1364000000,1372000000
67,Total Stockholders Equity,743898000,689758000,720862000,1185922000,1338268000,1397215000,1311312000,1118000000,1114000000,1047000000,997000000,705000000,678000000
68,Total Liabilities And Stockholders Equity,3083156000,2991194000,3227687000,3369727000,3335682000,3873821000,2501546000,2164000000,2340000000,2434000000,2325000000,1781000000,1671000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3083156000,2991194000,3227687000,3369727000,3335682000,3873821000,2501546000,2164000000,2340000000,2434000000,2325000000,1781000000,1671000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1439095/000119312512096454/0001193125-12-096454-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000119312513071478/0001193125-13-071478-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909514000014/mrc-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1439095/000143909515000009/mrc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1439095/000143909516000041/0001439095-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909517000008/0001439095-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909518000010/0001439095-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909519000012/0001439095-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909520000015/0001439095-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143774921002784/0001437749-21-002784-index.htm,https://www.sec.gov/Archives/edgar/data/1439095/000143774922003524/0001437749-22-003524-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-339771000,-51824000,28984000,117958000,152095000,144110000,-331579000,-83000000,50000000,74000000,39000000,-274000000,-14000000
74,Depreciation and Amortization,61091000,70431000,67698000,68051000,74410000,90258000,80572000,69000000,67000000,68000000,63000000,46000000,43000000
75,Deferred Income Tax,-49237000,2673000,-16362000,-20432000,-19823000,-34200000,-87333000,-23000000,-78000000,-9000000,-5000000,-21000000,-15000000
76,Stock Based Compensation,7830000,3744000,8385000,8475000,15488000,8973000,10567000,12000000,16000000,14000000,16000000,12000000,12000000
77,Change in Working Capital,483589000,-87606000,232181000,125729000,-116574000,354128000,-477085000,-276939000,72000000,140000000,-164000000,-165000000,-48000000
78,Accounts Receivable,311613000,-83648000,-177744000,22399000,2069000,-132127000,412237000,128000000,-118000000,-74000000,127000000,141000000,-61000000
79,Inventory,521528000,27098000,-182173000,26674000,4479000,-208711000,419399000,141000000,-168000000,-175000000,95000000,173000000,-27000000
80,Accounts Payable,-193825000,85074000,36550000,-84380000,117320000,-29747000,-198525000,-13000000,93000000,27000000,-79000000,-98000000,60000000
81,Other Working Capital,930166000,842560000,1074741000,1200470000,1083896000,1438024000,960939000,684000000,756000000,896000000,732000000,567000000,- -
82,Other Non-Cash Items,341990000,175040000,-423783000,-59709000,217992000,-669647000,1494753000,554939000,-175000000,-298000000,293000000,663000000,78000000
83,Cash Provided by Operating Activities,505492000,112458000,-102897000,240072000,323588000,-106378000,689895000,253000000,-48000000,-11000000,242000000,261000000,56000000
84,CAPEX,-16698000,-14307000,-18056000,-26189000,-22068000,-20078000,-38722000,-33000000,-30000000,-20000000,-18000000,-11000000,-10000000
85,Acquisitions Net,- -,- -,-40000000,-152000000,-47000000,-344000000,- -,48000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-50238000,-1928000,10021000,-4850000,-341000,2107000,-2464000,1000000,3000000,6000000,2000000,30000000,3000000
89,Cash Used for Investing Activites,-66936000,-16235000,-48035000,-183039000,-69409000,-361971000,-41186000,16000000,-27000000,-14000000,-16000000,19000000,-7000000
90,Debt Repayment,-997359000,- -,- -,-1135223000,-2150188000,-1501122000,-1343496000,-41000000,-696000000,-1118000000,-1145000000,-819000000,-389000000
91,Common Stock Issued,- -,- -,- -,333342000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-70000,- -,- -,- -,- -,- -,-11526000,-95000000,-71000000,-130000000,-81000000,-4000000,-4000000
93,Dividends Paid,-2900000,- -,- -,- -,- -,- -,-10159000,-24000000,-24000000,-24000000,-24000000,-24000000,-24000000
94,Other Financing Activites,606479000,-97938000,140595000,741389000,1885197000,1968363000,765990000,-66000000,800000000,1296000000,1012000000,652000000,299000000
95,Cash Used/Provided by Financing Activities,-393850000,-97938000,140595000,-60492000,-264991000,467241000,-599191000,-226000000,9000000,24000000,-238000000,-195000000,-118000000
96,Effect of Forex Changes on Cash,-567000,1673000,262000,-5578000,-1090000,984000,-5585000,-3000000,5000000,-4000000,1000000,2000000,-2000000
97,Net Change In Cash,44139000,-42000,-10075000,-9037000,-11902000,-124000,43933000,40000000,-61000000,-5000000,-11000000,87000000,-71000000
98,Cash at the End of Period,56244000,56202000,46127000,37090000,25188000,25064000,68997000,109000000,48000000,43000000,32000000,119000000,48000000
99,Cash at the Beginning of Period,12105000,56244000,56202000,46127000,37090000,25188000,25064000,69000000,109000000,48000000,43000000,32000000,119000000
100,Free Cash Flow,488794000,98151000,-120953000,213883000,301520000,-126456000,651173000,220000000,-78000000,-31000000,224000000,250000000,46000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1439095/000119312512096454/0001193125-12-096454-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000119312513071478/0001193125-13-071478-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909514000014/mrc-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1439095/000143909515000009/mrc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1439095/000143909516000041/0001439095-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909517000008/0001439095-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909518000010/0001439095-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909519000012/0001439095-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143909520000015/0001439095-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1439095/000143774921002784/0001437749-21-002784-index.htm,https://www.sec.gov/Archives/edgar/data/1439095/000143774922003524/0001437749-22-003524-index.htm
102,false,,,,,,,,,,,,,
