,https://roic.ai/company/OMWS,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,13000,- -,- -,- -,218874
2,COGS,- -,650,- -,- -,- -,120253
3,Gross Profit,- -,12350,- -,- -,- -,98621
4,Gross Profit Ratio,- -,0.9500,- -,- -,- -,0.4506
5,Research and Development Exp.,- -,4000,- -,- -,- -,- -
6,General and Administrative Exp.,100,9420,26436,12117,33680,993147
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,409065
8,"Selling, General and Administrative Exp.",100,9420,26436,12117,33680,1402212
9,Other Expenses,900,330,391,1620,- -,306550
10,Operating Expenses,1000,13750,26827,13737,33680,1708762
11,COGS and Expenses,1000,14400,26827,13737,33680,1829015
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,611536
14,Depreciation and Amortization,- -,330,271,270,215,272779
15,EBITDA,-1000,-1354,-26556,-13467,-33465,-1350760
16,EBITDA ratio,-Infinity,-0.1042,-Infinity,-Infinity,-Infinity,-6.1714
17,Operating Income,-1000,-1400,-26827,-13737,-33680,-1610141
18,Operating Income ratio,-Infinity,-0.1077,-Infinity,-Infinity,-Infinity,-7.3565
19,Total Other Income Expenses (Gains),- -,-284,-757,-162,- -,-624934
20,Income Before Tax,-1000,-1684,-27584,-13899,-33680,-2235075
21,Income Before Tax Ratio,-Infinity,-0.1295,-Infinity,-Infinity,-Infinity,-10.2117
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-1000,-1684,-27584,-13899,-33680,-2235075
24,Net Income ratio,-Infinity,-0.1295,-Infinity,-Infinity,-Infinity,-10.2117
25,EPS,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01
26,EPS Diluted,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01
27,Weighted Average Shares Outstanding,37912290,825869886,825869886,825869886,825870090,191762745
28,Weighted Average Shares Outstanding Diluted,37912290,825869886,825869886,825869886,825870090,191762745
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1676852/000167685217000011/0001676852-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1676852/000167685218000004/0001676852-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1676852/000167685219000006/0001676852-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1676852/000149315220013249/0001493152-20-013249-index.htm,https://www.sec.gov/Archives/edgar/data/1676852/000149315221018171/0001493152-21-018171-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,2999,3869,3191,1053,- -,28761
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2999,3869,3191,1053,- -,28761
34,Net Receivables,- -,- -,- -,- -,- -,201541
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,16000
