,https://roic.ai/company/TREC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,17764983,18358658,22014286,26174119,25089175,27790666,42611811,32712668,36753000,39624733,59793454,80373587,98502157,108638115,154630234,117586679,139110194,199516524,222858000,236227000,289643000,241976000,212399000,245143000,287932000,258959000,208626000,272690000
2,COGS,13750750,15575054,19357737,22119668,18192488,21352555,40715332,28327172,30035531,36374346,52465984,63626497,79888772,88861365,159226896,95688819,121894912,173600205,192100000,201064000,243900000,182607000,172497000,203582000,260114000,220444000,179948000,244114000
3,Gross Profit,4014233,2783604,2656549,4054451,6896687,6438111,1896479,4385496,6717469,3250387,7327470,16747090,18613385,19776750,-4596662,21897860,17215282,25916319,30758000,35163000,45743000,59369000,39902000,41561000,27818000,38515000,28678000,28576000
4,Gross Profit Ratio,0.2260,0.1516,0.1207,0.1549,0.2749,0.2317,0.0445,0.1341,0.1828,0.0820,0.1225,0.2084,0.1890,0.1820,-0.0297,0.1862,0.1238,0.1299,0.1380,0.1489,0.1579,0.2454,0.1879,0.1695,0.0966,0.1487,0.1375,0.1048
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,2372683,2284422,2695043,2669088,2933616,3665642,3717822,4087875,4387957,4257957,4468253,5842564,7619280,9034366,9144710,10930141,11777058,12782000,14672000,19701000,22603000,20434000,22587000,22396000,24386000,24892000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2372683,2284422,2695043,2669088,2933616,3665642,3717822,4087875,4387957,4257957,4468253,5842564,7619280,9034366,9144710,10930141,11777058,12782000,14672000,19701000,22603000,20434000,22587000,22396000,24386000,24892000,- -
9,Other Expenses,1708607,677157,693251,538240,428743,719793,1258953,1381469,1414202,1367218,1123474,756596,859059,1074762,331703,443538,433372,475526,520000,521000,560000,725000,761000,872000,740000,840000,848000,486000
10,Operating Expenses,1708607,3049840,2977673,3233283,3097831,3653409,4924595,5099291,5502077,5755175,5381431,5224849,6701623,8694042,9366069,9588248,11363513,12252584,13302000,15193000,20261000,23328000,21195000,23459000,23136000,25226000,25740000,- -
11,COGS and Expenses,15459357,18624894,22335410,25352951,21290319,25005964,45639927,33426463,35537608,42129521,57847415,68851346,86590395,97555407,168592965,105277067,133258425,185852789,205402000,216257000,264161000,205935000,193692000,227041000,283250000,245670000,205688000,275774000
12,Interest Income ,56491,33395,25310,- -,112129,- -,104795,44534,37621,31954,28089,80489,276184,297494,204635,63669,16184,3576,3000,15000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),347364,369546,336979,- -,346117,- -,1026766,1506544,1354042,1244749,1600718,792976,704282,142696,605254,1327530,1132968,1113292,547000,520000,1042000,2217000,1985000,2931000,4100000,5139000,2491000,1205000
14,Depreciation and Amortization,647137,677157,693251,538240,428743,719793,1258953,1381469,1414202,1367218,1123474,756596,859059,1074762,1631283,2689847,2613164,3470203,3823000,4289000,5676000,9060000,9776000,10961000,14358000,16201000,16148000,17296000
15,EBITDA,3886780,677471,639334,1356604,4472283,3743260,-1617179,792885,3460307,-893396,173436,19319560,13448085,12415082,-11617224,14988796,8134602,17140717,21672000,32454000,29436000,39639000,41693000,24742000,15319000,2800000,45851000,14698000
16,EBITDA ratio,0.2188,0.0369,0.0290,0.0518,0.1783,0.1347,-0.0380,0.0242,0.0942,-0.0225,0.0029,0.2404,0.1365,0.1143,-0.0751,0.1275,0.0585,0.0859,0.0972,0.1374,0.1016,0.1638,0.1963,0.1009,0.0532,0.0108,0.2198,0.0539
17,Operating Income,2305626,-266236,-321124,821168,3798856,2784702,-3028116,-713795,1215392,-2504788,1946039,11522241,11911762,11082708,-13962731,12309612,5851769,13663735,17456000,19970000,25482000,36041000,18707000,18102000,2335000,-10863000,2938000,-3084000
18,Operating Income ratio,0.1298,-0.0145,-0.0146,0.0314,0.1514,0.1002,-0.0711,-0.0218,0.0331,-0.0632,0.0325,0.1434,0.1209,0.1020,-0.0903,0.1047,0.0421,0.0685,0.0783,0.0845,0.0880,0.1489,0.0881,0.0738,0.0081,-0.0419,0.0141,-0.0113
19,Total Other Income Expenses (Gains),8503,-102996,-69772,351404,-101433,238765,-874782,-1381333,-523329,-1000575,-4496795,-567777,-27018,114916,108970,-1338193,-1463299,-1106513,-154000,7675000,-2764000,-7679000,11225000,-7252000,-5474000,-5587000,-1935000,5683000
20,Income Before Tax,2314129,-369232,-390896,- -,3697423,3023467,-3902898,-2095128,692063,-3505363,-2550756,10954464,11884744,11197624,-13853761,10971419,4388470,12557222,17302000,27645000,22718000,28362000,29932000,10850000,-3139000,-16450000,1003000,2599000
21,Income Before Tax Ratio,0.1303,-0.0201,-0.0178,- -,0.1474,0.1088,-0.0916,-0.0640,0.0188,-0.0885,-0.0427,0.1363,0.1207,0.1031,-0.0896,0.0933,0.0315,0.0629,0.0776,0.1170,0.0784,0.1172,0.1409,0.0443,-0.0109,-0.0635,0.0048,0.0095
22,Income Tax expense (Gain),39973,- -,- -,- -,255777,283114,- -,- -,- -,- -,- -,1133787,4009416,3426243,-4978846,4343968,1702816,4126908,5904000,8147000,7147000,9764000,10504000,-7159000,-807000,-3566000,-3963000,-2364000
23,Net Income,2852306,-369232,-390896,818364,3441646,2740353,-3902898,-2095128,692063,-3505363,-2550756,16636201,7875328,7771381,-8874915,6627451,2685654,8430314,11398000,19498000,15571000,18598000,19428000,18009000,-2332000,-14974000,31175000,- -
24,Net Income ratio,0.1606,-0.0201,-0.0178,0.0313,0.1372,0.0986,-0.0916,-0.0640,0.0188,-0.0885,-0.0427,0.2070,0.0800,0.0715,-0.0574,0.0564,0.0193,0.0423,0.0511,0.0825,0.0538,0.0769,0.0915,0.0735,-0.0081,-0.0578,0.1494,- -
25,EPS,0.14,-0.02,-0.02,0.04,0.16,0.12,-0.17,-0.09,0.03,-0.15,-0.11,0.73,0.35,0.34,-0.46,0.28,0.11,0.35,0.47,0.81,0.64,0.76,0.80,0.74,-0.10,-0.61,1.26,- -
26,EPS Diluted,0.14,-0.02,-0.02,0.04,0.14,0.12,-0.17,-0.09,0.03,-0.15,-0.11,0.73,0.35,0.33,-0.46,0.28,0.11,0.35,0.46,0.79,0.63,0.74,0.78,0.72,-0.10,-0.61,1.23,- -
27,Weighted Average Shares Outstanding,20027881,20030434,20286208,21306040,21995735,22026114,22673033,22768858,22731994,22731994,22731994,22731994,22804567,22895394,24427367,23733955,23769047,23992538,24081000,24115000,24188000,24370000,24284000,24294000,24438000,24698000,24802000,24802000
28,Weighted Average Shares Outstanding Diluted,20027881,20030434,20286208,22017652,25649695,22604240,22673033,22768858,23243274,22731994,22731994,22731994,22967626,23291669,24427367,23800499,23780303,24267289,24745000,24745000,24896000,25181000,24982000,25129000,24438000,24698000,25356000,25356000
