,https://roic.ai/company/AACG,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,22619000,- -,- -,68992636,84880877,172121601,217545303,245031543,303903811,352085560,366675495,384668378,350157824,417139969,472385716,1338592,97770167,162167547,202209465
2,COGS,- -,- -,- -,- -,33966715,41101688,66960398,92608631,129535003,149216172,158818041,188831873,188480346,172539260,208017208,239852504,4251451,61914502,98521027,97413915
3,Gross Profit,- -,8829000,21388000,- -,35025922,43779189,105161202,124936672,115496540,154687639,193267519,177843622,196188032,177618564,209122761,232533212,-2912859,35855665,63646520,104795550
4,Gross Profit Ratio,- -,0.3903,Infinity,- -,0.5077,0.5158,0.6110,0.5743,0.4714,0.5090,0.5489,0.4850,0.5100,0.5073,0.5013,0.4923,-2.1761,0.3667,0.3925,0.5183
5,Research and Development Exp.,- -,- -,- -,- -,4850620,9322068,12884924,16240618,22708310,22756340,18402166,21846305,27673298,36836338,36529145,43430385,19594484,11817255,8832488,11801545
6,General and Administrative Exp.,- -,- -,- -,- -,- -,32024170,- -,57386622,56839498,54421441,61683088,70449357,71605616,64759122,78341173,69078028,43507856,81923516,100097849,93256046
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,22028895,- -,24921910,38951021,54382019,46345286,49394470,47259273,45186175,42645682,47823235,5570169,34112212,53500051,66149460
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,54053065,- -,82308532,95790519,108803460,108028374,119843827,118864889,109945297,120986855,116901263,49078025,116035728,153597900,159405506
9,Other Expenses,- -,- -,48100000,- -,31265476,- -,68844180,- -,27052862,2235627,2350990,9140062,-3738232,-1231535,-127852,694460,-3793418,16842678,5574081,-22018
10,Operating Expenses,- -,- -,48100000,- -,36116096,63375133,81729104,98549150,145551691,133795427,128781530,150830194,142799955,145550100,157388148,161026108,64879091,144695661,168004469,171185033
11,COGS and Expenses,- -,- -,48100000,- -,70082811,104476821,148689502,191157781,275086694,283011599,287599571,339662067,331280301,318089360,365405356,400878612,69130542,206610163,266525496,268598948
12,Interest Income ,- -,- -,- -,- -,331679,599872,473830,395108,731181,1035607,2061020,3122304,4770024,4136454,3572711,3989868,- -,- -,- -,- -
13,Interest Expense (Gain),- -,9093000,9690000,- -,22698668,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75918,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,24244678,1836675,2699975,5206412,12750481,13635561,11278264,10617534,10754370,7583790,8611508,10293833,13331272,17545060,29913815,- -
15,EBITDA,- -,-17781000,-3579000,- -,21665214,-16746335,30196442,34654600,-16857364,36701864,81458816,40830506,57926267,40214656,53584174,39250735,868257186,-111858048,-72553053,-35189170
16,EBITDA ratio,- -,-0.7861,-Infinity,- -,0.3140,-0.1973,0.1754,0.1593,-0.0688,0.1208,0.2314,0.1114,0.1506,0.1148,0.1285,0.0831,648.6347,-1.1441,-0.4474,-0.1740
17,Operating Income,- -,-17933000,-3579000,- -,-1090174,-19595944,23432099,26387522,-30055151,20892212,64485989,27013428,41378620,31758311,51734613,71507104,-67791950,-117772435,-107478374,-66389483
18,Operating Income ratio,- -,-0.7928,-Infinity,- -,-0.0158,-0.2309,0.1361,0.1213,-0.1227,0.0687,0.1832,0.0737,0.1076,0.0907,0.1240,0.1514,-50.6442,-1.2046,-0.6628,-0.3283
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-24187957,1012934,4064368,3060666,447306,2174091,5694563,3199544,5793277,872555,-6761947,-42879525,-261524,-23489180,-3375210,28439789
20,Income Before Tax,- -,- -,- -,- -,-25278131,-18583010,27496467,29448188,-29607845,23066303,70180552,30212972,47171897,32630866,44972666,28627579,-68053474,-141261615,-110853584,-37949694
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.3664,-0.2189,0.1598,0.1354,-0.1208,0.0759,0.1993,0.0824,0.1226,0.0932,0.1078,0.0606,-50.8396,-1.4448,-0.6836,-0.1877
22,Income Tax expense (Gain),- -,- -,- -,- -,-485142,-1793158,7322775,6637973,5742146,3312287,14339082,7004982,19895462,9575146,18921479,38596986,- -,-7149119,-10268836,-1539577
23,Net Income,- -,-26874000,-12198000,- -,-24792989,-16789852,20173692,22810215,-35349991,19754016,55841470,23207990,27276435,23055720,26051187,-9716002,854925914,-122253989,-92198032,-33649593
24,Net Income ratio,- -,-1.1881,-Infinity,- -,-0.3594,-0.1978,0.1172,0.1049,-0.1443,0.0650,0.1586,0.0633,0.0709,0.0658,0.0625,-0.0206,638.6755,-1.2504,-0.5685,-0.1664
25,EPS,- -,-2.68,-1.22,- -,-4.32,-1.63,1.58,1.00,-1.58,0.88,2.44,1.00,1.18,0.98,1.14,-0.42,36.50,-5.04,-3.14,-1.15
26,EPS Diluted,- -,-2.68,-1.22,- -,-4.32,-1.63,1.06,0.98,-1.58,0.88,2.38,1.00,1.18,0.98,1.14,-0.42,36.50,-5.04,-3.14,-1.15
27,Weighted Average Shares Outstanding,- -,10027612,9998361,- -,8210340,10297036,12721325,22688004,22373412,22447745,22885848,23207990,22600000,23526245,22851918,22900000,23422411,24236984,29362431,29362431
28,Weighted Average Shares Outstanding Diluted,- -,10027612,9998361,- -,8210340,10297036,19028021,23215759,22373412,22447745,23462803,23207990,22600000,23526245,22851918,22900000,23422411,24236984,29362431,29362431
29,SEC Link,undefined,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1420529/000095012309043178/h03645e20vf.htm,https://www.sec.gov/Archives/edgar/data/1420529/000095012310063996/h04325e20vf.htm,https://www.sec.gov/Archives/edgar/data/1420529/000095012311059233/0000950123-11-059233-index.html,https://www.sec.gov/Archives/edgar/data/1420529/000110465912042065/a12-11360_120f.htm,https://www.sec.gov/Archives/edgar/data/1420529/000110465913051435/0001104659-13-051435-index.html,https://www.sec.gov/Archives/edgar/data/1420529/000110465914048508/0001104659-14-048508-index.html,https://www.sec.gov/Archives/edgar/data/1420529/000110465915047151/0001104659-15-047151-index.html,https://www.sec.gov/Archives/edgar/data/1420529/000110465916129147/0001104659-16-129147-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1420529/000156459020019206/aacg-20f_20191231.htm,https://www.sec.gov/Archives/edgar/data/1420529/000156459021016200/0001564590-21-016200-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,12852000,- -,- -,44595337,45019114,332261100,310503071,213874252,268058194,257167696,290029715,311947098,240295371,247667737,222448413,190586342,154197758,112723433,71339361
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,12852000,- -,- -,44595337,45019114,332261100,310503071,213874252,268058194,257167696,290029715,311947098,240295371,247667737,222448413,190586342,154197758,112723433,71339361
34,Net Receivables,- -,5142000,- -,- -,12975941,16997421,63514727,71076794,82900060,47051596,81844571,51114718,68782717,56026569,60552034,66161255,14972468,19526699,3615553,938189
35,Inventory,- -,- -,- -,- -,2315245,2405912,2952540,2287260,2115220,344909,374382,313573,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,3620000,50189000,125881000,8058190,12233295,4658505,15134804,10184165,10036345,15682735,13312090,17363032,16628726,11932244,7335824,7836092,9835694,4600614,3129600
37,Total Current Assets,- -,21614000,50189000,125881000,67944714,76655742,403386873,399001929,309073697,325491044,355069384,354770096,398092847,312950666,320152015,295945492,213394902,183560151,120939600,75407150
38,PP&E,- -,- -,- -,- -,3074511,7543184,10670371,20987472,70328064,63040178,59890306,61310690,55814182,62720375,57229727,51868914,37430741,82857085,79898302,78921393
39,Goodwill,- -,- -,- -,- -,6875652,6880123,6881460,23422850,23422850,23422850,23422850,23422850,31011902,31011902,31011902,32523983,- -,200478795,194754963,194754963
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,25994261,23206591,20356104,17597266,15082874,1792935,943769,750895,11326513,17122578,135599770,110586111,93352778
41,Intangible Assets,- -,- -,- -,- -,6875652,6880123,6881460,49417111,46629441,43778954,41020116,38505724,32804837,31955671,31762797,43850496,17122578,336078565,305341074,288107741
42,Investments,- -,- -,- -,- -,- -,3162548,- -,- -,- -,- -,- -,- -,- -,35729848,50685846,88891687,66390898,45726391,44000000,38000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3388760,- -,11464891,2491792,- -
44,Other Non-Current Assets,- -,32310000,- -,- -,10432121,13923853,15779723,1838544,2471898,3136860,4740321,3231971,4524858,11887740,10630745,35894767,799652,16402750,22950264,26739026
45,Total Non-Current Assets,- -,32310000,- -,- -,20382284,31509708,33331554,72243127,119429403,109955992,105650743,103048385,93143877,142293634,150309115,223894624,121743869,492529682,454681432,431768160
46,Other Assets,- -,- -,13797000,13379000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,53924000,63986000,139260000,88326998,108165450,436718428,471245056,428503100,435447036,460720127,457818481,491236724,455244300,470461130,519840116,335138771,676089833,575621032,507175310
48,Accounts Payable,- -,- -,54576000,46277000,4273723,5546140,29828094,- -,- -,- -,9000251,23886983,2622744,1409520,532185,734571,- -,- -,- -,- -
