,https://roic.ai/company/TSLA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,73000,14742000,111943000,116744000,204242000,413256000,2013496000,3198356000,4046025000,7000132000,11758751000,21461268000,24578000000,31536000000,53823000000
2,COGS,9000,15883000,102408000,86013000,142647000,383189000,1557234000,2316685000,3122522000,5400875000,9536264000,17419247000,20509000000,24906000000,40217000000
3,Gross Profit,64000,-1141000,9535000,30731000,61595000,30067000,456262000,881671000,923503000,1599257000,2222487000,4042021000,4069000000,6630000000,13606000000
4,Gross Profit Ratio,0.8767,-0.0774,0.0852,0.2632,0.3016,0.0728,0.2266,0.2757,0.2282,0.2285,0.1890,0.1883,0.1656,0.2102,0.2528
5,Research and Development Exp.,62753000,53714000,19282000,92996000,208981000,273978000,231976000,464700000,717900000,834408000,1378073000,1460370000,1343000000,1491000000,2593000000
6,General and Administrative Exp.,- -,- -,- -,84573000,104102000,150372000,285569000,603660000,922232000,1432189000,2476500000,2834491000,2646000000,3145000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,84573000,104102000,150372000,285569000,603660000,922232000,1432189000,2476500000,2834491000,2646000000,3145000000,4517000000
9,Other Expenses,17244000,23649000,42150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,79997000,77363000,61432000,177569000,313083000,424350000,517545000,1068360000,1640132000,2266597000,3854573000,4294861000,3989000000,4636000000,7110000000
11,COGS and Expenses,80006000,93246000,163840000,263582000,455730000,807539000,2074779000,3385045000,4762654000,7667472000,13390837000,21714108000,24498000000,29542000000,47327000000
12,Interest Income ,1749000,529000,159000,258000,255000,288000,189000,1126000,1508000,8530000,19686000,24533000,44000000,30000000,56000000
13,Interest Expense (Gain),- -,3747000,2531000,992000,43000,254000,32934000,100886000,118851000,198810000,471259000,663071000,685000000,748000000,371000000
14,Depreciation and Amortization,2895000,4157000,6940000,10623000,16919000,28825000,106083000,231931000,422590000,947099000,1636003000,1901050000,2154000000,2322000000,2911000000
15,EBITDA,-75152000,-74781000,-46243000,-142540000,-236960000,-366998000,67591000,48181000,-334183000,497693000,177408000,1645867000,2087000000,4052000000,9500000000
16,EBITDA ratio,-1029.4795,-5.0726,-0.4131,-1.2210,-1.1602,-0.8881,0.0336,0.0151,-0.0826,0.0711,0.0151,0.0767,0.0849,0.1285,0.1765
17,Operating Income,-79933000,-78504000,-51897000,-146838000,-251488000,-394283000,-61283000,-186689000,-716629000,-667340000,-1632086000,-388073000,-69000000,1994000000,-6523000000
18,Operating Income ratio,-1094.9726,-5.3252,-0.4636,-1.2578,-1.2313,-0.9541,-0.0304,-0.0584,-0.1771,-0.0953,-0.1388,-0.0181,-0.0028,0.0632,-0.1212
19,Total Other Income Expenses (Gains),1886000,-4181000,-3817000,-7317000,-2434000,-1794000,-10143000,-97947000,-158995000,-79008000,-576946000,-616672000,-596000000,-840000000,12866000000
20,Income Before Tax,-78047000,-82685000,-55714000,-154155000,-253922000,-396077000,-71426000,-284636000,-875624000,-746348000,-2209032000,-1004745000,-665000000,1154000000,6343000000
21,Income Before Tax Ratio,-1069.1370,-5.6088,-0.4977,-1.3205,-1.2432,-0.9584,-0.0355,-0.0890,-0.2164,-0.1066,-0.1879,-0.0468,-0.0271,0.0366,0.1178
22,Income Tax expense (Gain),110000,97000,26000,173000,489000,136000,2588000,9404000,13039000,26698000,31546000,57837000,110000000,292000000,699000000
23,Net Income,-78157000,-82782000,-55740000,-154328000,-254411000,-396213000,-74014000,-294040000,-888663000,-674914000,-1961400000,-976091000,-862000000,690000000,5519000000
24,Net Income ratio,-1070.6438,-5.6154,-0.4979,-1.3219,-1.2456,-0.9588,-0.0368,-0.0919,-0.2196,-0.0964,-0.1668,-0.0455,-0.0351,0.0219,0.1025
25,EPS,-0.20,-0.21,-0.14,-0.61,-0.51,-0.74,-0.12,-0.47,-1.39,-0.94,-2.37,-1.14,-0.98,0.74,5.75
26,EPS Diluted,-0.20,-0.21,-0.14,-0.61,-0.51,-0.74,-0.12,-0.47,-1.39,-0.94,-2.37,-1.14,-0.98,0.64,5.75
27,Weighted Average Shares Outstanding,389869155,389869155,388469270,253591510,501944075,536745000,597105000,622865000,641010000,721060000,828790000,852625000,885000000,960000000,960000000
28,Weighted Average Shares Outstanding Diluted,389869155,389869155,388469270,253591510,501944075,536745000,597105000,622865000,641010000,721060000,828790000,852625000,885000000,960000000,960000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318605/000119312511054847/0001193125-11-054847-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312512081990/0001193125-12-081990-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312513096241/0001193125-13-096241-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000119312514069681/0001193125-14-069681-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459015001031/0001564590-15-001031-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459016013195/0001564590-16-013195-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459017003118/0001564590-17-003118-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/0001564590-18-002956-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/0001564590-19-003165-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/0001564590-20-004475-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/0000950170-22-000796-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,17211000,9277000,69627000,99558000,255266000,201890000,845889000,1905713000,1196908000,3393216000,3367914000,3685618000,6268000000,19384000000,17576000000
32,Short-Term Investments,- -,- -,- -,- -,25061000,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000000
33,Cash and Short-Term Investments,17211000,9277000,69627000,99558000,280327000,201890000,845889000,1905713000,1196908000,3393216000,3367914000,3685618000,6268000000,19384000000,17707000000
34,Net Receivables,59000,3320000,3488000,6710000,9539000,26842000,49109000,226604000,168965000,499142000,515381000,949022000,1324000000,1886000000,1913000000
35,Inventory,2108000,16650000,23222000,45182000,50082000,268504000,340355000,953675000,1277838000,2067454000,2263537000,3113446000,3552000000,4101000000,5757000000
36,Other Current Assets,2930000,2180000,4222000,84436000,32890000,27532000,30586000,112665000,147857000,299984000,423688000,558222000,959000000,1346000000,1723000000
37,Total Current Assets,22308000,31427000,100559000,235886000,372838000,524768000,1265939000,3198657000,2791568000,6259796000,6570520000,8306308000,12103000000,26717000000,27100000000
38,PP&E,11998000,18793000,23535000,122599000,310171000,562300000,1120919000,2596011000,5194737000,15036917000,20491616000,19691231000,20199000000,23375000000,31176000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60237000,68159000,198000000,207000000,200000000
40,Intangible Assets,- -,- -,- -,- -,- -,14267000,13930000,- -,- -,376145000,361502000,282492000,339000000,313000000,1517000000
41,Intangible Assets,- -,- -,- -,- -,- -,14267000,13930000,- -,- -,376145000,421739000,350651000,537000000,520000000,1717000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,531000,1479000,6330000,27597000,30439000,12854000,16142000,54583000,106155000,991218000,1171497000,1391424000,1470000000,1536000000,2138000000
45,Total Non-Current Assets,12529000,20272000,29865000,150196000,340610000,589421000,1150991000,2650594000,5300892000,16404280000,22084852000,21433306000,22206000000,25431000000,35031000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34837000,51699000,130424000,386082000,713448000,1114189000,2416930000,5849251000,8092460000,22664076000,28655372000,29739614000,34309000000,52148000000,62131000000
48,Accounts Payable,5369000,14184000,15086000,28951000,56141000,303382000,303969000,777946000,916148000,1860341000,2390250000,3404451000,3771000000,6051000000,10025000000
49,Short-Term Debt,80000,341000,290000,279000,8983000,55206000,7904000,632128000,633166000,1202178000,963862000,2711199000,2070000000,2132000000,1589000000
50,Tax Payable,- -,- -,- -,2674000,967000,9710000,38067000,71229000,101206000,152897000,185807000,348663000,611000000,777000000,1122000000
51,Deferred Revenue,- -,4073000,1377000,4635000,2345000,140722000,255035000,449238000,707331000,1426985000,1869172000,1422893000,1889000000,2210000000,2372000000
52,Other Current Liabilities,45847000,69337000,40736000,51700000,123870000,39798000,108252000,247854000,559629000,1337501000,2451386000,2453593000,2937000000,3855000000,5719000000
53,Total Current Liabilities,51296000,87935000,57489000,85565000,191339000,539108000,675160000,2107166000,2816274000,5827005000,7674670000,9992136000,10667000000,14248000000,19705000000
54,Long-Term Debt,- -,54528000,- -,71828000,268335000,401495000,586119000,1864714000,2082420000,5978284000,9418389000,9403672000,11634000000,9556000000,5245000000
55,Deferred Revenue,- -,- -,1240000,2783000,3146000,3060000,181180000,292271000,446105000,851790000,1177799000,990873000,1207000000,1284000000,2052000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,6821000,- -,- -,- -,- -,- -,- -,151000000,24000000
57,Other Non-Current Liabilities,101387000,108950000,325218000,18858000,26583000,45827000,300530000,673390000,1658717000,4468911000,5149926000,3595293000,3334000000,3834000000,4090000000
58,Total Non-Current Liabilities,101387000,163478000,326458000,93469000,298064000,450382000,1074650000,2830375000,4187242000,11298985000,15746114000,13989838000,16175000000,14825000000,11411000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,98000,1229000,1090000,775000,3897000,14330000,20577000,42829000,32671000,1459684000,1801010000,3194796000,2896000000,3008000000,3531000000
61,Total Liabilities,152683000,251413000,383947000,179034000,489403000,989490000,1749810000,4937541000,7003516000,17125990000,23420784000,23981974000,26842000000,29073000000,31116000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,18000,21000,7000,95000,104000,115000,123000,126000,131000,161000,169000,173000,- -,1000000,1000000
64,Retained Earnings,-122132000,-204914000,-260654000,-414982000,-669392000,-1065606000,-1139620000,-1433682000,-2322323000,-2997237000,-4974299000,-5317832000,-6083000000,-5399000000,331000000
65,Other Comprehensive Income/Loss,-3198000,-6826000,-12730000,-21993000,-3000,- -,-140142000,-292590000,-3556000,-23740000,33348000,-8218000,-36000000,363000000,54000000
