,https://roic.ai/company/IQ,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,5318584000,11237407000,17378350000,24989116000,28993658000,29707215000,30554359000
2,COGS,6041764000,11436595000,17386563000,27132811000,30348342000,27884395000,27513497000
3,Gross Profit,-723180000,-199188000,-8213000,-2143695000,-1354684000,1822820000,3040862000
4,Gross Profit Ratio,-0.1360,-0.0177,-0.0005,-0.0858,-0.0467,0.0614,0.0995
5,Research and Development Exp.,499957000,824482000,1269806000,1994652000,2667146000,2675494000,2794927000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,4725142000
9,Other Expenses,1204464000,1765824000,2674990000,4167889000,5236007000,5187835000,- -
10,Operating Expenses,1704421000,2590306000,3944796000,6162541000,7903153000,7863329000,7520069000
11,COGS and Expenses,7746185000,14026901000,21331359000,33295352000,38251495000,35747724000,35033566000
12,Interest Income ,5002000,17009000,83127000,213969000,402145000,157477000,118615000
13,Interest Expense (Gain),55492000,110477000,277577000,94711000,914371000,1066320000,1349544000
14,Depreciation and Amortization,2920315000,5019388000,8765184000,14979977000,17169332000,17195612000,- -
15,EBITDA,411861000,2068931000,5298264000,6043713000,7812226000,11246847000,-4723495000
16,EBITDA ratio,0.0774,0.1841,0.3049,0.2419,0.2694,0.3786,-0.1546
17,Operating Income,-2427601000,-2789494000,-3953009000,-8306236000,-9257837000,-6040509000,-4479207000
18,Operating Income ratio,-0.4564,-0.2482,-0.2275,-0.3324,-0.3193,-0.2033,-0.1466
19,Total Other Income Expenses (Gains),-136345000,-271440000,208512000,-676194000,-967050000,-943368000,-1532781000
20,Income Before Tax,-2563946000,-3060934000,-3744497000,-8982430000,-10224887000,-6983877000,-6011988000
21,Income Before Tax Ratio,-0.4821,-0.2724,-0.2155,-0.3595,-0.3527,-0.2351,-0.1968
22,Income Tax expense (Gain),11166000,13088000,-7565000,78801000,51852000,23276000,96545000
23,Net Income,-2575112000,-3074022000,-3736932000,-9109776000,-10323329000,-7038361000,-6169584000
24,Net Income ratio,-0.4842,-0.2736,-0.2150,-0.3645,-0.3561,-0.2369,-0.2019
25,EPS,-4.43,-13.67,-6.23,-17.01,-14.14,-9.52,-8.34
