,https://roic.ai/company/PRLB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,43833000,64919000,98939000,125991000,163112000,209583000,264106000,298055000,344490000,445596000,458728000,434395000,488098000
2,COGS,18559000,25443000,39324000,49853000,61410000,81182000,109703000,131118000,150648000,206917000,223438000,216568000,265407000
3,Gross Profit,25274000,39476000,59615000,76138000,101702000,128401000,154403000,166937000,193842000,238679000,235290000,217827000,222691000
4,Gross Profit Ratio,0.5766,0.6081,0.6025,0.6043,0.6235,0.6126,0.5846,0.5601,0.5627,0.5356,0.5129,0.5014,0.4562
5,Research and Development Exp.,3140000,4281000,5222000,9137000,11863000,16607000,18350000,22388000,23560000,28735000,32692000,36940000,44241000
6,General and Administrative Exp.,5965000,7629000,11772000,13957000,16154000,22122000,29716000,36651000,41200000,52513000,49766000,51742000,55933000
7,Selling and Marketing Exp.,8262000,10867000,15752000,18098000,22386000,29144000,39188000,46131000,56856000,68533000,72976000,69309000,82175000
8,"Selling, General and Administrative Exp.",14227000,18496000,27524000,32055000,38540000,51266000,68904000,82782000,98056000,121046000,122742000,121051000,138108000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,17367000,22777000,32746000,41192000,50403000,67873000,87254000,105170000,121616000,149781000,155434000,157991000,182349000
11,COGS and Expenses,35926000,48220000,72070000,91045000,111813000,149055000,196957000,236288000,272264000,356698000,378872000,374559000,447756000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2907000,3483000,4264000,6080000,7569000,11138000,14126000,17485000,18474000,26754000,30864000,32594000,40488000
15,EBITDA,10297000,19196000,31019000,41049000,59147000,71669000,81987000,81706000,92909000,118409000,112057000,95539000,80672000
16,EBITDA ratio,0.2349,0.2957,0.3135,0.3258,0.3626,0.3420,0.3104,0.2741,0.2697,0.2657,0.2443,0.2199,0.1653
17,Operating Income,7907000,16699000,26869000,34946000,51299000,60528000,67149000,61767000,72226000,88898000,79856000,59836000,40342000
18,Operating Income ratio,0.1804,0.2572,0.2716,0.2774,0.3145,0.2888,0.2543,0.2072,0.2097,0.1995,0.1741,0.1377,0.0827
19,Total Other Income Expenses (Gains),-517000,-986000,-114000,23000,279000,3000,712000,2454000,2209000,2757000,1337000,3109000,-158000
20,Income Before Tax,7390000,15713000,26755000,34969000,51578000,60531000,67861000,64221000,74435000,91655000,81193000,62945000,40184000
21,Income Before Tax Ratio,0.1686,0.2420,0.2704,0.2776,0.3162,0.2888,0.2569,0.2155,0.2161,0.2057,0.1770,0.1449,0.0823
22,Income Tax expense (Gain),3167000,4762000,8783000,10944000,16301000,18896000,21347000,21514000,22657000,15067000,17538000,12078000,6812000
23,Net Income,4223000,10951000,17972000,24025000,35277000,41635000,46514000,42707000,51778000,76588000,63655000,50867000,33372000
24,Net Income ratio,0.0963,0.1687,0.1816,0.1907,0.2163,0.1987,0.1761,0.1433,0.1503,0.1719,0.1388,0.1171,0.0684
25,EPS,0.00,0.24,0.98,1.03,1.40,1.62,1.79,1.62,1.94,2.84,2.37,1.90,1.21
26,EPS Diluted,0.00,0.22,0.90,0.98,1.36,1.60,1.77,1.61,1.93,2.81,2.35,1.89,1.21
27,Weighted Average Shares Outstanding,18343794,18343794,18343794,23373593,25198556,25692699,26005858,26365173,26647610,26982614,26866985,26737425,27617627
28,Weighted Average Shares Outstanding Diluted,19930862,19930862,19930862,24443665,25859741,26100320,26320284,26564639,26845071,27278816,27049423,26896357,27653099
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1443669/000119312513121462/0001193125-13-121462-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774914003075/prlb20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1443669/000143774915003620/prlb20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1443669/000143774916026114/0001437749-16-026114-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774917002947/0001437749-17-002947-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774918003222/0001437749-18-003222-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774919003141/0001437749-19-003141-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774920003547/0001437749-20-003547-index.html,https://www.sec.gov/Archives/edgar/data/1443669/000143774921003413/0001437749-21-003413-index.htm,https://www.sec.gov/Archives/edgar/data/1443669/000143774922003779/0001437749-22-003779-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2703000,6101000,8135000,36759000,43039000,43329000,47653000,68795000,36707000,85046000,125225000,127603000,65929000
32,Short-Term Investments,1749000,750000,250000,25137000,36339000,30706000,33201000,39477000,57424000,46750000,35437000,34088000,11580000
33,Cash and Short-Term Investments,4452000,6851000,8385000,61896000,79378000,74035000,80854000,108272000,94131000,131796000,160662000,161691000,77509000
34,Net Receivables,5472000,8373000,11533000,17668000,21227000,24226000,42153000,34505000,53335000,64912000,57450000,58417000,81372000
35,Inventory,1069000,1606000,3797000,4619000,5166000,6194000,9771000,9310000,11271000,10087000,10075000,10862000,13161000
36,Other Current Assets,1170000,2057000,4362000,5973000,4024000,3889000,5224000,5697000,6267000,8567000,8232000,11032000,11450000
37,Total Current Assets,12163000,18887000,28077000,90156000,109795000,108344000,138002000,157784000,165004000,215362000,236419000,242002000,183492000
38,PP&E,16634000,19467000,34249000,45316000,56101000,91626000,125475000,139474000,166440000,228001000,275137000,294917000,287822000
39,Goodwill,- -,- -,- -,- -,- -,28916000,28916000,28916000,128504000,128752000,128752000,128752000,400610000
40,Intangible Assets,- -,- -,- -,- -,- -,4083000,3337000,2655000,19084000,19850000,17369000,14350000,37998000
41,Intangible Assets,- -,- -,- -,- -,- -,32999000,32253000,31571000,147588000,148602000,146121000,143102000,438608000
42,Investments,- -,- -,- -,36965000,64023000,54318000,64789000,84479000,37034000,23579000,12960000,59357000,14340000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,285000,256000,227000,517000,933000,2672000,3441000,3030000,4826000,4320000
45,Total Non-Current Assets,16634000,19467000,34249000,82566000,120380000,179170000,223034000,256457000,353734000,403623000,437248000,502202000,745090000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,28797000,38354000,62326000,172722000,230175000,287514000,361036000,414241000,518738000,618985000,673667000,744204000,928582000
48,Accounts Payable,1533000,2755000,4431000,4758000,6455000,7882000,13643000,11322000,15876000,17411000,16804000,18248000,25364000
49,Short-Term Debt,- -,- -,- -,273000,204000,139000,- -,- -,5000000,- -,- -,3824000,3848000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
