,https://roic.ai/company/CRMD,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,2001,189274,210130,224105,329327,429797,283266,239231,- -
2,COGS,- -,- -,- -,- -,201605,445799,318718,366673,114964,396786,373234,204846,148938
3,Gross Profit,- -,- -,- -,- -,-199604,-256525,-108588,-142568,214363,33011,-89968,34385,-148938
4,Gross Profit Ratio,- -,- -,- -,- -,-99.7521,-1.3553,-0.5168,-0.6362,0.6509,0.0768,-0.3176,0.1437,-Infinity
5,Research and Development Exp.,4888538,5494297,4098225,1187631,1226874,1318734,6281823,15735300,24486122,18822488,11052903,13377193,-13132982
6,General and Administrative Exp.,1166845,3012706,3148759,1857080,3488917,7326861,10263560,8883050,8652351,8074719,9865005,-13877944,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1166845,3012706,3148759,1857080,3488917,7326861,10263560,8883050,8652351,8074719,9865005,-13877944,16346601
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27755888,- -
10,Operating Expenses,6055383,8507003,7246984,3044711,4715791,8645595,16545383,24618350,33138473,26897207,20917908,27255137,3213619
11,COGS and Expenses,6055383,8507003,7246984,3044711,4917396,9091394,16864101,24985023,33253437,27293993,21291142,27459983,3362557
12,Interest Income ,2130,23442,12037,1965,668,2714,60393,126774,110714,36618,322668,116065,14403
13,Interest Expense (Gain),2068202,3093763,- -,382936,1444386,2087,3964,1311,5619,1873,787488,33226,15943
14,Depreciation and Amortization,9945,12167,12246,7022,5161,15074,15076,25596,36886,74218,73286,127964,61890
15,EBITDA,-6043308,-8494836,-7234738,-3037689,-7683551,-20436266,-18168489,-24616720,-32967409,-26753539,-20633078,-27035888,-29437585
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-3839.8556,-107.9719,-86.4631,-109.8446,-100.1054,-62.2469,-72.8399,-113.0116,-Infinity
17,Operating Income,-6055383,-8507003,-7246984,-3044711,-4915395,-8902120,-16653971,-24760918,-32924110,-26864196,-21007876,-27220752,-29437585
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-2456.4693,-47.0330,-79.2556,-110.4880,-99.9739,-62.5044,-74.1631,-113.7844,-Infinity
19,Total Other Income Expenses (Gains),-2066072,-2679153,41856,-380971,-4217703,-11551307,-1533558,117291,-85804,34566,-485976,23674,-22827
20,Income Before Tax,-8121455,-11186156,-7205128,-3425682,-9133098,-20453427,-18187529,-24643627,-33009914,-26829630,-21493852,-27197078,-29460412
