,https://roic.ai/company/MAXR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,92712030,205754213,267505835,302312215,362371452,483104945,625040345,717180127,902973576,1216034535,960140509,955868589,688919773,745462292,884501875,1708335133,1808001826,1525818446,1535438583,1631200000,2141000000,1666000000,1723000000,1770000000
2,COGS,- -,151139588,199125042,220608927,265422947,353044873,526683248,601209747,756527111,1031631829,803841413,796033808,544225924,567975514,388489491,803697512,926675913,738025063,714798750,661700000,1280000000,975000000,993000000,984000000
3,Gross Profit,- -,54614625,68380794,81703288,96948504,130060072,98357097,115970381,146446465,184402706,156299096,159834782,144693849,177486778,496012384,904637621,881325914,787793383,820639833,969500000,861000000,691000000,730000000,786000000
4,Gross Profit Ratio,- -,0.2654,0.2556,0.2703,0.2675,0.2692,0.1574,0.1617,0.1622,0.1516,0.1628,0.1672,0.2100,0.2381,0.5608,0.5295,0.4875,0.5163,0.5345,0.5943,0.4021,0.4148,0.4237,0.4441
5,Research and Development Exp.,- -,2140396,4302101,3769520,3848035,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323547742,647789663,619847355,536369074,572964809,650700000,- -,325000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323547742,647789663,619847355,536369074,572964809,650700000,- -,325000000,332000000,369000000
9,Other Expenses,- -,32796393,40155385,40729783,49686529,70385651,21645565,22296366,27605525,30924972,29815941,39551141,11152216,11041136,23936753,72230623,70898300,71667303,76341790,167100000,956000000,376000000,348000000,290000000
10,Operating Expenses,- -,34936789,44457486,44499303,53534564,70385651,21645565,22296366,27605525,30924972,29815941,39551141,11152216,11041136,347484495,720020286,690745654,608036377,649306599,817800000,956000000,701000000,680000000,659000000
11,COGS and Expenses,- -,186076378,243582528,265108230,318957512,423430524,548328814,623506113,784132636,1062556801,833657354,835584949,555378139,579016650,735973986,1523717798,1617421567,1346061440,1364105349,1479500000,2236000000,1676000000,1673000000,1643000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4165524,2029492,895968,438468,184479,276765,1300000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13782829,4190330,6035260,10968708,46961316,29858036,33606209,37039655,82500000,202000000,197000000,168000000,110000000
