,https://roic.ai/company/ANIX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,300000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,200000,100000,1471998,1690768,5186694,244221,494462,439785,508651,486852,2063123,1055797,730675,1003193,947085,388850,3667320,9255000,300000,362500,1112500,250000,- -,512500
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,-100000,-300000,-300000,-300000,463634,697639,1871058,175944,176112,719628,156446,160360,95594,65688,82307,34081,3873,316658,1988074,3648522,217416,104556,768410,166250,- -,385002
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,200000,400000,500000,400000,1008364,993129,3315636,68277,318350,-279843,352205,326492,1967529,990109,648368,969112,943212,72192,1679246,5606478,82584,257944,344090,83750,- -,127498
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,2.0000,2.0000,2.0000,4.0000,2.5000,4.0000,0.6850,0.5874,0.6393,0.2796,0.6438,-0.6363,0.6924,0.6706,0.9537,0.9378,0.8874,0.9660,0.9959,0.1857,0.4579,0.6058,0.2753,0.7116,0.3093,0.3350,- -,0.2488
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,2400000,3900000,- -,- -,- -,- -,- -,1625974,1807742,2164427,2266911,4614300,3403943,4127393,4116200,3007459,3124773,2211506,- -,- -,- -,1556459,1597550,6813043,5473427,4381205,6189692
6,General and Administrative Exp.,2000000,1900000,1300000,1300000,1200000,1400000,1500000,2000000,2900000,1000000,1000000,2200000,6400000,7200000,8300000,5831712,4597365,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7989846,6408861,6225946,2709841,4410682,6911830,5662828,5596997,7073498
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2000000,1900000,1300000,1300000,1200000,1400000,1500000,2000000,2900000,1000000,1000000,2200000,6400000,7200000,8300000,5831712,4597365,2177608,1379614,1518911,1919010,3365521,2414916,3829654,4194227,2889129,2872605,2866262,7989846,6408861,6225946,2709841,4410682,6911830,5662828,5596997,7073498
9,Other Expenses,- -,- -,100000,100000,100000,100000,- -,- -,- -,100000,100000,100000,300000,300000,300000,261804,- -,2820800,- -,- -,- -,- -,-293800,- -,- -,- -,- -,- -,- -,314453,325291,325296,325296,325296,418750,- -,- -
10,Operating Expenses,2000000,1900000,1400000,1400000,1300000,1500000,1500000,2000000,2900000,3800000,3500000,6200000,6700000,7500000,8600000,6093516,4597365,6624382,3187356,3683338,4185921,7979821,5525059,7957047,8310427,5896588,5997378,5077768,7989846,6723314,6551237,4591596,6333528,14050169,11555005,9978202,13263190
11,COGS and Expenses,2000000,1900000,1400000,1400000,1300000,1500000,1500000,2000000,2900000,3700000,3400000,6100000,6400000,7200000,8300000,6557150,5295004,8495440,3363300,3859450,4905549,8136267,5685419,8052641,8376115,5978895,6031459,5081641,8306504,8711388,10199759,4809012,6438084,14818579,11721255,9978202,13648192
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20807,4878,2516,3458,125,8595,17622,12530,19440,45974,71353,33923,2322
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7664,1109519,1263617,451906,519946,500455,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,100000,100000,100000,100000,- -,- -,- -,100000,100000,100000,300000,300000,300000,261804,166503,86471,33083,- -,14706,15072,9889,- -,10612,8358,7977,7234,- -,314453,325291,358629,368512,343731,466308,38276,59864
15,EBITDA,-1700000,-1800000,-1300000,-1200000,-1000000,-1000000,-1300000,-1800000,-2800000,-3300000,-2900000,-5300000,-5500000,-6800000,-8200000,-4702369,-3405454,-3198769,-3081328,-3360655,-4436551,-7585829,-5448329,-5821604,-16478403,-5166773,-6770059,-4237901,-8970567,-8028244,-601846,-4137853,-4140024,-13652294,-11180746,-9939926,-12894536
16,EBITDA ratio,-5.6667,-18.0000,-13.0000,-12.0000,-10.0000,-10.0000,-13.0000,-18.0000,-28.0000,-33.0000,-29.0000,-53.0000,-55.0000,-34.0000,-82.0000,-3.1945,-2.0141,-0.6167,-12.6170,-6.7966,-10.0880,-14.9136,-11.1909,-2.8217,-15.6075,-7.0712,-6.7485,-4.4747,-23.0695,-2.1891,-0.0650,-13.7928,-11.4208,-12.2717,-44.7230,-Infinity,-25.1601
17,Operating Income,-1700000,-1800000,-1300000,-1300000,-1200000,-1400000,-1400000,-1900000,-2800000,-3600000,-3300000,-6000000,-6300000,-7000000,-8200000,-5085152,-3604236,-3308746,-3119079,-3364988,-4465764,-7627616,-5492367,-5989518,-7320318,-5248220,-5028266,-4134556,-7917654,-5044068,-944759,-4509012,-6075584,-14289058,-11890005,-9978202,-13135692
18,Operating Income ratio,-5.6667,-18.0000,-13.0000,-13.0000,-12.0000,-14.0000,-14.0000,-19.0000,-28.0000,-36.0000,-33.0000,-60.0000,-63.0000,-35.0000,-82.0000,-3.4546,-2.1317,-0.6379,-12.7715,-6.8054,-10.1544,-14.9958,-11.2814,-2.9031,-6.9335,-7.1827,-5.0123,-4.3656,-20.3617,-1.3754,-0.1021,-15.0300,-16.7602,-12.8441,-47.5600,-Infinity,-25.6306
19,Total Other Income Expenses (Gains),- -,- -,- -,100000,200000,300000,200000,200000,200000,200000,400000,600000,600000,100000,-300000,- -,- -,-2820800,- -,- -,- -,- -,- -,130886,-9168697,73089,-1749770,-118243,-2162432,-4562246,-434284,-507416,1066593,45974,71353,-114161,7769
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16489015,-5175131,-6778036,-4252799,-10080086,-9606314,-1379043,-5016428,-5008991,-14243084,-11818652,-10092363,-13127923
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15.6176,-7.0827,-6.7565,-4.4904,-25.9228,-2.6194,-0.1490,-16.7214,-13.8179,-12.8028,-47.2746,-Infinity,-25.6155
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1700000,-1800000,-1400000,-1300000,-1100000,-1100000,-1300000,-1800000,-2800000,-3400000,-3000000,-5400000,-5800000,-7100000,-8500000,-4964173,-3571957,-3285240,-3114411,-3360655,-4451257,-7600901,-5458218,-5821604,-16489015,-5175131,-7378036,-4252799,-10080086,-9606314,-1379043,-5016428,-5008991,-13996025,-11647054,-10092363,-12954400
24,Net Income ratio,-5.6667,-18.0000,-14.0000,-13.0000,-11.0000,-11.0000,-13.0000,-18.0000,-28.0000,-34.0000,-30.0000,-54.0000,-58.0000,-35.5000,-85.0000,-3.3724,-2.1126,-0.6334,-12.7524,-6.7966,-10.1214,-14.9433,-11.2112,-2.8217,-15.6176,-7.0827,-7.3546,-4.4904,-25.9228,-2.6194,-0.1490,-16.7214,-13.8179,-12.5807,-46.5882,-Infinity,-25.2769
25,EPS,-1.14,-1.14,-0.91,-0.68,-0.68,-0.68,-0.68,-0.91,-1.37,-1.59,-1.37,-2.28,-2.28,-2.73,-3.19,-1.82,-1.37,-1.14,-0.91,-0.91,-1.14,-1.82,-1.14,-1.14,-2.73,-0.68,-0.91,-0.46,-1.14,-0.91,-0.15,-0.52,-0.58,-0.79,-0.59,-0.45,-0.58
26,EPS Diluted,-1.14,-1.14,-0.91,-0.68,-0.68,-0.68,-0.68,-0.91,-1.37,-1.59,-1.37,-2.28,-2.28,-2.73,-3.19,-1.82,-1.37,-1.14,-0.91,-0.91,-1.14,-1.82,-1.14,-1.14,-2.73,-0.68,-0.91,-0.46,-1.14,-0.91,-0.15,-0.52,-0.58,-0.79,-0.59,-0.45,-0.58
27,Weighted Average Shares Outstanding,1494297,1582197,1538247,1904497,1611497,1611497,1904497,1977746,2050996,2134710,2220111,2407220,2534494,2543198,2583936,2736376,2837461,2992495,3302968,3645800,3888705,4188066,4548246,5691085,6097896,6525328,7333468,7984704,8642574,9571047,9625170,9602456,12197340,17624335,19789795,22229042,22229042
