,https://roic.ai/company/DCBO,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,9852188,17126141,27074586,41443000,62917000,104242000
2,COGS,2633083,4353487,5650394,8261000,11539000,20786000
3,Gross Profit,7219105,12772654,21424192,33182000,51378000,83456000
4,Gross Profit Ratio,0.7327,0.7458,0.7913,0.8007,0.8166,0.8006
5,Research and Development Exp.,2005016,3906327,6611529,8579000,13000000,20363000
6,General and Administrative Exp.,3568600,7259338,10952628,16531000,18617000,30704000
7,Selling and Marketing Exp.,4478855,7828365,11629872,16266000,24020000,43346000
8,"Selling, General and Administrative Exp.",8047455,15087703,22582500,32797000,42637000,74050000
9,Other Expenses,62507,184232,169043,693000,1231000,2019000
10,Operating Expenses,10114978,19178262,29363072,42069000,56868000,96432000
11,COGS and Expenses,12748061,23531749,35013466,50330000,68407000,117218000
12,Interest Income ,- -,- -,- -,- -,317000,437000
13,Interest Expense (Gain),- -,172831,568082,753000,434000,494000
14,Depreciation and Amortization,62507,184232,169043,693000,1231000,2019000
15,EBITDA,-2692016,-6956467,-10534851,-9859000,-5653000,-10916000
16,EBITDA ratio,-0.2732,-0.4062,-0.3891,-0.2379,-0.0898,-0.1047
17,Operating Income,-2948969,-6880847,-8954993,-9809000,-7265000,-13449000
18,Operating Income ratio,-0.2993,-0.4018,-0.3308,-0.2367,-0.1155,-0.1290
19,Total Other Income Expenses (Gains),53725,-1359037,-2695807,-1496000,-53000,20000
20,Income Before Tax,-2895244,-8239884,-11650800,-11305000,-7318000,-13429000
21,Income Before Tax Ratio,-0.2939,-0.4811,-0.4303,-0.2728,-0.1163,-0.1288
22,Income Tax expense (Gain),- -,- -,- -,609000,336000,172000
23,Net Income,-2754523,-7313530,-11271976,-11914000,-7654000,-13601000
24,Net Income ratio,-0.2796,-0.4270,-0.4163,-0.2875,-0.1217,-0.1305
25,EPS,-0.10,-0.26,-0.40,-0.49,-0.26,-0.41
26,EPS Diluted,-0.10,-0.26,-0.40,-0.49,-0.26,-0.41
27,Weighted Average Shares Outstanding,28454200,28454200,28454200,24363789,28934726,32867801
28,Weighted Average Shares Outstanding Diluted,30093813,30093813,30093813,24363789,28934726,32867801
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,3360902,3756031,46278000,219658000,215323000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3360902,3756031,46278000,219658000,215323000
34,Net Receivables,- -,4408115,6138310,10200000,15789000,27784000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,638770,1744868,2463000,4287000,8382000
37,Total Current Assets,- -,8407787,11639209,58941000,239734000,251489000
38,PP&E,- -,1094632,1286317,3897000,5088000,5704000
39,Goodwill,- -,- -,- -,- -,5600000,5301000
40,Intangible Assets,- -,- -,- -,- -,2458000,1576000
41,Intangible Assets,- -,- -,- -,- -,8058000,6877000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,375208,1022000,1726000,4053000
45,Total Non-Current Assets,- -,1094632,1661525,4919000,14872000,16634000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,9502419,13300734,63860000,254606000,268123000
48,Accounts Payable,- -,3827642,6783945,9589000,16121000,22817000
49,Short-Term Debt,- -,20350,5363436,955000,1275000,1311000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,7580681,12687490,17997000,28331000,44578000
52,Other Current Liabilities,- -,35070,54713,- -,- -,467000
53,Total Current Liabilities,- -,11463743,24889584,28541000,45727000,69173000
54,Long-Term Debt,- -,3322635,4015202,16000,- -,2690000
55,Deferred Revenue,- -,- -,- -,- -,- -,116000
56,Deferred Tax Liabilities,- -,- -,- -,- -,707000,692000
57,Other Non-Current Liabilities,- -,871714,1171809,3922000,7504000,4796000
58,Total Non-Current Liabilities,- -,4194349,5187011,3938000,8211000,8294000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,3414000,3804000,4001000
61,Total Liabilities,- -,15658092,30076595,32479000,53938000,77467000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,9961266,30716466,89745000,264357000,266119000
64,Retained Earnings,- -,-14858289,-48318813,-60271000,-67925000,-81888000
65,Other Comprehensive Income/Loss,- -,-514796,262565,805000,1699000,2113000
66,Other Total Stockholders Equity,- -,310670,563921,1102000,2537000,4312000
67,Total Stockholders Equity,- -,-5101149,-16775861,31381000,200668000,190656000
68,Total Liabilities And Stockholders Equity,- -,10556943,13300734,63860000,254606000,268123000
69,Minority Interest,- -,-1054524,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,9502419,13300734,63860000,254606000,268123000
71,SEC Link,undefined,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-2754523,-7313530,-11271976,-11914000,-7654000,-13601000
74,Depreciation and Amortization,62507,184232,169043,693000,1231000,2019000
75,Deferred Income Tax,- -,- -,- -,- -,389000,11000
76,Stock Based Compensation,157903,152767,253251,659000,1619000,2261000
77,Change in Working Capital,1643979,3351729,5572549,3486000,7498000,5653000
78,Accounts Receivable,-87515,-2122172,-1742096,-3994000,- -,-12319000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -
81,Other Working Capital,879576,4067036,4960350,4985000,8250000,17207000
82,Other Non-Cash Items,-146777,642002,2328473,2494000,2072000,403000
83,Cash Provided by Operating Activities,-1036911,-2982800,-2948660,-4582000,5155000,-3254000
84,CAPEX,-257891,-688973,-410393,-366000,-1445000,-1145000
85,Acquisitions Net,- -,- -,- -,- -,-2450000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-364000,- -
89,Cash Used for Investing Activites,-257891,-688973,-410393,-366000,-3895000,-1145000
90,Debt Repayment,-40261,-24845,-21061,-14934000,-1405000,-1353000
91,Common Stock Issued,- -,3677465,- -,56261000,184629000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
