,https://roic.ai/company/CRTD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,2984,1693,1517,2055,6861,19747,19177,13783,11412,58253,223927,95653,80898,453006,1212870,4299717
2,COGS,- -,- -,- -,- -,- -,2526,1870,1628,- -,- -,43321,- -,- -,- -,- -,5300037
3,Gross Profit,2984,1693,1517,2055,6861,17221,17307,12155,11412,58253,180606,95653,80898,453006,- -,-1000320
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,0.8721,0.9025,0.8819,1.0000,1.0000,0.8065,1.0000,1.0000,1.0000,- -,-0.2326
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,636180,1131180,257431,983528
6,General and Administrative Exp.,18173,20878,15856,19026,20354,- -,35328,89779,280951,307765,3872362,5657981,5130973,6538804,17238774,11060927
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9626982
8,"Selling, General and Administrative Exp.",18173,20878,15856,19026,20354,- -,35328,89779,280951,307765,3872362,5657981,5130973,6538804,17238774,20687909
9,Other Expenses,632,696,335,- -,- -,29046,340,869,6814,13739,- -,- -,- -,- -,- -,10696963
10,Operating Expenses,18805,21574,16191,19026,20354,29046,35668,90648,287765,321504,3872362,5657981,5767153,7669984,17496205,32368400
11,COGS and Expenses,18805,21574,16191,19026,20354,31572,37538,92276,287765,321504,3915683,5657981,5767153,7669984,17496205,37668437
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,1902,1735,28658,76913,3710151,2305032,3013294,961495,5679974,372106
14,Depreciation and Amortization,632,696,335,- -,- -,340,340,869,6814,13739,42634,38435,42218,118256,157760,- -
15,EBITDA,-15189,-19185,-14339,-16971,-13493,-11485,-18021,-77624,-342568,-252287,-3639122,-6408119,-8958030,-6955621,-18375049,-33368720
