,https://roic.ai/company/AERI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,24181000,69888000,83138000,194134000
2,COGS,- -,- -,- -,- -,- -,- -,- -,641000,4833000,25333000,26846000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,23540000,65055000,57805000,167288000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.9735,0.9308,0.6953,0.8617
5,Research and Development Exp.,10695000,9273000,11883000,29869000,44451000,52394000,72078000,86123000,91378000,74007000,75837000
6,General and Administrative Exp.,3521000,5020000,10287000,20103000,30635000,44478000,73615000,120614000,138402000,137184000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3521000,5020000,10287000,20103000,30635000,44478000,73615000,120614000,138402000,137184000,137805000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,26545000,22767000,2304000,- -
10,Operating Expenses,14216000,14293000,22170000,49972000,75086000,96872000,145693000,233282000,252547000,213495000,213642000
11,COGS and Expenses,14216000,14293000,22170000,49972000,75086000,96872000,145693000,233923000,257380000,238828000,240488000
12,Interest Income ,- -,- -,- -,- -,- -,- -,1753000,3429000,2970000,1984000,139000
13,Interest Expense (Gain),109000,75000,3795000,628000,2493000,2537000,2368000,2531000,15255000,26476000,28904000
14,Depreciation and Amortization,120000,138000,64000,73000,252000,970000,1410000,2442000,18114000,34158000,37500000
15,EBITDA,-13275000,-14155000,-22106000,-49899000,-74834000,-95902000,-144283000,-227593000,-166302000,-117222000,-7813000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.4121,-2.3796,-1.4100,-0.0402
17,Operating Income,-14216000,-14293000,-22170000,-49972000,-75086000,-96872000,-145693000,-209742000,-187492000,-155690000,-46354000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.6738,-2.6827,-1.8727,-0.2388
19,Total Other Income Expenses (Gains),1249000,-685000,-8978000,1839000,862000,-1994000,-1170000,-22824000,-12179000,-22166000,-27863000
20,Income Before Tax,-12967000,-14978000,-31148000,-48133000,-74224000,-98866000,-146863000,-232566000,-199671000,-177856000,-74217000
