,https://roic.ai/company/BLMN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,3601656000,3628287000,3841264000,3987795000,4129230000,4442711000,4377676000,4260673000,4213346000,4126413000,4139389000,3170561000,4122385000
2,COGS,1184074000,2186421000,1226098000,2398626000,2491464000,1435359000,1419689000,1354853000,2536703000,1295588000,1276524000,1987997000,2384312000
3,Gross Profit,2417582000,1441866000,2615166000,1589169000,1637766000,3007352000,2957987000,2905820000,1676643000,2830825000,2862865000,1182564000,1738073000
4,Gross Profit Ratio,0.6712,0.3974,0.6808,0.3985,0.3966,0.6769,0.6757,0.6820,0.3979,0.6860,0.6916,0.3730,0.4216
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2126057000,252793000,2275245000,326473000,268928000,2572396000,2499996000,2483605000,306956000,2447116000,2465879000,254356000,245616000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2126057000,252793000,2275245000,326473000,268928000,2572396000,2499996000,2483605000,306956000,2447116000,2465879000,254356000,245616000
9,Other Expenses,342663000,1020450000,126469000,1074004000,1128373000,254084000,230022000,325463000,1171266000,238456000,205896000,1026827000,1169762000
10,Operating Expenses,2468720000,1273243000,2401714000,1400477000,1397301000,2826480000,2730018000,2809068000,1478222000,2685572000,2671775000,1281183000,1415378000
11,COGS and Expenses,3652794000,3459664000,3627812000,3799103000,3888765000,4261839000,4149707000,4163921000,4014925000,3981160000,3948299000,3269180000,3799690000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,91428000,- -,86642000,74773000,-59658000,-56176000,-45726000,41392000,-44937000,-49257000,64442000,57614000
14,Depreciation and Amortization,186074000,156267000,153689000,155482000,164094000,190911000,190399000,193838000,192282000,201593000,196811000,180261000,163391000
15,EBITDA,119149000,321963000,275410000,304201000,405026000,246387000,300844000,197644000,349902000,254521000,285700000,5262000,462944000
16,EBITDA ratio,0.0331,0.0887,0.0717,0.0763,0.0981,0.0555,0.0687,0.0464,0.0830,0.0617,0.0690,0.0017,0.1123
17,Operating Income,-109287000,168911000,213452000,181137000,225357000,191964000,230925000,127606000,146092000,145253000,191090000,-174973000,308958000
18,Operating Income ratio,-0.0303,0.0466,0.0556,0.0454,0.0546,0.0432,0.0528,0.0299,0.0347,0.0352,0.0462,-0.0552,0.0749
19,Total Other Income Expenses (Gains),41982000,-88435000,-82557000,-107727000,-52997000,-71994000,-60071000,-74971000,-27549000,-44948000,-49400000,-64548000,-59661000
20,Income Before Tax,-67305000,80476000,130895000,73410000,172360000,119970000,170854000,52635000,118543000,100305000,141690000,-239521000,249297000
21,Income Before Tax Ratio,-0.0187,0.0222,0.0341,0.0184,0.0417,0.0270,0.0390,0.0124,0.0281,0.0243,0.0342,-0.0755,0.0605
22,Income Tax expense (Gain),-2462000,21300000,21716000,12106000,-42208000,24044000,39294000,10144000,15985000,-9233000,7573000,-80726000,26384000
23,Net Income,-64463000,52968000,100005000,49971000,208367000,91090000,127327000,39388000,100243000,107098000,130573000,-158715000,215555000
24,Net Income ratio,-0.0179,0.0146,0.0260,0.0125,0.0505,0.0205,0.0291,0.0092,0.0238,0.0260,0.0315,-0.0501,0.0523
25,EPS,-0.62,0.50,0.94,0.45,1.69,0.73,1.04,0.37,1.04,1.16,1.47,-1.85,2.46
26,EPS Diluted,-0.62,0.49,0.94,0.44,1.63,0.71,1.01,0.37,1.01,1.14,1.45,-1.85,2.46
27,Weighted Average Shares Outstanding,104442000,106361000,106224000,111999000,122972000,125139000,122352000,111381000,96365000,92042000,88839000,87468000,87468000
28,Weighted Average Shares Outstanding Diluted,104442000,107255000,106689000,114821000,128074000,128317000,125585000,114311000,99707000,94075000,89777000,87468000,87468000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1546417/000154641713000038/0001546417-13-000038-index.html,https://www.sec.gov/Archives/edgar/data/1546417/000154641714000056/blmn-12311310k.htm,https://www.sec.gov/Archives/edgar/data/1546417/000154641715000027/blmn-122814_10k.htm,https://www.sec.gov/Archives/edgar/data/1546417/000154641716000109/0001546417-16-000109-index.html,https://www.sec.gov/Archives/edgar/data/1546417/000154641717000012/0001546417-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/1546417/000154641718000042/0001546417-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/1546417/000154641719000035/0001546417-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1546417/000154641720000032/0001546417-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1546417/000154641721000023/0001546417-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1546417/000154641722000006/0001546417-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,482084000,261690000,209871000,165744000,132337000,127176000,128263000,71823000,67145000,109980000,87585000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,482084000,261690000,209871000,165744000,132337000,127176000,128263000,71823000,67145000,109980000,87585000
34,Net Receivables,- -,- -,62833000,47976000,57698000,135677000,148543000,134945000,110669000,122262000,141112000,103483000,123095000
35,Inventory,- -,- -,69223000,78181000,80613000,80817000,80704000,65231000,51264000,72812000,86861000,61928000,79112000
36,Other Current Assets,- -,- -,94139000,99965000,135849000,216487000,57060000,63167000,70013000,68586000,45350000,48463000,63000000
37,Total Current Assets,- -,- -,708279000,487812000,484031000,598725000,418644000,390519000,360209000,335483000,340468000,323854000,352792000
38,PP&E,- -,- -,1635898000,1506035000,1634130000,1629311000,1594460000,1237148000,1173414000,1115929000,2302625000,2060597000,1972885000
39,Goodwill,- -,- -,268772000,270972000,346253000,341540000,300861000,310055000,310234000,295427000,288439000,271164000,268444000
40,Intangible Assets,- -,- -,566148000,577781000,644926000,585432000,546837000,535523000,546949000,503972000,470615000,484233000,476678000
41,Intangible Assets,- -,- -,834920000,848753000,991179000,926972000,847698000,845578000,857183000,799399000,759054000,755397000,745122000
42,Investments,- -,- -,35033000,36748000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,2532000,2392000,181125000,53546000,16709000,71499000,14790000,13777000,153883000,168068000
44,Other Non-Current Assets,- -,- -,139806000,134673000,162442000,2107000,118221000,152325000,110602000,199173000,176759000,68376000,55404000
45,Total Non-Current Assets,- -,- -,2645657000,2528741000,2790143000,2739515000,2613925000,2251760000,2212698000,2129291000,3252215000,3038253000,2941479000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,3353936000,3016553000,3274174000,3338240000,3032569000,2642279000,2572907000,2464774000,3592683000,3362107000,3294271000
48,Accounts Payable,- -,- -,97393000,131814000,164619000,191207000,193116000,195371000,185461000,174488000,174877000,141457000,167978000
49,Short-Term Debt,- -,- -,332905000,22991000,13546000,25964000,31853000,35079000,26335000,27190000,26411000,38710000,10958000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,329518000,359443000,376696000,382586000,388543000,378227000,342708000,369282000,381616000,398795000
52,Other Current Liabilities,- -,- -,526126000,207055000,206894000,244417000,206611000,204415000,270840000,246653000,391451000,388321000,406894000
53,Total Current Liabilities,- -,- -,956424000,691378000,744502000,838284000,814166000,823408000,860863000,791039000,962021000,950104000,984625000
54,Long-Term Debt,- -,- -,1776385000,1471449000,1405597000,1285659000,1285011000,1054406000,1091769000,1067585000,1022293000,2215691000,1961554000
55,Deferred Revenue,- -,- -,- -,- -,- -,121819000,139758000,151130000,188086000,167027000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,193262000,195874000,150582000,181125000,53546000,16709000,16926000,14790000,13777000,55204000,27302000
57,Other Non-Current Liabilities,- -,- -,387568000,437647000,490784000,360003000,331762000,413927000,365792000,378603000,1424250000,130151000,97940000
58,Total Non-Current Liabilities,- -,- -,2357215000,2104970000,2046963000,1948606000,1810077000,1636172000,1662573000,1628005000,2460320000,2401046000,2086796000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1279051000,1217921000,1179447000
61,Total Liabilities,- -,- -,3313639000,2796348000,2791465000,2786890000,2624243000,2459580000,2523436000,2419044000,3422341000,3351150000,3071421000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1066000,1211000,1248000,1259000,1192000,1039000,919000,913000,869000,879000,893000
64,Retained Earnings,- -,- -,-822625000,-773085000,-565154000,-474994000,-518360000,-786780000,-944951000,-920010000,-755089000,-918096000,-698171000
65,Other Comprehensive Income/Loss,- -,- -,-22344000,-14801000,-26418000,-60542000,-147367000,-111143000,-99199000,-142755000,-169776000,-211446000,-205989000
66,Other Total Stockholders Equity,- -,- -,874753000,1000963000,1068705000,1085627000,1072861000,1079583000,1081813000,1107582000,1094338000,1132808000,1119728000
67,Total Stockholders Equity,- -,- -,30850000,214288000,478381000,551350000,408326000,182699000,38582000,45730000,170342000,4145000,216461000
68,Total Liabilities And Stockholders Equity,- -,- -,3344489000,3010636000,3269846000,3338240000,3032569000,2642279000,2562018000,2464774000,3592683000,3355295000,3287882000
69,Minority Interest,- -,- -,9447000,5917000,4328000,- -,- -,- -,10889000,- -,- -,6812000,6389000
70,Total Liabilities & Equity,- -,- -,3353936000,3016553000,3274174000,3338240000,3032569000,2642279000,2572907000,2464774000,3592683000,3362107000,3294271000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1546417/000154641713000038/0001546417-13-000038-index.html,https://www.sec.gov/Archives/edgar/data/1546417/000154641714000056/blmn-12311310k.htm,https://www.sec.gov/Archives/edgar/data/1546417/000154641715000027/blmn-122814_10k.htm,https://www.sec.gov/Archives/edgar/data/1546417/000154641716000109/0001546417-16-000109-index.html,https://www.sec.gov/Archives/edgar/data/1546417/000154641717000012/0001546417-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/1546417/000154641718000042/0001546417-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/1546417/000154641719000035/0001546417-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1546417/000154641720000032/0001546417-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1546417/000154641721000023/0001546417-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1546417/000154641722000006/0001546417-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-64463000,52968000,100005000,49971000,208367000,91090000,127327000,39388000,100243000,107098000,130573000,-158715000,215555000
74,Depreciation and Amortization,186074000,156267000,153689000,155482000,164094000,190911000,190399000,193838000,192282000,201593000,196811000,180261000,163391000
75,Deferred Income Tax,-15145000,5182000,-189000,-7442000,-83603000,-13623000,3996000,-75349000,-19595000,-29490000,-25890000,-88256000,-3346000
76,Stock Based Compensation,47604000,39512000,39228000,44778000,21589000,19689000,22725000,21522000,25938000,27433000,24651000,14802000,24405000
77,Change in Working Capital,-30001000,14678000,-285162000,44579000,-56905000,20912000,-155963000,-37367000,-67765000,45098000,-165997000,-4697000,-134723000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,27471000,-2599000,-10525000,-8577000,3768000,-3126000,-3831000,15053000,11065000,-24707000,-15388000,19857000,-18210000
80,Accounts Payable,-66175000,- -,32179000,- -,- -,- -,- -,- -,- -,- -,- -,- -,25619000
81,Other Working Capital,22339000,37017000,-248145000,-203566000,-260471000,-239559000,-395522000,-432889000,-500654000,-455556000,-621553000,-626250000,17225000
82,Other Non-Cash Items,71468000,6547000,314879000,52723000,123722000,43027000,208946000,198549000,177899000,-63658000,157455000,195454000,137173000
83,Cash Provided by Operating Activities,195537000,275154000,322450000,340091000,377264000,352006000,397430000,340581000,409002000,288074000,317603000,138849000,402455000
84,CAPEX,-57528000,-60476000,-120906000,-178720000,-237214000,-237868000,-210263000,-260578000,-260589000,-208224000,-161926000,-87842000,-122830000
85,Acquisitions Net,1203000,-4398000,10119000,4058000,-100319000,-3063000,7059000,28635000,39196000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-40374000,-67323000,-123261000,15886000,-245818000,-237279000,-187702000,280646000,-162311000,-177296000,-131291000,-76639000,-104745000
89,Cash Used for Investing Activites,-39171000,-71721000,-113142000,19944000,-346137000,-240342000,-180643000,309281000,-123115000,-177296000,-131291000,-76639000,-104745000
90,Debt Repayment,-37206000,-196781000,-103261000,-2227666000,-180805000,-925873000,-716376000,-1374022000,-1945747000,-505186000,-698559000,-749566000,-1268166000
91,Common Stock Issued,- -,- -,- -,142242000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-436000,-930000,-170769000,-310334000,-272916000,-113967000,-106992000,-1475000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-29332000,-31379000,-30988000,-33312000,-35734000,-17480000,- -
94,Other Financing Activites,-100191000,29466000,13961000,1499205000,94114000,778072000,675476000,1057757000,1956146000,488113000,651926000,751748000,950747000
95,Cash Used/Provided by Financing Activities,-137397000,-167315000,-89300000,-586219000,-87127000,-148731000,-241001000,-657978000,-293505000,-164352000,-189359000,-16773000,-317419000
96,Effect of Forex Changes on Cash,870000,-1539000,-3460000,5790000,4181000,-7060000,-9193000,2955000,975000,-4146000,-1631000,-2174000,-1642000
97,Net Change In Cash,19839000,34579000,116548000,-220394000,-51819000,-44127000,-33407000,-5161000,-6643000,-57720000,-4678000,43263000,-21351000
98,Cash at the End of Period,330957000,365536000,482084000,261690000,209871000,165744000,132337000,127176000,129543000,71823000,67145000,110408000,89057000
99,Cash at the Beginning of Period,311118000,330957000,365536000,482084000,261690000,209871000,165744000,132337000,136186000,129543000,71823000,67145000,110408000
100,Free Cash Flow,138009000,214678000,201544000,161371000,140050000,114138000,187167000,80003000,148413000,79850000,155677000,51007000,279625000
