,https://roic.ai/company/BCOV,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,36187000,43716000,63563000,87973000,109895000,125017000,134706000,150266000,155913000,164833000,184455000,197353000,211093000
2,COGS,- -,- -,10449000,15125000,20222000,27384000,36790000,43733000,46477000,55847000,64618000,66624000,75469000,76097000,73028000
3,Gross Profit,- -,- -,25738000,28591000,43341000,60589000,73105000,81284000,88229000,94419000,91295000,98209000,108986000,121256000,138065000
4,Gross Profit Ratio,- -,- -,0.7112,0.6540,0.6819,0.6887,0.6652,0.6502,0.6550,0.6283,0.5856,0.5958,0.5909,0.6144,0.6540
5,Research and Development Exp.,- -,- -,8927000,12257000,15267000,18725000,21052000,28252000,29302000,30171000,31850000,31716000,32535000,33978000,31718000
6,General and Administrative Exp.,- -,- -,6696000,9617000,12640000,16734000,18478000,19136000,19862000,19167000,21847000,23103000,25692000,27021000,29261000
7,Selling and Marketing Exp.,- -,- -,13218000,24124000,31564000,38725000,41000000,46014000,45795000,54038000,57294000,55775000,60375000,59812000,71177000
8,"Selling, General and Administrative Exp.",- -,- -,19914000,33741000,44204000,55459000,59478000,65150000,65657000,73205000,79141000,78878000,86067000,86833000,100438000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1965000
10,Operating Expenses,- -,- -,28841000,45998000,59471000,74184000,80530000,93402000,94959000,103376000,110991000,110594000,118602000,120811000,130191000
11,COGS and Expenses,- -,- -,39290000,61123000,79693000,101568000,117320000,137135000,141436000,159223000,175609000,177218000,194071000,196908000,203219000
12,Interest Income ,- -,- -,313000,185000,23000,106000,58000,11000,6000,99000,124000,227000,- -,- -,5000
13,Interest Expense (Gain),- -,- -,- -,- -,358000,241000,- -,96000,96000,63000,26000,8000,- -,- -,- -
14,Depreciation and Amortization,- -,- -,1778000,2199000,2992000,4666000,5867000,8587000,8687000,7796000,7257000,6796000,8422000,8695000,8322000
15,EBITDA,- -,- -,-512000,-15246000,-14195000,-11768000,-4183000,-7950000,1594000,-1717000,-11866000,-6623000,-12921000,3500000,14521000
