,https://roic.ai/company/MXL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,9696000,31331000,51350000,68701000,71937000,97728000,119646000,133112000,300360000,387832000,420318000,384997000,317180000,478596000,892398000
2,COGS,4896000,12675000,17047000,21560000,26616000,37019000,46683000,51154000,144937000,157842000,212355000,176223000,149495000,265798000,396566000
3,Gross Profit,4800000,18656000,34303000,47141000,45321000,60709000,72963000,81958000,155423000,229990000,207963000,208774000,167685000,212798000,495832000
4,Gross Profit Ratio,0.4950,0.5954,0.6680,0.6862,0.6300,0.6212,0.6098,0.6157,0.5175,0.5930,0.4948,0.5423,0.5287,0.4446,0.5556
5,Research and Development Exp.,9924000,14310000,19790000,27725000,40156000,46392000,53132000,56625000,85405000,97745000,112279000,120046000,98344000,179993000,278440000
6,General and Administrative Exp.,- -,- -,- -,15912000,20178000,27225000,32181000,34191000,77981000,64454000,105831000,101789000,88762000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,15912000,20178000,27225000,32181000,34191000,77981000,64454000,105831000,101789000,88762000,- -,149943000
9,Other Expenses,4296000,6356000,9921000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130025000,- -
10,Operating Expenses,14220000,20666000,29711000,43637000,60334000,73617000,85313000,90816000,163386000,162199000,218110000,221835000,187106000,310018000,428383000
11,COGS and Expenses,19116000,33341000,46758000,65197000,86950000,110636000,131996000,141970000,308323000,320041000,430465000,398058000,336601000,575816000,824949000
12,Interest Income ,654000,179000,51000,326000,292000,282000,222000,236000,275000,572000,274000,78000,775000,409000,78000
13,Interest Expense (Gain),78000,74000,52000,29000,69000,53000,4000,15000,- -,- -,10378000,14255000,11133000,12952000,12996000
14,Depreciation and Amortization,467000,606000,841000,1873000,3159000,3531000,3715000,5107000,40641000,26703000,66738000,79027000,66401000,76513000,91792000
15,EBITDA,-8164000,-1234000,5452000,5645000,-11803000,-9327000,-8612000,-3623000,-2265000,90393000,43118000,60430000,45050000,-25387000,152658000
16,EBITDA ratio,-0.8420,-0.0394,0.1062,0.0822,-0.1641,-0.0954,-0.0720,-0.0272,-0.0075,0.2331,0.1026,0.1570,0.1420,-0.0530,0.1711
17,Operating Income,-9420000,-2010000,4592000,3504000,-15013000,-12908000,-12350000,-8858000,-43649000,63059000,-21671000,-19097000,-22057000,-101139000,65245000
18,Operating Income ratio,-0.9715,-0.0642,0.0894,0.0510,-0.2087,-0.1321,-0.1032,-0.0665,-0.1453,0.1626,-0.0516,-0.0496,-0.0695,-0.2113,0.0731
19,Total Other Income Expenses (Gains),711000,96000,-33000,239000,-18000,-3000,19000,113000,743000,631000,-12327000,-13755000,-10427000,-13713000,-17375000
20,Income Before Tax,-8709000,-1914000,4559000,3743000,-15031000,-12911000,-12331000,-8745000,-42906000,63690000,-33998000,-32852000,-32484000,-114852000,47870000
21,Income Before Tax Ratio,-0.8982,-0.0611,0.0888,0.0545,-0.2089,-0.1321,-0.1031,-0.0657,-0.1428,0.1642,-0.0809,-0.0853,-0.1024,-0.2400,0.0536
22,Income Tax expense (Gain),- -,- -,230000,-6371000,6993000,341000,402000,-1704000,-575000,2398000,-24811000,-6653000,-12586000,-16259000,5901000
23,Net Income,-8709000,-1914000,4329000,10114000,-22024000,-13252000,-12733000,-7041000,-42331000,61292000,-9187000,-26199000,-19898000,-98593000,41969000
24,Net Income ratio,-0.8982,-0.0611,0.0843,0.1472,-0.3062,-0.1356,-0.1064,-0.0529,-0.1409,0.1580,-0.0219,-0.0680,-0.0627,-0.2060,0.0470
25,EPS,-0.86,-0.06,0.18,0.33,-0.68,-0.40,-0.37,-0.19,-0.79,0.96,-0.14,-0.38,-0.28,-1.35,0.55
26,EPS Diluted,-0.86,-0.06,0.17,0.30,-0.68,-0.40,-0.37,-0.19,-0.79,0.91,-0.14,-0.38,-0.28,-1.35,0.53
27,Weighted Average Shares Outstanding,10129000,30411122,24655000,26743000,32573000,33198000,34012000,36472000,53378000,63781000,66252000,68490000,71005000,73133000,76582000
28,Weighted Average Shares Outstanding Diluted,11512000,30411122,26038000,29478000,32573000,33198000,34012000,36472000,53378000,67653000,66252000,68490000,71005000,73133000,79815000
