,https://roic.ai/company/QTWO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,26982000,41101000,56872000,79129000,108867000,150224000,193978000,241100000,315484000,402751000,498720000
2,COGS,14795000,25170000,36261000,46054000,59128000,77429000,99485000,121855000,162485000,228152000,273685000
3,Gross Profit,12187000,15931000,20611000,33075000,49739000,72795000,94493000,119245000,152999000,174599000,225035000
4,Gross Profit Ratio,0.4517,0.3876,0.3624,0.4180,0.4569,0.4846,0.4871,0.4946,0.4850,0.4335,0.4512
5,Research and Development Exp.,3428000,5317000,9029000,12086000,21534000,32460000,40338000,51334000,76273000,97381000,116952000
6,General and Administrative Exp.,4857000,8780000,11978000,16991000,22977000,31992000,37179000,45648000,57159000,73118000,79923000
7,Selling and Marketing Exp.,5589000,8962000,16726000,23069000,26999000,36284000,41170000,48124000,63947000,72323000,85564000
8,"Selling, General and Administrative Exp.",10446000,17742000,28704000,40060000,49976000,68276000,78349000,93772000,121106000,145441000,165487000
9,Other Expenses,- -,- -,- -,- -,576000,1470000,1481000,1844000,6339000,17888000,17901000
10,Operating Expenses,13874000,23059000,37733000,52146000,72086000,102206000,120168000,146950000,203718000,260710000,300340000
11,COGS and Expenses,28669000,48229000,73994000,98200000,131214000,179635000,219653000,268805000,366203000,488862000,574025000
12,Interest Income ,7000,4000,6000,65000,280000,358000,553000,2811000,3672000,1207000,1476000
13,Interest Expense (Gain),83000,232000,505000,557000,283000,567000,124000,10161000,20290000,28646000,33071000
14,Depreciation and Amortization,1013000,1697000,2971000,4083000,6847000,12199000,14946000,16802000,28457000,51840000,54833000
15,EBITDA,-1799000,-6686000,-14344000,-14923000,-17713000,-23161000,-11408000,-12237000,-34617000,-55718000,-23199000
16,EBITDA ratio,-0.0667,-0.1627,-0.2522,-0.1886,-0.1627,-0.1542,-0.0588,-0.0508,-0.1097,-0.1383,-0.0465
17,Operating Income,-1687000,-7128000,-17122000,-19071000,-24840000,-35718000,-26907000,-31850000,-66746000,-99833000,-77995000
18,Operating Income ratio,-0.0625,-0.1734,-0.3011,-0.2410,-0.2282,-0.2378,-0.1387,-0.1321,-0.2116,-0.2479,-0.1564
19,Total Other Income Expenses (Gains),-76000,-228000,-499000,-492000,-3000,-209000,429000,-7350000,-16618000,-36371000,-33108000
20,Income Before Tax,-1763000,-7356000,-17621000,-19563000,-24843000,-35927000,-26478000,-39200000,-83364000,-136204000,-111103000
21,Income Before Tax Ratio,-0.0653,-0.1790,-0.3098,-0.2472,-0.2282,-0.2392,-0.1365,-0.1626,-0.2642,-0.3382,-0.2228
22,Income Tax expense (Gain),132000,164000,55000,71000,220000,427000,-314000,-3803000,-12487000,1416000,1643000
23,Net Income,-3027000,-8779000,-17875000,-19634000,-25063000,-36354000,-26164000,-35397000,-70877000,-137620000,-112746000
24,Net Income ratio,-0.1122,-0.2136,-0.3143,-0.2481,-0.2302,-0.2420,-0.1349,-0.1468,-0.2247,-0.3417,-0.2261
25,EPS,-0.26,-0.39,-0.56,-0.67,-0.67,-0.92,-0.63,-0.83,-1.53,-2.65,-2.00
26,EPS Diluted,-0.26,-0.39,-0.56,-0.67,-0.67,-0.92,-0.63,-0.83,-1.53,-2.65,-2.00
27,Weighted Average Shares Outstanding,11794000,22323000,31949901,29257000,37275000,39649000,41218000,42797000,46198000,52019000,56394000
28,Weighted Average Shares Outstanding Diluted,11794000,22323000,31949901,29257000,37275000,39649000,41218000,42797000,46198000,52019000,56394000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1410384/000141038415000021/0001410384-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038416000173/0001410384-16-000173-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038417000017/0001410384-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038418000012/0001410384-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038419000015/0001410384-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038420000025/0001410384-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038421000022/0001410384-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1410384/000141038422000013/0001410384-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,15363000,9111000,18675000,67979000,67049000,54873000,57961000,108341000,100094000,407703000,322848000
32,Short-Term Investments,- -,- -,- -,20956000,43571000,42249000,41685000,68979000,32325000,131352000,104878000
33,Cash and Short-Term Investments,15363000,9111000,18675000,88935000,110620000,97122000,99646000,177320000,132419000,539055000,427726000
34,Net Receivables,3891000,5857000,9063000,5007000,9009000,12240000,13203000,20266000,23314000,37518000,48824000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3470000,4166000,6133000,10580000,13589000,16307000,18238000,20726000,30602000,39643000,45900000
37,Total Current Assets,22724000,19134000,33871000,104522000,133218000,125669000,131087000,218312000,186335000,616216000,522450000
38,PP&E,3055000,4207000,14831000,18521000,24440000,27480000,34544000,34994000,74640000,84267000,118886000
39,Goodwill,- -,- -,- -,- -,12876000,12876000,12876000,107907000,462023000,462274000,512869000
40,Intangible Assets,- -,- -,- -,- -,17192000,15208000,12034000,63296000,223861000,184859000,162461000
41,Intangible Assets,- -,- -,- -,- -,30068000,28084000,24910000,171203000,685884000,647133000,675330000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5955000,8335000,12406000,13763000,16742000,19747000,22274000,39211000,62575000,69086000,68379000
45,Total Non-Current Assets,9010000,12542000,27237000,32284000,71250000,75311000,81728000,245408000,823099000,800486000,862595000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,31734000,31676000,61108000,136806000,204468000,200980000,212815000,463720000,1009434000,1416702000,1385045000
48,Accounts Payable,529000,2397000,4085000,1986000,3450000,4231000,7621000,9169000,10967000,7887000,10597000
49,Short-Term Debt,- -,2500000,- -,- -,- -,- -,- -,- -,9140000,6844000,9001000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,7452000,8571000,12728000,17289000,23859000,30123000,38379000,42531000,57850000,81935000,98692000
52,Other Current Liabilities,4581000,5614000,12378000,13612000,18384000,24857000,22073000,21981000,55009000,49160000,50068000
53,Total Current Liabilities,12562000,19082000,29191000,32887000,45693000,59211000,68073000,73681000,132966000,145826000,168358000
54,Long-Term Debt,2500000,- -,6288000,- -,- -,- -,- -,182723000,460863000,594207000,612972000
55,Deferred Revenue,6053000,9269000,14773000,19436000,29188000,31707000,28289000,23063000,32954000,29203000,29168000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,21869000,22306000,5120000,5543000,11613000,9827000,9831000,25353000,3239000,4102000,4251000
58,Total Non-Current Liabilities,30422000,31575000,26181000,24979000,40801000,41534000,38120000,231139000,497056000,627512000,646391000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,504000,1035000,1289000,575000,161000,- -,- -,- -,45219000,43583000,70375000
61,Total Liabilities,42984000,50657000,55372000,57866000,86494000,100745000,106193000,304820000,630022000,773338000,814749000
62,Preferred Stock,1740000,1740000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,3000,3000,4000,4000,4000,4000,5000,6000,6000
