,https://roic.ai/company/BIDU,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,40571213,117450392,40571000,837838000,1744425000,837838000,3198252000,7915074000,14500786000,22306026000,31943924000,49052318000,66381729000,70549364000,84809000000,102277000000,107413000000,107074000000,124493000000
2,COGS,20703653,32988428,22636000,245489000,645406000,245489000,1155457000,2149288000,3896883000,6448545000,11471839000,18885450000,27458030000,35278945000,43062000000,51744000000,62850000000,55158000000,64314000000
3,Gross Profit,19867560,84461964,17935000,592349000,1099019000,592349000,2042795000,5765786000,10603903000,15857481000,20472085000,30166868000,38923699000,35270419000,41747000000,50533000000,44563000000,51916000000,60179000000
4,Gross Profit Ratio,0.4897,0.7191,0.4421,0.7070,0.6300,0.7070,0.6387,0.7285,0.7313,0.7109,0.6409,0.6150,0.5864,0.4999,0.4922,0.4941,0.4149,0.4849,0.4834
5,Research and Development Exp.,5190400,11407291,5191000,79231000,140702000,79231000,286256000,718038000,1334434000,2304825000,4106832000,6980962000,10175762000,10150753000,12928000000,15772000000,18346000000,19513000000,24938000000
6,General and Administrative Exp.,- -,- -,22039000,- -,- -,- -,- -,- -,- -,659746000,1160824000,2083584000,2572596000,2657341000,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1841590000,4012709000,8298558000,14503787000,12413245000,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",22036435,55513274,22039000,250240000,411163000,250240000,659804000,1088980000,1692810000,2501336000,5173533000,10382142000,17076383000,15070586000,13128000000,19231000000,19910000000,18063000000,24723000000
9,Other Expenses,1937087,6539739,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,29163922,73460303,27230000,329471000,551865000,329471000,946060000,1807018000,3027244000,4806161000,9280365000,17363104000,27252145000,25221339000,26056000000,35003000000,38256000000,37576000000,49661000000
11,COGS and Expenses,49867576,106448731,49866000,574960000,1197271000,574960000,2101517000,3956306000,6924127000,11254706000,20752204000,36248554000,54710175000,60500284000,69118000000,86747000000,101106000000,92734000000,113975000000
12,Interest Income ,- -,- -,- -,42443000,49009000,42443000,47677000,67121000,335650000,866465000,1308542000,1992818000,2362632000,2341631000,3154000000,4451000000,6060000000,5358000000,5551000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,107857000,447084000,628571000,1041394000,1157562000,1615000000,1883000000,2960000000,3103000000,3421000000
14,Depreciation and Amortization,4884109,9942058,4888000,70442000,180935000,70442000,280714000,441351000,884912000,1515337000,2651990000,3972294000,5860912000,8327557000,11748000000,16187000000,22138000000,22714000000,- -
15,EBITDA,-3998346,22425508,-3997000,384464000,797151000,384464000,1444893000,4502514000,8712410000,13653381000,15446970000,20019106000,46040856000,24030982000,34659000000,50386000000,29103000000,52353000000,16834000000
16,EBITDA ratio,-0.0986,0.1909,-0.0985,0.4589,0.4570,0.4589,0.4518,0.5689,0.6008,0.6121,0.4836,0.4081,0.6936,0.3406,0.4087,0.4926,0.2709,0.4889,0.1352
17,Operating Income,-9296362,11001661,-9295000,262878000,547154000,262878000,1096735000,3958768000,7576659000,11051320000,11191720000,12803764000,11671554000,10049080000,15691000000,15530000000,6307000000,14340000000,10518000000
18,Operating Income ratio,-0.2291,0.0937,-0.2291,0.3138,0.3137,0.3138,0.3429,0.5002,0.5225,0.4954,0.3504,0.2610,0.1758,0.1424,0.1850,0.1518,0.0587,0.1339,0.0845
19,Total Other Income Expenses (Gains),413908,1481789,410000,46541000,69062000,46541000,67444000,102395000,232520000,914117000,993296000,1670779000,26235069000,4460127000,5592000000,11795000000,-6647000000,8750000000,260000000
20,Income Before Tax,-8882455,12483450,-8885000,309419000,616216000,309419000,1164179000,4061163000,7809179000,11965437000,12185016000,14474543000,37906623000,14509207000,21283000000,27325000000,-340000000,23090000000,10778000000
21,Income Before Tax Ratio,-0.2189,0.1063,-0.2190,0.3693,0.3532,0.3693,0.3640,0.5131,0.5385,0.5364,0.3815,0.2951,0.5710,0.2057,0.2510,0.2672,-0.0032,0.2156,0.0866
22,Income Tax expense (Gain),- -,480133,- -,12256000,-12752000,12256000,116071000,535995000,1188861000,1574159000,1828930000,2231172000,5474377000,2913594000,2995000000,4743000000,1948000000,4064000000,3187000000
23,Net Income,-8882455,12003318,-8885000,301766000,628968000,301766000,1048108000,3525168000,6638637000,10456028000,10518966000,13187069000,33664173000,11632269000,18301000000,27573000000,2057000000,22472000000,10226000000
24,Net Income ratio,-0.2189,0.1022,-0.2190,0.3602,0.3606,0.3602,0.3277,0.4454,0.4578,0.4688,0.3293,0.2688,0.5071,0.1649,0.2158,0.2696,0.0192,0.2099,0.0821
25,EPS,-0.09,0.11,-0.09,0.91,1.86,3.06,4.30,10.13,19.03,29.86,29.98,37.46,95.46,31.95,52.75,78.64,5.68,67.10,28.64
26,EPS Diluted,-0.09,0.04,-0.09,0.88,1.81,3.02,4.27,10.10,18.99,29.83,29.93,37.31,95.15,31.86,52.41,78.03,5.60,64.98,28.08
27,Weighted Average Shares Outstanding,101888500,109834780,101888500,332906960,338726110,342174430,345707900,348053620,348900500,349398380,349862280,350624660,349217820,346652380,347251230,348985890,348344970,334891130,344750000
28,Weighted Average Shares Outstanding Diluted,101888500,281243270,101888500,345065940,347243650,347174890,347763660,349178350,349628310,349794590,350363460,351984740,350344700,347570860,349523910,351710430,348848540,345829486,351750000
