,https://roic.ai/company/CVCO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,138100000,118500000,95480000,95728000,110037000,128857000,157435000,189503000,169114000,141914000,105362000,115612000,171827000,443066000,452300000,533300000,566659000,712352000,773797000,871235000,962746000,1061774000,1108051000
2,COGS,106100000,90100000,77792000,80429000,90683000,106230000,127916000,151143000,138813000,121538000,94591000,104915000,147549000,347121000,351900000,413900000,440523000,567907000,615760000,690555000,757040000,831256000,869074000
3,Gross Profit,32000000,28400000,17688000,15299000,19354000,22627000,29519000,38360000,30301000,20376000,10771000,10697000,24278000,95945000,100400000,119400000,126136000,144445000,158037000,180680000,205706000,230518000,238977000
4,Gross Profit Ratio,0.2317,0.2397,0.1853,0.1598,0.1759,0.1756,0.1875,0.2024,0.1792,0.1436,0.1022,0.0925,0.1413,0.2165,0.2220,0.2239,0.2226,0.2028,0.2042,0.2074,0.2137,0.2171,0.2157
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,17400000,14700000,14370000,11535000,12200000,13583000,14245000,- -,15311000,13825000,11213000,16718000,21345000,79800000,79300000,87900000,87659000,98103000,101231000,106907000,119468000,142711000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",17400000,14700000,14370000,11535000,12200000,13583000,14245000,- -,15311000,13825000,11213000,16718000,21345000,79800000,79300000,87900000,87659000,98103000,101231000,106907000,119468000,142711000,- -
9,Other Expenses,3100000,3500000,12912000,- -,- -,- -,- -,16367000,- -,- -,- -,- -,- -,- -,100000,0,-0,-0,- -,- -,2100000,2900000,150152000
10,Operating Expenses,20500000,18200000,27282000,11535000,12200000,13583000,14245000,16367000,15311000,13825000,11213000,16718000,21345000,79800000,79400000,87900000,87659000,98103000,101231000,106907000,121568000,145611000,150152000
11,COGS and Expenses,126600000,108300000,105074000,91964000,102883000,119813000,142161000,167510000,154124000,135363000,105804000,121633000,168894000,426921000,431300000,501800000,528182000,666010000,716991000,797462000,878608000,976867000,1019226000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,764000,222000,2028000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1200000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7265000,5973000,4845000,4587000,4363000,4443000,4397000,3444000,1495000,738000
14,Depreciation and Amortization,- -,- -,5600000,1202000,1167000,1600000,1303000,1173000,692000,785000,817000,1204000,1357000,5556000,4010000,4000000,3757000,3922000,3687000,4026000,4698000,5783000,6324000
15,EBITDA,12300000,7200000,-21669000,-234000,-3378000,10804000,17659000,24897000,18203000,9875000,1139000,-4173000,5077000,30557000,21334000,34144000,45671000,52313000,63411000,86946000,94818000,100257000,103974000
16,EBITDA ratio,0.0891,0.0608,-0.2269,-0.0024,-0.0307,0.0838,0.1122,0.1314,0.1076,0.0696,0.0108,-0.0361,0.0295,0.0690,0.0472,0.0640,0.0806,0.0734,0.0819,0.0998,0.0985,0.0944,0.0938
17,Operating Income,11400000,10200000,-9594000,3764000,7154000,9044000,15274000,21993000,14990000,6551000,-442000,-6021000,2933000,16145000,21042000,31545000,38477000,46342000,56806000,73773000,84138000,84907000,88825000
18,Operating Income ratio,0.0825,0.0861,-0.1005,0.0393,0.0650,0.0702,0.0970,0.1161,0.0886,0.0462,-0.0042,-0.0521,0.0171,0.0364,0.0465,0.0592,0.0679,0.0651,0.0734,0.0847,0.0874,0.0800,0.0802
19,Total Other Income Expenses (Gains),1200000,300000,-1073000,-655000,-344000,233000,532000,1479000,2387000,2539000,764000,222000,2028000,16082000,-4442000,-3745000,-1150000,-2314000,-1525000,4750000,2538000,8072000,8087000
20,Income Before Tax,12600000,10500000,-10667000,3109000,6810000,9277000,15806000,23472000,17377000,9090000,322000,-5799000,4961000,32227000,16600000,27800000,37327000,44028000,55281000,78523000,86676000,92979000,96912000
21,Income Before Tax Ratio,0.0912,0.0886,-0.1117,0.0325,0.0619,0.0720,0.1004,0.1239,0.1028,0.0641,0.0031,-0.0502,0.0289,0.0727,0.0367,0.0521,0.0659,0.0618,0.0714,0.0901,0.0900,0.0876,0.0875
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,3054000,6229000,8675000,5962000,2778000,-136000,-2006000,889000,2499000,6351000,9099000,13510000,15487000,17326000,17021000,18054000,17913000,20266000
23,Net Income,11100000,6900000,-27269000,-1436000,-4545000,6150000,10127000,15049000,11549000,6312000,458000,-3371000,2831000,15237000,5000000,16200000,23817000,28541000,37955000,61502000,68622000,75066000,76646000
24,Net Income ratio,0.0804,0.0582,-0.2856,-0.0150,-0.0413,0.0477,0.0643,0.0794,0.0683,0.0445,0.0043,-0.0292,0.0165,0.0344,0.0111,0.0304,0.0420,0.0401,0.0491,0.0706,0.0713,0.0707,0.0692
25,EPS,1.79,1.11,-4.41,-0.23,-0.72,0.98,1.61,2.38,1.81,0.98,0.07,-0.52,0.43,2.22,0.71,1.97,2.69,3.21,4.23,6.82,7.56,8.22,8.34
