,https://roic.ai/company/STAG,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,12400000,31270000,30166000,60446000,44058000,85487000,133893000,173816000,218633000,250243000,301087000,350993000,405950000,483411000,562159000
2,COGS,1400000,3009000,5342000,9361000,5462000,12888000,24010000,33388000,42627000,48904000,57701000,69021000,75179000,89359000,107986000
3,Gross Profit,11000000,28261000,24824000,51085000,38596000,72599000,109883000,140428000,176006000,201339000,243386000,281972000,330771000,394052000,454173000
4,Gross Profit Ratio,0.8871,0.9038,0.8229,0.8451,0.8760,0.8492,0.8207,0.8079,0.8050,0.8046,0.8084,0.8034,0.8148,0.8151,0.8079
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,600000,1112000,1078000,9094000,5494000,14549000,17840000,26396000,28750000,33395000,33349000,34052000,35946000,40072000,48629000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",600000,1112000,1078000,9094000,5494000,14549000,17840000,26396000,28750000,33395000,33349000,34052000,35946000,40072000,48629000
9,Other Expenses,4700000,14912000,13324000,26142000,22723000,43275000,67556000,88057000,112545000,125444000,150881000,167617000,185450000,- -,238699000
10,Operating Expenses,5300000,16024000,14402000,35236000,28217000,57824000,85396000,114453000,141295000,158839000,184230000,201669000,221396000,40072000,287328000
11,COGS and Expenses,6700000,19033000,19744000,44597000,33679000,70712000,109406000,147841000,183922000,207743000,241931000,270690000,296575000,344169000,395314000
12,Interest Income ,- -,140000,66000,16000,17000,19000,13000,15000,9000,10000,12000,20000,87000,446000,121000
13,Interest Expense (Gain),-7600000,15058000,14328000,14853000,15579000,16110000,20319000,25109000,36098000,42923000,42469000,48817000,54647000,62343000,63484000
14,Depreciation and Amortization,- -,12056000,10992000,9599000,21408000,43473000,70597000,88057000,112545000,125444000,150881000,167617000,185450000,214738000,240750000
15,EBITDA,-9600000,19430000,19760000,25090000,32442000,53104000,96438000,109141000,119240000,202886000,224609000,309360000,289378000,479228000,496568000
16,EBITDA ratio,-0.7742,0.6214,0.6550,0.4151,0.7363,0.6212,0.7203,0.6279,0.5454,0.8108,0.7460,0.8814,0.7128,0.9913,0.8833
17,Operating Income,5700000,12237000,10422000,15849000,10379000,14775000,24487000,25975000,34711000,42500000,59156000,80303000,109375000,139242000,166845000
18,Operating Income ratio,0.4597,0.3913,0.3455,0.2622,0.2356,0.1728,0.1829,0.1494,0.1588,0.1698,0.1965,0.2288,0.2694,0.2880,0.2968
19,Total Other Income Expenses (Gains),-7600000,-5003000,-1720000,-14000,-1768000,-22052000,-24381000,-31014000,-66180000,-6912000,-26956000,15942000,-58710000,67553000,29587000
20,Income Before Tax,-1900000,- -,- -,- -,- -,-7277000,106000,-5039000,-31469000,35588000,32200000,96245000,50665000,206795000,196432000
21,Income Before Tax Ratio,-0.1532,- -,- -,- -,- -,-0.0851,0.0008,-0.0290,-0.1439,0.1422,0.1069,0.2742,0.1248,0.4278,0.3494
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2000000,-7684000,-5560000,638000,-4545000,-6479000,5522000,-4025000,-29403000,34519000,31259000,92926000,49281000,202147000,192334000
24,Net Income ratio,-0.1613,-0.2457,-0.1843,0.0106,-0.1032,-0.0758,0.0412,-0.0232,-0.1345,0.1379,0.1038,0.2648,0.1214,0.4182,0.3421
25,EPS,-0.09,-0.56,-0.40,0.05,-0.29,-0.51,-0.10,-0.28,-0.61,0.29,0.24,0.80,0.35,1.32,1.29
26,EPS Diluted,-0.09,-0.56,-0.40,0.05,-0.29,-0.51,-0.10,-0.28,-0.61,0.29,0.23,0.79,0.35,1.32,1.29
27,Weighted Average Shares Outstanding,21600000,13750000,13750000,13750000,15901560,25046664,42364125,54086345,66307972,70637185,89537714,103401000,125389000,148791000,148791000
28,Weighted Average Shares Outstanding Diluted,21600000,14031250,14031250,14031250,15901560,25046664,42364125,54086345,66307972,70852548,90003559,103807000,125678000,149215000,148791000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1479094/000104746912002371/a2207750z10-k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000104746913002284/a2213224z10-k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000104746914001398/a2218367z10-k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000155837015000135/stag-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909416000006/stag-123115x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909417000005/stag-123116x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909418000009/stag-123117x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909419000006/stag-123118x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909420000006/stag-123119x10k.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909421000007/0001479094-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1479094/000147909422000006/0001479094-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
