,https://roic.ai/company/CRTO,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,87280223,186069600,359529981,613052004,906027774,1323169000,1799146000,2296692000,2300314000,2261516000,2072617000,2254235000
2,COGS,50954914,109843821,225314095,396183269,580739579,851353000,1154171000,1477197000,1466078000,1432480000,1384599000,1472291000
3,Gross Profit,36325309,76225779,134215886,216868734,325288195,471816000,644975000,819495000,834236000,829036000,688018000,781944000
4,Gross Profit Ratio,0.4162,0.4097,0.3733,0.3538,0.3590,0.3566,0.3585,0.3568,0.3627,0.3666,0.3320,0.3469
5,Research and Development Exp.,3235803,11387467,18892004,44429562,55076852,86807000,123649000,173925000,179263000,172591000,132513000,151817000
6,General and Administrative Exp.,7635324,12065323,26725210,43341434,59326816,79145000,117469000,127077000,135159000,139754000,112367000,152634000
7,Selling and Marketing Exp.,15591169,39958525,76767530,114358309,162207549,229530000,282853000,380649000,372707000,375477000,331930000,325616000
8,"Selling, General and Administrative Exp.",23226493,52023848,103492739,157699743,221534365,308675000,400322000,507726000,507866000,515231000,444297000,478250000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2383000,- -
10,Operating Expenses,26462296,63411315,122384744,202129305,276611216,395482000,523971000,681651000,687129000,687822000,579193000,630067000
11,COGS and Expenses,77417210,173255136,347698839,598312574,857350795,1246835000,1678142000,2158848000,2153207000,2120302000,1963792000,2102358000
12,Interest Income ,89108,103687,269791,856141,1751058,2105000,1352000,883000,1055000,1528000,1117000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,533829,653000,1134000,2459000,1796000,1756000,2381000,- -
14,Depreciation and Amortization,958904,4354870,7605734,16839736,30577849,47085000,62733000,104025000,111825000,97110000,106591000,90934000
15,EBITDA,10776699,17983280,17573465,21642409,89002383,116808000,179268000,229349000,248409000,229107000,212848000,241559000
16,EBITDA ratio,0.1235,0.0966,0.0489,0.0353,0.0982,0.0883,0.0996,0.0999,0.1080,0.1013,0.1027,0.1072
17,Operating Income,9863014,12814464,11831142,14739429,48676978,76334000,121004000,137844000,147107000,141214000,108825000,151877000
18,Operating Income ratio,0.1130,0.0689,0.0329,0.0240,0.0537,0.0577,0.0673,0.0600,0.0640,0.0624,0.0525,0.0674
19,Total Other Income Expenses (Gains),-45219,813946,-2061787,-9483830,10441899,-4541000,-546000,-9534000,-5084000,-5749000,-1939000,1939000
20,Income Before Tax,9817795,13628410,9769355,5255599,59118877,71793000,120458000,128310000,142023000,135465000,106886000,153816000
21,Income Before Tax Ratio,0.1125,0.0732,0.0272,0.0086,0.0653,0.0543,0.0670,0.0559,0.0617,0.0599,0.0516,0.0682
22,Income Tax expense (Gain),3548344,5691141,8670352,3332045,16115813,9517000,33129000,31651000,46144000,39496000,32197000,16169000
23,Net Income,6269451,7937269,1297379,1470629,41774892,59553000,82272000,91214000,88644000,90745000,71679000,134456000
24,Net Income ratio,0.0718,0.0427,0.0036,0.0024,0.0461,0.0450,0.0457,0.0397,0.0385,0.0401,0.0346,0.0596
25,EPS,0.11,0.17,0.02,0.03,0.71,0.88,1.30,1.40,1.33,1.41,1.18,2.26
26,EPS Diluted,0.11,0.14,0.02,0.03,0.67,0.84,1.25,1.34,1.31,1.38,1.16,2.14
27,Weighted Average Shares Outstanding,55298218,47163824,55298218,48692148,58928563,61835499,63337792,65143036,66456890,64305965,60876480,60873594
28,Weighted Average Shares Outstanding Diluted,55298218,55298218,55298218,55262193,62645716,64775108,65633470,67851971,67662904,65598588,61818593,64197686
