,https://roic.ai/company/ARAO,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,454820,519168,- -,- -,- -,- -,35000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222189,444149,- -,- -,- -,- -,5316,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232631,75019,- -,- -,- -,- -,29684,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5115,0.1445,- -,- -,- -,- -,0.8481,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,85976,22432,22930,197655,2241383,1291783,- -,1282648,1539920,1431572,1177998,973536,1314708,1118751,682897,620129
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,28373,85976,22432,22930,197655,2241383,1291783,1431385,1282648,1539920,1431572,1177998,973536,1314708,1118751,682897,620129
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,28373,85976,22432,22930,197655,2241383,1291783,1431385,1282648,1539920,1431572,1177998,973536,1314708,1118751,682897,620129
11,COGS and Expenses,- -,- -,28373,85976,22432,22930,197655,2241383,1291783,1431385,1282648,1762109,1875721,1177998,973536,1314708,1118751,688213,620129
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,18486,14839,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,342,5990,5817,24219,71175,207911,202652,158579,53194,48038,- -,- -,- -
15,EBITDA,- -,- -,-28373,-95976,-22432,-22930,-197313,-2235393,-1285966,-1407166,-1211473,-2640467,-1252254,-1019419,-920342,-1266670,-1118751,-896092,-620129
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.8055,-2.4120,-Infinity,-Infinity,-Infinity,-Infinity,-25.6026,-Infinity
17,Operating Income,- -,- -,28373,-85976,-22432,-22930,-197655,-2241383,-1291783,-1431385,-1282648,-1307289,-1356553,-1177998,-973536,-1314708,-1118751,-653213,-620129
18,Operating Income ratio,- -,- -,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.8743,-2.6129,-Infinity,-Infinity,-Infinity,-Infinity,-18.6632,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-56746,10000,26514,65161,- -,- -,- -,- -,-1276583,-1541089,-98353,-20428,-206194,-228470,-204765,-242879,-306690
20,Income Before Tax,- -,- -,-28373,-75976,4082,42231,- -,- -,- -,- -,-2559231,-2848378,-1454906,-1198426,-1179730,-1543178,-1323516,-896092,-926819
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,Infinity,Infinity,- -,- -,- -,- -,-Infinity,-6.2626,-2.8024,-Infinity,-Infinity,-Infinity,-Infinity,-25.6026,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,14359,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-28373,-75976,4082,42231,-215864,-2240285,-1276324,-1392506,-2559231,-2848378,-1454906,-1198426,-1179730,-1543178,-1323516,-896092,-926820
24,Net Income ratio,- -,- -,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-6.2626,-2.8024,-Infinity,-Infinity,-Infinity,-Infinity,-25.6026,-Infinity
25,EPS,- -,- -,-0.05,-0.13,0.01,0.07,-0.01,-0.09,-0.04,-0.04,-0.05,-0.05,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01
26,EPS Diluted,- -,- -,-0.05,-0.13,0.01,0.06,-0.01,-0.09,-0.04,-0.04,-0.05,-0.05,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01
27,Weighted Average Shares Outstanding,- -,- -,573500,573500,573500,573500,14930347,24253931,28947669,33254813,48610830,52077920,58694562,60206654,62344196,68510632,66523560,65879437,67409726
28,Weighted Average Shares Outstanding Diluted,- -,- -,573500,573500,573500,869796,14930347,24253931,28947669,33254813,48610830,52077920,58694562,60206654,62344196,68510632,66523560,65879437,67409726
29,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083922/000108392209000012/aurasource_form10k.htm,https://www.sec.gov/Archives/edgar/data/1083922/000108392210000014/0001083922-10-000014-index.html,https://www.sec.gov/Archives/edgar/data/1083922/000108392211000006/0001083922-11-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/1083922/000130841113000214/0001308411-13-000214-index.html,https://www.sec.gov/Archives/edgar/data/1083922/000130841114000159/araoform10k033114.htm,https://www.sec.gov/Archives/edgar/data/1083922/000130841115000080/0001308411-15-000080-index.html,- -,https://www.sec.gov/Archives/edgar/data/1083922/000130841117000030/araoform10k033117.htm,https://www.sec.gov/Archives/edgar/data/1083922/000130841118000032/araoform10k03312018.htm,https://www.sec.gov/Archives/edgar/data/1083922/000130841119000026/araoform10k033119.htm,https://www.sec.gov/Archives/edgar/data/1083922/000130841120000014/0001308411-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1083922/000130841121000010/0001308411-21-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,6953,1272,58941,8686,145436,1642006,642247,404331,75508,11112,9784,3550,88423,248472,58161,35215,65887
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,6953,1272,58941,8686,145436,1642006,642247,404331,75508,11112,9784,3550,88423,248472,58161,35215,65887
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,67643,63193,54418,250000,- -,- -,- -,11244,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,2024,- -,25000,- -,- -,4294,10001,3075,631254,584689,526963,526963,516045,516045,- -,- -,- -
37,Total Current Assets,- -,- -,8977,1272,83941,8686,145436,1646300,719891,470599,761180,845801,536747,530513,604468,775761,58161,35215,65887
38,PP&E,- -,- -,- -,- -,- -,- -,1716,31074,73862,415355,445704,284869,129336,5602,- -,- -,- -,49328,27849
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,753530,759651,- -,780582,733463,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,753530,759651,818427,780582,733463,698618,651941,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2262,2262
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,1716,31074,827392,1175006,1264131,1065451,862799,704220,651941,- -,- -,51590,30111
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,8977,1272,83941,8686,147152,1677374,1547283,1645605,2025311,1911252,1399546,1234733,1256409,775761,58161,86805,95998
48,Accounts Payable,- -,- -,- -,2500,100000,- -,10734,32008,13522,170234,28234,375562,334778,171016,147271,187434,167467,121099,117973
49,Short-Term Debt,- -,- -,147500,200000,162500,170000,253965,- -,- -,- -,500000,129861,132458,143459,2321419,2159572,2226258,2357656,2628947
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,633754,- -,5832,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,17942,31213,49800,24814,10447,30000,- -,- -,412615,1147446,1508955,2376137,970642,1358454,1540695,1906239,2349780
53,Total Current Liabilities,- -,- -,165442,233713,312300,194814,275146,62008,13522,170234,1574603,1652869,1982023,2690612,3439332,3705460,3934420,4384994,5096700
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5808
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29346,1
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29346,5809
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49944,28594
61,Total Liabilities,- -,- -,165442,233713,312300,194814,275146,62008,13522,170234,1574603,1652869,1982023,2690612,3439332,3705460,3934420,4414340,5102509
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,574,574,574,574,20350,28262,29262,47662,50402,58404,60206,60206,66310,78381,64681,66883,68208
64,Retained Earnings,- -,- -,-378999,-454975,-450893,-408662,-624526,-2864811,-4141135,-5533641,-8092872,-10941250,-12396156,-13594582,-14774312,-16317490,-17641005,-18537098,-19463917
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95758,-258652,-414185,30473,54645,12742,42334,66722,31223
66,Other Total Stockholders Equity,- -,- -,221960,221960,221960,221960,476182,4451915,5645634,6961350,8588936,11399881,12167658,12048024,12470434,13296668,13657731,14075958,14357975
67,Total Stockholders Equity,- -,- -,-156465,-232441,-228359,-186128,-127994,1615366,1533761,1475371,450708,258383,-582477,-1455879,-2182923,-2929699,-3876259,-4327535,-5006511
68,Total Liabilities And Stockholders Equity,- -,- -,8977,1272,83941,8686,147152,1677374,1547283,1645605,2025311,1911252,1399546,1234733,1256409,775761,58161,86805,95998
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,8977,1272,83941,8686,147152,1677374,1547283,1645605,2025311,1911252,1399546,1234733,1256409,775761,58161,86805,95998
71,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083922/000108392209000012/aurasource_form10k.htm,https://www.sec.gov/Archives/edgar/data/1083922/000108392210000014/0001083922-10-000014-index.html,https://www.sec.gov/Archives/edgar/data/1083922/000108392211000006/0001083922-11-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/1083922/000130841113000214/0001308411-13-000214-index.html,https://www.sec.gov/Archives/edgar/data/1083922/000130841114000159/araoform10k033114.htm,https://www.sec.gov/Archives/edgar/data/1083922/000130841115000080/0001308411-15-000080-index.html,- -,https://www.sec.gov/Archives/edgar/data/1083922/000130841117000030/araoform10k033117.htm,https://www.sec.gov/Archives/edgar/data/1083922/000130841118000032/araoform10k03312018.htm,https://www.sec.gov/Archives/edgar/data/1083922/000130841119000026/araoform10k033119.htm,https://www.sec.gov/Archives/edgar/data/1083922/000130841120000014/0001308411-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1083922/000130841121000010/0001308411-21-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-28373,-75976,4082,42231,-215864,-2240285,-1276324,-1392506,-2559231,-2848378,-1454906,-1198426,-1179730,-1543178,-1323516,-896092,-926820
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,342,5990,5817,24219,71175,207911,202652,158579,53194,48038,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,1298361,- -,247000,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-138740,-75976,4082,42231,56418,1714002,-877923,-406004,-1113788,6355,-638208,-714823,-674765,-94835,-946560,-473520,-681034
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,100000,- -,- -,-11244,11245,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32580,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-794,2500,-2500,- -,10735,- -,- -,- -,- -,- -,- -,-163763,735581,647031,217848,593284,669313
81,Other Working Capital,- -,- -,-156465,-232441,-228359,-186128,-129710,1584292,706369,300365,-813423,-807068,-1445276,-2160099,-2834864,-2929699,-3876259,-4349779,-5030813
82,Other Non-Cash Items,- -,- -,146912,93771,-12995,-142217,-43553,-1604675,844805,660161,2275706,1760616,1279383,850780,1733027,1407877,1843173,1238279,1566312
83,Cash Provided by Operating Activities,- -,- -,-20201,-58181,-4831,-57755,-202657,-826607,-1303625,-867130,-1326138,-873496,-611079,-903890,-68274,-182098,-426903,-131333,-41542
84,CAPEX,- -,- -,- -,- -,- -,- -,-2058,-125467,-196134,-371832,-160300,-9231,- -,- -,-915,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-147530,-6121,-160300,-9231,- -,- -,- -,- -,- -,- -,5481
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-2058,-125467,-196134,-371832,-160300,-9231,- -,- -,-915,- -,- -,- -,5481
90,Debt Repayment,- -,- -,-2700,-7500,-55000,-67500,-170000,- -,- -,- -,- -,-190500,-177500,- -,- -,- -,-5000,- -,-2500
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,250000,2600937,500000,1001046,245000,- -,362384,- -,129890,384050,212000,84000,70500
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,23100,60000,117500,75000,261465,-152293,- -,- -,912615,1008831,424867,867183,- -,- -,- -,- -,34232
95,Cash Used/Provided by Financing Activities,- -,- -,20400,52500,62500,7500,341465,2448644,500000,1001046,1157615,818331,609751,867183,129890,384050,207000,84000,102232
