,https://roic.ai/company/TGEN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,11311229,11065210,15253972,15849869,19342664,21442657,24490386,33202666,35883684,33426448,28254579
2,COGS,- -,6597205,6179098,9388898,10819741,12943600,13809431,15189708,20248262,22291822,20947696,17427065
3,Gross Profit,- -,4714024,4886112,5865074,5030128,6399064,7633226,9300678,12954404,13591862,12478752,10827514
4,Gross Profit Ratio,- -,0.4168,0.4416,0.3845,0.3174,0.3308,0.3560,0.3798,0.3902,0.3788,0.3733,0.3832
5,Research and Development Exp.,- -,- -,- -,- -,- -,1041483,591585,667064,936929,1297612,1460096,767323
6,General and Administrative Exp.,- -,4973794,5986762,6643120,7018133,7264630,7997512,7994361,9520497,10790841,10380143,10311086
7,Selling and Marketing Exp.,- -,290505,782252,1225580,1423587,1796268,1687479,1636704,2271826,2651128,2685200,2593168
8,"Selling, General and Administrative Exp.",- -,5264299,6769014,7868700,8441720,9060898,9684991,9631065,11792323,13441969,13065343,12904254
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,5264299,6769014,7868700,8441720,10102381,10276576,10298129,12729252,14739581,14525439,13671577
11,COGS and Expenses,- -,11861504,12948112,17257598,19261461,23045981,24086007,25487837,32977514,37031403,35473135,31098642
12,Interest Income ,- -,23574,38402,48397,3958,9710,14334,11988,27626,8030,933,- -
13,Interest Expense (Gain),- -,37280,40294,71208,141065,177345,171944,175782,155082,120015,101851,128303
14,Depreciation and Amortization,- -,88656,158286,203775,256459,278865,271727,264005,587822,789123,437102,414127
15,EBITDA,- -,-229372,-1375921,-1361974,-3051965,-3289602,-2283742,-656496,790340,-4766646,-4154872,-5577906
16,EBITDA ratio,- -,-0.0203,-0.1243,-0.0893,-0.1926,-0.1701,-0.1065,-0.0268,0.0238,-0.1328,-0.1243,-0.1974
17,Operating Income,- -,-550275,-1882902,-2003626,-3670104,-3703317,-2643350,-997451,225152,-5538309,-4658581,-5960313
18,Operating Income ratio,- -,-0.0486,-0.1702,-0.1314,-0.2316,-0.1915,-0.1233,-0.0407,0.0068,-0.1543,-0.1394,-0.2110
19,Total Other Income Expenses (Gains),- -,-13706,-1892,-22811,-137107,-167635,-157610,-163794,-127456,-230069,-120598,-226707
20,Income Before Tax,- -,-563981,-1884794,-2026437,-3807211,-3870952,-2800960,-1161245,97696,-5768378,-4779179,-6187020
21,Income Before Tax Ratio,- -,-0.0499,-0.1703,-0.1328,-0.2402,-0.2001,-0.1306,-0.0474,0.0029,-0.1608,-0.1430,-0.2190
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,32748,15194,30171
23,Net Income,- -,-355308,-1574501,-1636957,-3449489,-3745812,-2727413,-1096283,47436,-5708532,-4709019,-6150507
24,Net Income ratio,- -,-0.0314,-0.1423,-0.1073,-0.2176,-0.1937,-0.1272,-0.0448,0.0014,-0.1591,-0.1409,-0.2177
25,EPS,- -,-0.02,-0.10,-0.10,-0.22,-0.24,-0.16,-0.06,0.00,-0.23,-0.19,-0.25
26,EPS Diluted,- -,-0.02,-0.10,-0.10,-0.22,-0.24,-0.16,-0.06,0.00,-0.23,-0.19,-0.25
27,Weighted Average Shares Outstanding,- -,15802906,15802906,15802906,15802906,15607897,16860453,19295922,23171033,24815926,24839957,24850258
28,Weighted Average Shares Outstanding Diluted,- -,15802906,15802906,15802906,15802906,15607897,16860453,19295922,23342627,24815926,24839957,24850258
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1537435/000153743514000005/0001537435-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743515000014/0001537435-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743516000097/0001537435-16-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743517000019/0001537435-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743518000028/0001537435-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743519000016/0001537435-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743520000004/0001537435-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743521000014/0001537435-21-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,3018566,1572785,7713899,1186033,5486526,3721765,1673072,272552,877676,1490219
32,Short-Term Investments,- -,- -,683428,181859,- -,585702,294802,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,3701994,1754644,7713899,1771735,5781328,3721765,1673072,272552,877676,1490219
34,Net Receivables,- -,- -,1698971,2756080,4387283,6047600,7536515,11161051,14085298,19079116,19991208,12938412
35,Inventory,- -,- -,2568986,3356622,3343793,4090221,5683043,4774264,5130805,6294862,6405229,7168596
36,Other Current Assets,- -,- -,112716,402846,480446,399069,402094,401876,771526,722042,635034,597144
37,Total Current Assets,- -,- -,8082667,8270192,15925421,12308625,19402980,20058956,21660701,26368572,27909147,22194371
38,PP&E,- -,- -,385779,435612,638026,658421,543754,517143,12265711,11273115,5639899,3916420
39,Goodwill,- -,- -,- -,- -,40870,40870,40870,40870,13365655,8975065,5281867,2406156
40,Intangible Assets,- -,- -,241621,372020,953327,1011300,1044611,1065967,2896458,2893990,1593781,1360319
41,Intangible Assets,- -,- -,241621,372020,994197,1052170,1085481,1106837,16262113,11869055,6875648,3766475
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,35425,39425,72425,102315,58425,2058425,482551,393651,691941,196387
45,Total Non-Current Assets,- -,- -,662825,847057,1704648,1812906,1687660,3682405,29010375,23535821,13207488,7879282
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,8745492,9117249,17630069,14121531,21090640,23741361,50671076,49904393,41116635,30073653
48,Accounts Payable,- -,- -,812214,1151010,2338046,2416313,3311809,3367481,5095285,7153330,5271756,4183105
49,Short-Term Debt,- -,- -,1037500,1428467,5950000,- -,- -,- -,850000,2009435,2938827,1344375
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,509283,677919,613915,1666576,996941,876765,1293638,2507541,2635619,1294157
52,Other Current Liabilities,- -,- -,788525,934092,1457671,1008153,1066860,1378258,1469241,1528014,2599366,1993471
53,Total Current Liabilities,- -,- -,3147522,4191488,10359632,5091042,5375610,5622504,8708164,13198320,13445568,8815108
54,Long-Term Debt,- -,- -,190967,- -,- -,3000000,3000000,3148509,- -,- -,- -,1036339
55,Deferred Revenue,- -,- -,183839,142726,204544,207153,273162,459275,8267767,8668299,2680282,1732380
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1637508,1222492
58,Total Non-Current Liabilities,- -,- -,374806,142726,204544,3207153,3273162,3607784,8267767,8668299,4317790,3991211
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2173951,1729006
61,Total Liabilities,- -,- -,3522328,4334214,10564176,8298195,8648772,9230288,16975931,21866619,17763358,12806319
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,53994,54448,15155,15906,18479,19982,24767,24825,24849,24850
64,Retained Earnings,- -,- -,-10122766,-11759723,-15209212,-18955023,-21682437,-22843682,-22796246,-28670095,-33379114,-39529621
65,Other Comprehensive Income/Loss,- -,- -,-310159,-480037,-679853,-872636,-1027725,-1174380,-165317,- -,-3206253,- -
66,Other Total Stockholders Equity,- -,- -,15451934,16800022,23143849,25960849,35529365,38509153,56176330,56427928,59828538,56814428
67,Total Stockholders Equity,- -,- -,5073003,4614710,7269939,6149096,12837682,14511073,33239534,27782658,23268020,17309657
68,Total Liabilities And Stockholders Equity,- -,- -,8595331,8948924,17834115,14447291,21486454,23741361,50215465,49649277,41031378,30115976
69,Minority Interest,- -,- -,150161,168325,-204046,-325760,-395814,- -,455611,255116,85257,-42323
70,Total Liabilities & Equity,- -,- -,8745492,9117249,17630069,14121531,21090640,23741361,50671076,49904393,41116635,30073653
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1537435/000153743514000005/0001537435-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743515000014/0001537435-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743516000097/0001537435-16-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743517000019/0001537435-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743518000028/0001537435-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743519000016/0001537435-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743520000004/0001537435-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743521000014/0001537435-21-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,-355308,-1574501,-1636957,-3449489,-3745812,-2727413,-1096283,47436,-5708532,-4709019,-6150507
74,Depreciation and Amortization,- -,88656,158286,203775,256459,278865,271727,264005,587822,789123,437102,414127
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,197086,444374,195545,18367,126936,199500,165931,183768,181188,163464,190944
77,Change in Working Capital,- -,679951,5011584,-856441,2982654,1651794,6809787,409082,-1483915,217715,1293327,-1084316
78,Accounts Receivable,- -,331581,368491,-1358611,-1091242,-1063352,-536426,-3324310,-336051,-4467939,-440945,5555235
79,Inventory,- -,154351,-1247871,-760836,62229,-746428,-1585822,935779,-298167,-1165057,-110367,-849367
80,Accounts Payable,- -,417376,106808,338796,1187036,78267,895496,55672,1335042,1173979,-1881574,-1088651
81,Other Working Capital,- -,-76439,4935145,4078704,5565789,7217583,14027370,14436452,12952537,13170252,14463579,13379263
82,Other Non-Cash Items,- -,-268515,-6449363,-1058704,-3192010,-3438599,-9287360,-2460591,73633,663174,-1669116,8036989
83,Cash Provided by Operating Activities,- -,341870,-2409620,-3152782,-3384019,-5126816,-4733759,-2717856,-591256,-3857332,-4484242,1407237
84,CAPEX,- -,-309454,-153933,-384007,-600650,-365533,-202614,-259390,-1033642,-1054933,-206326,-183204
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-2000000,971454,440289,- -,- -
86,Purchases of Investments,- -,- -,-680000,- -,- -,-584400,- -,-2000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,679747,85000,506345,182061,- -,- -,- -,2000000,- -,- -,- -
88,Other Investing Activites,- -,-113499,-38747,-164296,-895750,-134867,-116158,1880335,-878765,1668858,4802112,-157813
89,Cash Used for Investing Activites,- -,370293,-748933,122338,-916389,-942841,-185740,-2259390,1512645,1281061,4706469,-217765
90,Debt Repayment,- -,-422568,- -,- -,-37500,-2950000,- -,-31053,-3150000,-20285306,- -,- -
91,Common Stock Issued,- -,1261144,3611446,1180000,5966805,2340194,8859767,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-337,-350,- -,- -,-31053,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-202500,737500,405000,4512567,151597,360225,3274591,179918,21461057,382897,-576929
95,Cash Used/Provided by Financing Activities,- -,636076,4348946,1584663,10441522,-458209,9219992,3212485,-2970082,1175751,382897,-576929
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,1348239,1190393,-1445781,6141114,-6527866,4300493,-1764761,-2048693,-1400520,605124,612543
98,Cash at the End of Period,- -,1828173,3018566,1572785,7713899,1186033,5486526,3721765,1673072,272552,877676,1490219
99,Cash at the Beginning of Period,- -,479934,1828173,3018566,1572785,7713899,1186033,5486526,3721765,1673072,272552,877676
100,Free Cash Flow,- -,32416,-2563553,-3536789,-3984669,-5492349,-4936373,-2977246,-1624898,-4912265,-4690568,1224033
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1537435/000153743514000005/0001537435-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743515000014/0001537435-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743516000097/0001537435-16-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743517000019/0001537435-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743518000028/0001537435-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743519000016/0001537435-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743520000004/0001537435-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1537435/000153743521000014/0001537435-21-000014-index.htm
102,false,,,,,,,,,,,,
