,https://roic.ai/company/VYGR,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,17334000,14220000,10135000,7619000,104391000,171128000,37415000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,171128000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,8898000,27679000,42249000,62260000,64905000,119735000,108753000,73787000
6,General and Administrative Exp.,- -,5469000,9909000,13270000,19738000,33809000,36335000,34991000,37246000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,5469000,9909000,13270000,19738000,33809000,36335000,34991000,37246000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,14367000,37588000,55519000,81998000,98714000,156070000,143744000,111033000
11,COGS and Expenses,- -,14367000,37588000,55519000,81998000,98714000,156070000,143744000,111033000
12,Interest Income ,- -,- -,- -,- -,1227000,- -,6457000,1659000,1659
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,184000,600000,612000,1595000,2117000,2765000,3817000,5165000
15,EBITDA,- -,-14183000,-29072000,-39529000,-69103000,-86351000,-40832000,40558000,-66032000
16,EBITDA ratio,- -,-Infinity,-1.6772,-2.7798,-6.8183,-11.3336,-0.3911,0.2370,-1.7649
17,Operating Income,- -,-14367000,-20254000,-41299000,-71863000,-91095000,-51679000,27384000,-73618000
18,Operating Income ratio,- -,-Infinity,-1.1685,-2.9043,-7.0906,-11.9563,-0.4951,0.1600,-1.9676
19,Total Other Income Expenses (Gains),- -,-1950000,-9418000,1158000,1165000,2627000,8082000,9357000,2421000
20,Income Before Tax,- -,-16317000,-29672000,-40141000,-70698000,-88468000,-43597000,36741000,-71197000
21,Income Before Tax Ratio,- -,-Infinity,-1.7118,-2.8229,-6.9756,-11.6115,-0.4176,0.2147,-1.9029
22,Income Tax expense (Gain),- -,- -,- -,52000,- -,-180000,- -,- -,- -
23,Net Income,- -,-16317000,-29672000,-40193000,-70698000,-88288000,-43597000,36741000,-71197000
24,Net Income ratio,- -,-Infinity,-1.7118,-2.8265,-6.9756,-11.5879,-0.4176,0.2147,-1.9029
25,EPS,- -,-3.75,-1.54,-1.59,-2.64,-2.75,-1.21,0.99,-1.89
26,EPS Diluted,- -,-3.75,-1.54,-1.59,-2.64,-2.75,-1.21,0.98,-1.89
27,Weighted Average Shares Outstanding,- -,3834803,24930979,25302414,26803711,32065781,35898266,37132447,37668947
28,Weighted Average Shares Outstanding Diluted,- -,3834803,24930979,25302414,26803711,32065781,35898266,37348514,37668947
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1640266/000155837016004222/0001558370-16-004222-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837017001797/0001558370-17-001797-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837018002038/0001558370-18-002038-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837019001105/0001558370-19-001105-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837020001974/0001558370-20-001974-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837021001865/0001558370-21-001865-index.htm,https://www.sec.gov/Archives/edgar/data/1640266/000155837022003015/0001558370-22-003015-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,135000,7035000,31309000,36641000,31530000,46859000,86042000,104440000,117433000
32,Short-Term Investments,- -,- -,163028000,137777000,137522000,108947000,195491000,76698000,15106000
33,Cash and Short-Term Investments,135000,7035000,194337000,174418000,169052000,155806000,281533000,181138000,132539000
34,Net Receivables,- -,- -,411000,2303000,122000,201000,18972000,- -,748000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1323000,1146000,2065000,2616000,6474000,4154000,16631000,3411000
37,Total Current Assets,135000,8358000,195894000,178786000,171790000,162481000,304659000,197769000,136698000
38,PP&E,- -,2804000,3234000,7893000,10283000,12771000,46458000,25435000,55378000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,30008000,1360000,1100000,628000,1920000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,14000,335000,321000,1527000,1304000,1149000,1723000,38380000,1779000
45,Total Non-Current Assets,14000,3139000,33563000,10780000,12687000,14548000,50101000,63815000,57157000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,149000,11497000,229457000,189566000,184477000,177029000,354760000,261584000,193855000
48,Accounts Payable,950000,1554000,612000,550000,1020000,1038000,4070000,634000,574000
49,Short-Term Debt,2927000,- -,- -,- -,- -,- -,3193000,4198000,5571000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,19589000,6764000,3380000,20847000,47233000,7729000,33886000
52,Other Current Liabilities,105000,920000,3730000,6488000,11497000,9788000,21516000,14205000,10950000
53,Total Current Liabilities,3982000,2474000,23931000,13802000,15897000,31673000,76012000,26766000,50981000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,38608000
55,Deferred Revenue,- -,- -,35393000,34818000,28180000,92199000,147260000,36088000,8210000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,7874000,1059000,5024000,6349000,6711000,31976000,44410000,1001000
58,Total Non-Current Liabilities,- -,7874000,36452000,39842000,34529000,98910000,179236000,80498000,47819000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,34168000,47607000,44179000
