,https://roic.ai/company/SPLP,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,-44600000,406395000,715890000,761454000,805174000,849530000,998037000,1163549000,1372027000,1584614000,1561771000,1310636000,- -
2,COGS,- -,279472000,513741000,515642000,557072000,587884000,671497000,818171000,963175000,1120266000,1068520000,871596000,- -
3,Gross Profit,7100000,126923000,202149000,245812000,248102000,261646000,326540000,345378000,408852000,464348000,493251000,439040000,513110000
4,Gross Profit Ratio,-0.1592,0.3123,0.2824,0.3228,0.3081,0.3080,0.3272,0.2968,0.2980,0.2930,0.3158,0.3350,Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,14300000,89875000,150200000,178289000,216092000,189495000,230199000,282298000,337719000,352794000,356803000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",14300000,89875000,150200000,178289000,216092000,189495000,230199000,282298000,337719000,352794000,356803000,- -,- -
9,Other Expenses,9400000,7111000,-13357000,7009000,-80000,-50000,-50000,774000,5639000,19058000,43373000,312730000,- -
10,Operating Expenses,23700000,96986000,136843000,185298000,216012000,189445000,230149000,283072000,343358000,371852000,400176000,312730000,- -
11,COGS and Expenses,23700000,376458000,650584000,700940000,773084000,777329000,901646000,1101243000,1306533000,1492118000,1468696000,1184326000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-1600000,12123000,13995000,13429000,5786000,11073000,8862000,11052000,22804000,39234000,41409000,29514000,- -
14,Depreciation and Amortization,200000,13427000,23983000,28962000,35351000,38438000,48560000,70546000,71936000,80323000,72266000,65333000,60521000
15,EBITDA,-63200000,59819000,9482000,101056000,70841000,66244000,115438000,112180000,146023000,99512000,133490000,205658000,- -
16,EBITDA ratio,1.4170,0.1472,0.0132,0.1327,0.0880,0.0780,0.1157,0.0964,0.1064,0.0628,0.0855,0.1569,- -
17,Operating Income,-68200000,37807000,65306000,72723000,32192000,28979000,97791000,65675000,70179000,92496000,93075000,126310000,132440
18,Operating Income ratio,1.5291,0.0930,0.0912,0.0955,0.0400,0.0341,0.0980,0.0564,0.0511,0.0584,0.0596,0.0964,Infinity
