,https://roic.ai/company/DRIO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,51000,823000,2803000,5170000,7394000,7559000,7576000,- -
2,COGS,- -,- -,2274000,1678000,3364000,3859000,5629000,4962000,5063000,- -
3,Gross Profit,- -,- -,-2223000,-855000,-561000,1311000,1765000,2597000,2513000,- -
4,Gross Profit Ratio,- -,- -,-43.5882,-1.0389,-0.2001,0.2536,0.2387,0.3436,0.3317,- -
5,Research and Development Exp.,1501265,4912457,3943000,2565000,2154000,3297000,3676000,3692000,4433000,- -
6,General and Administrative Exp.,2177156,6295538,3640000,2948000,3378000,4726000,5468000,5483000,12756000,- -
7,Selling and Marketing Exp.,295987,2354403,1063000,1330000,4739000,7707000,10309000,11127000,15227000,- -
8,"Selling, General and Administrative Exp.",2473143,8649941,4703000,4278000,8117000,12433000,15777000,16610000,27983000,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3974408,13562398,8646000,6843000,10271000,15730000,19453000,20302000,32416000,- -
11,COGS and Expenses,3974408,13562398,10920000,8521000,13635000,19589000,25082000,25264000,37479000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,16000,61000,- -
13,Interest Expense (Gain),- -,75838,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,24317,839249,549000,335000,387000,195000,207000,183000,190000,- -
15,EBITDA,-2343713,-12723149,-12328000,-6807000,-10500000,-15548000,-17596000,-17553000,-29255000,- -
16,EBITDA ratio,-Infinity,-Infinity,-241.7255,-8.2710,-3.7460,-3.0074,-2.3798,-2.3221,-3.8615,- -
17,Operating Income,-3974408,-13562398,-11358000,-7698000,-11101000,-14419000,-17688000,-17705000,-29903000,-76494000
18,Operating Income ratio,-Infinity,-Infinity,-222.7059,-9.3536,-3.9604,-2.7890,-2.3922,-2.3422,-3.9471,-Infinity
19,Total Other Income Expenses (Gains),-1712165,-369380,-1519000,556000,214000,-1324000,-115000,-31000,458000,76526000
20,Income Before Tax,-5686573,-13931778,-12877000,-7142000,-10887000,-15743000,-17803000,-17736000,-29445000,32000
21,Income Before Tax Ratio,-Infinity,-Infinity,-252.4902,-8.6780,-3.8841,-3.0451,-2.4078,-2.3463,-3.8866,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,32000
23,Net Income,-5686573,-13931778,-12877000,-7142000,-10887000,-15743000,-17803000,-17736000,-29445000,- -
24,Net Income ratio,-Infinity,-Infinity,-252.4902,-8.6780,-3.8841,-3.0451,-2.4078,-2.3463,-3.8866,- -
25,EPS,-512.72,-1367.99,-665.99,-75.60,-41.80,-32.80,-15.60,-8.00,-4.01,- -
26,EPS Diluted,-512.72,-1367.99,-665.99,-75.60,-41.80,-32.80,-15.60,-8.00,-4.01,- -
27,Weighted Average Shares Outstanding,11091,10174,24108,94888,260148,481412,1170644,2266135,5963305,14025921
28,Weighted Average Shares Outstanding Diluted,11091,10174,24108,94888,260148,481412,1170644,2266135,5963305,14025921
