,https://roic.ai/company/MRM,2018,2019,2020
0,INCOME STATEMENT, , , 
1,Revenue,3433135000,3908264000,3341617000
2,COGS,2476267000,2957506000,2912667000
3,Gross Profit,956868000,950758000,428950000
4,Gross Profit Ratio,0.2787,0.2433,0.1284
5,Research and Development Exp.,- -,- -,13474000
6,General and Administrative Exp.,- -,- -,678552000
7,Selling and Marketing Exp.,- -,- -,56077000
8,"Selling, General and Administrative Exp.",- -,- -,734629000
9,Other Expenses,842822000,871862000,208853000
10,Operating Expenses,842822000,871862000,956956000
11,COGS and Expenses,3319089000,3829368000,3869623000
12,Interest Income ,785000,1336000,1332000
13,Interest Expense (Gain),15485000,13591000,13234000
14,Depreciation and Amortization,44267000,46174000,62290000
15,EBITDA,151314000,93061000,-551165000
16,EBITDA ratio,0.0441,0.0238,-0.1649
17,Operating Income,73268000,34350000,-746088000
18,Operating Income ratio,0.0213,0.0088,-0.2233
19,Total Other Income Expenses (Gains),18653000,-1613000,119399000
20,Income Before Tax,91921000,32737000,-626689000
21,Income Before Tax Ratio,0.0268,0.0084,-0.1875
22,Income Tax expense (Gain),25252000,15961000,-87519000
23,Net Income,66310000,17335000,-539170000
24,Net Income ratio,0.0193,0.0044,-0.1614
25,EPS,13.75,3.60,-223.88
26,EPS Diluted,13.75,3.60,-223.88
27,Weighted Average Shares Outstanding,4822500,4822500,4822500
28,Weighted Average Shares Outstanding Diluted,4822500,4822500,4822500
29,SEC Link,- -,- -,- -
30,BALANCE SHEET, , , 
31,Cash and Cash Equivalents,211688000,513621000,1439733000
32,Short-Term Investments,33020000,38520000,32524000
33,Cash and Short-Term Investments,244708000,552141000,1472257000
34,Net Receivables,642883000,773592000,559818000
35,Inventory,6403000,5511000,7956000
36,Other Current Assets,40044000,47485000,47193000
37,Total Current Assets,934038000,1378729000,2087224000
38,PP&E,2273021000,1998923000,1814758000
39,Goodwill,63955000,78282000,150720000
40,Intangible Assets,76281000,77638000,97615000
41,Intangible Assets,140236000,155920000,248335000
42,Investments,51981000,14044000,500000
43,Tax Assets,228367000,222505000,655591000
44,Other Non-Current Assets,894335000,987344000,907058000
45,Total Non-Current Assets,3587940000,3378736000,3626242000
46,Other Assets,- -,- -,- -
47,Total Assets,4521978000,4757465000,5713466000
48,Accounts Payable,141319000,122590000,67016000
49,Short-Term Debt,1181940000,1075594000,900601000
50,Tax Payable,13634000,17834000,43198000
51,Deferred Revenue,522301000,483124000,633728000
52,Other Current Liabilities,505252000,581381000,1051243000
53,Total Current Liabilities,2350812000,2262689000,2652588000
54,Long-Term Debt,1666924000,1287330000,1661272000
55,Deferred Revenue,495259000,474388000,709441000
56,Deferred Tax Liabilities,- -,- -,- -
57,Other Non-Current Liabilities,126538000,133000000,198908000
58,Total Non-Current Liabilities,2288721000,1894718000,2569621000
59,Other Liabilities,- -,- -,- -
60,Capital Lease Obligations,2092352000,1840823000,1651212000
61,Total Liabilities,4639533000,4157407000,5222209000
62,Preferred Stock,- -,- -,- -
63,Common Stock,245100000,595100000,1179413000
64,Retained Earnings,-722644000,-705309000,-1703302000
65,Other Comprehensive Income/Loss,-278000,- -,-125818000
66,Other Total Stockholders Equity,360267000,710267000,1140964000
67,Total Stockholders Equity,-117555000,600058000,491257000
68,Total Liabilities And Stockholders Equity,4521978000,4757465000,5713466000
69,Minority Interest,- -,- -,- -
70,Total Liabilities & Equity,4521978000,4757465000,5713466000
71,SEC Link,- -,- -,- -
72,CASH FLOW STATEMENT, , , 
73,Net Income,66310000,17335000,-539170000
74,Depreciation and Amortization,44267000,46174000,62290000
75,Deferred Income Tax,18468000,5739000,-107264000
76,Stock Based Compensation,149000,- -,- -
77,Change in Working Capital,-27368000,-113044000,76311000
78,Accounts Receivable,-36161000,-103067000,141112000
79,Inventory,6921000,892000,-2445000
80,Accounts Payable,88512000,-18729000,-55574000
81,Other Working Capital,4532000,-69561000,-285764000
82,Other Non-Cash Items,40046000,51666000,141413000
83,Cash Provided by Operating Activities,141872000,7870000,-366420000
84,CAPEX,-50115000,-19474000,-104125000
85,Acquisitions Net,- -,- -,- -
86,Purchases of Investments,-40502000,-51444000,-26703000
87,Sales/Maturities of Investments,82100000,6000000,63000000
88,Other Investing Activites,-86688000,14919000,-102340000
89,Cash Used for Investing Activites,-79388000,-37931000,-139599000
90,Debt Repayment,-344475000,-241911000,-386440000
91,Common Stock Issued,- -,700000000,1168627000
92,Common Stock Repurchased,- -,- -,- -
93,Dividends Paid,- -,- -,- -
94,Other Financing Activites,270000000,-126095000,649944000
95,Cash Used/Provided by Financing Activities,-74475000,331994000,1432131000
96,Effect of Forex Changes on Cash,- -,- -,- -
97,Net Change In Cash,-11991000,301933000,926112000
98,Cash at the End of Period,211688000,513621000,1439733000
99,Cash at the Beginning of Period,223679000,211688000,513621000
100,Free Cash Flow,91757000,-11604000,-470545000
101,SEC Link,- -,- -,- -
102,Forex Rate,0.9125,0.9205,0.9683
