,https://roic.ai/company/IMTE,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,1571490,594886,6798616,13929670,5762711,1324406,1275425,1744629
2,COGS,1095642,263805,2984291,2027743,2548064,723711,1008821,1311566
3,Gross Profit,475848,331081,3814325,11901927,3214647,600695,266604,433063
4,Gross Profit Ratio,0.3028,0.5565,0.5610,0.8544,0.5578,0.4536,0.2090,0.2482
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,662120,389868,1432564,3511366,2522927,5718080,7285907,4064187
7,Selling and Marketing Exp.,183182,163130,391444,300576,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",845302,552998,1824008,3811942,2522927,5718080,7285907,4064187
9,Other Expenses,-24717,128544,498436,2321681,3043810,2762268,3979608,2517956
10,Operating Expenses,820585,681542,2322444,6133623,5566737,8480348,11265515,6582143
11,COGS and Expenses,1916227,945347,5306735,8161366,8114801,9204059,12274336,7893709
12,Interest Income ,4649,2740,389,2027,3092,21409,115762,6197
13,Interest Expense (Gain),1213,- -,- -,73666,107101,1383399,1561625,2100272
14,Depreciation and Amortization,108927,124335,383635,2147231,2021131,2029373,3174784,2078762
15,EBITDA,-231161,-775173,2405753,7867593,3636586,-13056563,-10792416,-5855043
16,EBITDA ratio,-0.1471,-1.3031,0.3539,0.5648,0.6311,-9.8584,-8.4618,-3.3560
17,Operating Income,340088,347721,1999964,5768304,-2352090,-7879653,-10998911,-6149080
18,Operating Income ratio,0.2164,0.5845,0.2942,0.4141,-0.4082,-5.9496,-8.6237,-3.5246
19,Total Other Income Expenses (Gains),-681389,-1247229,- -,-154297,3857543,-9470627,-5583966,-4394578
20,Income Before Tax,-341301,-899508,1999964,5614007,1505453,-17350280,-16582877,-10543658
21,Income Before Tax Ratio,-0.2172,-1.5121,0.2942,0.4030,0.2612,-13.1004,-13.0018,-6.0435
22,Income Tax expense (Gain),- -,- -,-356158,2018939,-187213,-507057,117322,- -
23,Net Income,-341301,-899508,2378276,3627757,1695567,-15962278,-15646147,-10034077
24,Net Income ratio,-0.2172,-1.5121,0.3498,0.2604,0.2942,-12.0524,-12.2674,-5.7514
25,EPS,-0.01,-0.02,0.04,1.37,0.64,-5.93,-4.63,-2.33
26,EPS Diluted,-0.01,-0.02,0.04,1.37,0.64,-5.93,-4.63,-2.33
27,Weighted Average Shares Outstanding,50313655,52912833,59764271,2643611,2643611,2692543,3377386,4311360
28,Weighted Average Shares Outstanding Diluted,50313655,52912833,59764271,2643611,2643611,2692543,3377386,4311360
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1668438/000166843818000010/0001668438-18-000010-index.html,- -,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,1422757,2227715,6883196,1820994,2860014,1514215,735724,2194084
32,Short-Term Investments,1098618,614133,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2521375,2841848,6883196,1820994,2860014,1514215,735724,2194084
34,Net Receivables,894225,224923,996794,8802814,3383711,1225124,965317,1164734
35,Inventory,- -,- -,698916,1857051,1768232,1394065,749173,187401
36,Other Current Assets,8378,50146,783876,2251842,1186413,1866910,2779033,2089768
37,Total Current Assets,3423978,3116917,9362782,14732701,9198370,6000314,5229247,5635987
38,PP&E,454071,275436,1672702,1065635,581317,729480,1154890,7317678
39,Goodwill,- -,- -,14307935,14256751,13061371,4468293,- -,- -
40,Intangible Assets,- -,- -,11928048,13426350,13018391,14834987,13562139,- -
41,Intangible Assets,- -,- -,26235983,27683101,26079762,19303280,13562139,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,454071,275436,27908685,28748736,26661079,20032760,14717029,7317678
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3878049,3392353,37271467,43481437,35859449,26033074,19946276,12953665
48,Accounts Payable,- -,- -,469253,799522,63440,24275,109746,146730
49,Short-Term Debt,80825,- -,- -,1231279,1625045,1726998,8666857,211567
50,Tax Payable,- -,- -,253673,1382690,1203708,- -,- -,- -
51,Deferred Revenue,- -,41336,- -,161401,165983,18522,900740,630523
52,Other Current Liabilities,-40214,45080,1251273,4277188,1865770,2950706,8315518,3370736
53,Total Current Liabilities,40611,86416,1720526,6469390,3720238,4720501,17992861,4359556
54,Long-Term Debt,- -,- -,- -,- -,51819,3319913,501739,2196049
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,933853,1909030,1586309,1244814,1372653,13668
57,Other Non-Current Liabilities,- -,- -,23531076,20748035,15110749,126095,- -,1478540
58,Total Non-Current Liabilities,- -,- -,24464929,22657065,16748877,4690822,1874392,3688257
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,67472,57292,1168607,- -
61,Total Liabilities,40611,86416,26185455,29126455,20469115,9411323,19867253,8047813
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,18902029,18902029,32089997
64,Retained Earnings,-1516527,-2416035,-37759,3589998,5285565,-10676713,-25786912,-34102300
65,Other Comprehensive Income/Loss,221490,589497,735630,410326,-251659,5588472,5158354,3588330
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,3837438,3305937,11108150,14410603,15444185,13813788,-1726529,1576027
68,Total Liabilities And Stockholders Equity,3878049,3392353,37293605,43537058,35913300,23225111,18140724,9623840
69,Minority Interest,- -,- -,-22138,-55621,-53851,2807963,1805552,3329825
70,Total Liabilities & Equity,3878049,3392353,37271467,43481437,35859449,26033074,19946276,12953665
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1668438/000166843818000010/0001668438-18-000010-index.html,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-341301,-899508,2378276,3627757,1695567,-15962278,-15646147,-10034077
74,Depreciation and Amortization,108927,124335,383635,2147231,2021131,2029373,3174784,2078762
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,491750,- -,- -
77,Change in Working Capital,166910,664575,1001290,-8970290,5291261,-1596164,1783050,-2186276
78,Accounts Receivable,-621399,390998,817801,- -,- -,- -,- -,- -
79,Inventory,998313,- -,476565,-1209655,37360,-151883,405891,142608
80,Accounts Payable,- -,- -,- -,1205218,- -,488490,1876414,347308
81,Other Working Capital,- -,39838,-8984,46061,88963,29,- -,- -
82,Other Non-Cash Items,-354736,551787,-886006,1986250,-4143651,8178886,5140769,3950476
83,Cash Provided by Operating Activities,-420200,441189,2877195,-1209052,4864308,-6858433,-5547544,-6191115
84,CAPEX,-560512,-4187,-77377,-4045261,-228800,-3310274,-1828617,-7361780
85,Acquisitions Net,- -,- -,871070,- -,- -,-9494,- -,2775659
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1121827,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,158925,-182927,-3617665,-2142478,-2472036,-605589,-125520
89,Cash Used for Investing Activites,-560512,154738,1732593,-4045261,-2189991,-3319768,-1828617,-4586121
90,Debt Repayment,-100,- -,- -,- -,-821200,-915030,-1413295,-4989046
91,Common Stock Issued,2207000,- -,- -,- -,- -,7951428,- -,13187968
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-5780,- -,-90464,-444707,-758352,1602184,7996408,5193926
95,Cash Used/Provided by Financing Activities,2201120,- -,-90464,-444707,-1579552,8638582,6583113,13392848
96,Effect of Forex Changes on Cash,176082,209031,136157,-147211,-61658,89252,619705,-254770
97,Net Change In Cash,1396490,804958,4655481,-5846231,1033107,-1450367,-173343,2360842
98,Cash at the End of Period,1422757,2227715,6883196,1036965,2070072,619705,-166758,2194084
99,Cash at the Beginning of Period,26267,1422757,2227715,6883196,1036965,2070072,6585,-166758
100,Free Cash Flow,-980712,437002,2799818,-5254313,4635508,-10168707,-7376161,-13552895
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1668438/000166843818000010/0001668438-18-000010-index.html,- -,- -,- -
102,Forex Rate,0.8913,0.8168,0.7275,0.7215,0.7801,0.7049,0.7021,0.7694
