,https://roic.ai/company/TSP,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,9000,710000,1843000,6261000
2,COGS,- -,1595000,5293000,12369000
3,Gross Profit,9000,-885000,-3450000,-6108000
4,Gross Profit Ratio,1.0000,-1.2465,-1.8719,-0.9756
5,Research and Development Exp.,32278000,63619000,132001000,287167000
6,General and Administrative Exp.,12175000,21962000,37300000,- -
7,Selling and Marketing Exp.,1085000,814000,1313000,- -
8,"Selling, General and Administrative Exp.",13260000,22776000,38613000,118076000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,45538000,86395000,170614000,405243000
11,COGS and Expenses,45538000,87990000,175907000,417612000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -
14,Depreciation and Amortization,2525000,5565000,7683000,9450000
15,EBITDA,-42493000,-79275000,-170187000,-723223000
16,EBITDA ratio,-4721.4444,-111.6549,-92.3424,-115.5124
17,Operating Income,-45529000,-87280000,-174064000,-411351000
18,Operating Income ratio,-5058.7778,-122.9296,-94.4460,-65.7005
19,Total Other Income Expenses (Gains),495000,2397000,-3806000,-321322000
20,Income Before Tax,-45034000,-84883000,-177870000,-732673000
21,Income Before Tax Ratio,-5003.7778,-119.5535,-96.5111,-117.0217
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-45018000,-84840000,-177870000,-732673000
24,Net Income ratio,-5002.0000,-119.4930,-96.5111,-117.0217
25,EPS,-0.31,-0.99,-1.40,-4.99
26,EPS Diluted,-0.31,-0.99,-1.40,-4.99
27,Weighted Average Shares Outstanding,146703294,146703294,146703294,146703294
28,Weighted Average Shares Outstanding Diluted,146703294,146703294,146703294,146703294
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1823593/000162828022003549/0001628280-22-003549-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,63610000,310815000,1337586000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,63610000,310815000,1337586000
34,Net Receivables,- -,3850000,4852000,1599000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,- -,3014000,3816000,13995000
37,Total Current Assets,- -,70474000,319483000,1353180000
38,PP&E,- -,22283000,22116000,36053000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3787000,4986000,7090000
45,Total Non-Current Assets,- -,26070000,27102000,43143000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,96544000,346585000,1396323000
48,Accounts Payable,- -,247000,4542000,4544000
49,Short-Term Debt,- -,706000,5428000,2290000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,- -,16342000,71128000,49092000
53,Total Current Liabilities,- -,17295000,81098000,55926000
54,Long-Term Debt,- -,4579000,3767000,8415000
55,Deferred Revenue,- -,- -,- -,- -
