,https://roic.ai/company/ZWS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,200000,300000,2300000,13700000,15895000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1510000000,1699600000,1969600000,2005100000,2082000000,2050200000,1923800000,1918200000,2066000000,2050900000,2068300000,910900000
2,COGS,300000,- -,1100000,10000000,12389000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,994400000,1102800000,1276100000,1273700000,1318400000,1304000000,1258600000,1250200000,1309100000,1266100000,1250300000,537700000
3,Gross Profit,-100000,- -,1200000,3700000,3506000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,515600000,596800000,693500000,731400000,763600000,746200000,665200000,668000000,756900000,784800000,818000000,373200000
4,Gross Profit Ratio,-0.5000,- -,0.5217,0.2701,0.2206,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3415,0.3511,0.3521,0.3648,0.3668,0.3640,0.3458,0.3482,0.3664,0.3827,0.3955,0.4097
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474500000,398600000,410600000,446200000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",200000,500000,1200000,3900000,3433000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297700000,329100000,389400000,406200000,424500000,415100000,385700000,413200000,449500000,433100000,432800000,239000000
9,Other Expenses,300000,- -,200000,400000,485000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49700000,48600000,50900000,51100000,50800000,55100000,57400000,42100000,33600000,34000000,35400000,23500000
10,Operating Expenses,500000,500000,1400000,4300000,3918000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347400000,377700000,440300000,457300000,475300000,470200000,443100000,455300000,483100000,467100000,468200000,262500000
11,COGS and Expenses,800000,500000,2500000,14300000,16307000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1341800000,1480500000,1716400000,1731000000,1793700000,1774200000,1701700000,1705500000,1792200000,1733200000,1718500000,800200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194200000,- -,176200000,153300000,109100000,87900000,91400000,88700000,75600000,69900000,58600000,34700000
14,Depreciation and Amortization,-300000,- -,-200000,-400000,-485000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109300000,106100000,114400000,112400000,108500000,112200000,115400000,105400000,89700000,92300000,86600000,77500000
15,EBITDA,-7200000,-1300000,-400000,-900000,-1212000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,422100000,44700000,332000000,336100000,240400000,300700000,291800000,276100000,221700000,249900000,379400000,235800000
16,EBITDA ratio,-36.0000,-4.3333,-0.1739,-0.0657,-0.0763,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2795,0.0263,0.1686,0.1676,0.1155,0.1467,0.1517,0.1439,0.1073,0.1218,0.1834,0.2589
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161400000,219100000,241800000,255400000,279600000,203700000,174300000,183700000,147100000,305600000,334300000,107000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1069,0.1289,0.1228,0.1274,0.1343,0.0994,0.0906,0.0958,0.0712,0.1490,0.1616,0.1175
19,Total Other Income Expenses (Gains),- -,- -,100000,- -,-315000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42800000,-280500000,-200400000,-180200000,-257400000,-95100000,-88300000,-101700000,-90600000,-66800000,-98000000,-54600000
20,Income Before Tax,- -,- -,- -,- -,-727000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118600000,-61400000,41400000,75200000,22200000,108600000,86000000,82000000,56500000,238800000,236300000,52400000
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.0457,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0785,-0.0361,0.0210,0.0375,0.0107,0.0530,0.0447,0.0427,0.0273,0.1164,0.1142,0.0575
22,Income Tax expense (Gain),- -,- -,- -,- -,9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30500000,-10100000,11500000,20300000,-7400000,16800000,17100000,7900000,-19500000,53400000,54100000,2700000
23,Net Income,-6900000,-1300000,-200000,-500000,-736000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88100000,-51300000,29900000,50100000,30200000,83800000,67900000,74100000,75900000,34300000,180100000,120900000
24,Net Income ratio,-34.5000,-4.3333,-0.0870,-0.0365,-0.0463,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0583,-0.0302,0.0152,0.0250,0.0145,0.0409,0.0353,0.0386,0.0367,0.0167,0.0871,0.1327
