,https://roic.ai/company/RCAT,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,967833,884973,-97227,391543,108091,425027,-67460,-13373,-30959,31744,8467,42094,59404,203640,933,105129,- -,403940,4999517
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24471,- -,20084,49769,- -,280,351843,- -,325379,3929832
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7273,8467,22010,9635,203640,653,-246714,- -,78561,1069685
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2291,1.0000,0.5229,0.1622,1.0000,0.6999,-2.3468,- -,0.1945,0.2140
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,860533,993934,- -,366590,488990,516084
6,General and Administrative Exp.,- -,498881,360408,311738,6485,9024,27654,16578,25828,53777,230391,- -,- -,- -,734746,1640008,1562119,384742,1248717,4667687
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172182
8,"Selling, General and Administrative Exp.",- -,498881,360408,311738,6485,9024,27654,16578,25828,53777,230391,- -,- -,- -,734746,1640008,1562119,384742,1248717,4839869
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36543,417003,248673,60669,54882,364673,- -,- -,590342
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230391,36543,417003,248673,1655948,2688824,1926792,751332,1737707,5946295
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254862,36543,437087,298442,1655948,2689104,2278635,751332,2063086,9876127
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,17,17,- -,10000,- -,- -,3,2,10594,- -,- -,- -
13,Interest Expense (Gain),- -,217140,50180,25855,25855,25855,26833,36577,36577,38576,9490,- -,4355,104812,10399,376085,500182,- -,- -,1223767
14,Depreciation and Amortization,- -,9984,10038,- -,- -,- -,- -,- -,- -,- -,- -,- -,20600,5105,12298,12607,154712,- -,- -,36831
15,EBITDA,- -,644268,394661,-383110,276143,90249,285125,-47461,-33798,-46160,842438,167845,-7335280,-3437677,-3354078,1517519,-1988419,-751332,-1601931,-11975577
16,EBITDA ratio,- -,0.6657,0.4460,3.9404,0.7053,0.8349,0.6708,0.7035,2.5273,1.4910,26.5385,19.8234,-174.2595,-57.8695,-16.4706,1626.4941,-18.9141,-Infinity,-3.9658,-2.3953
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-223118,-28076,-394993,-239038,-1452308,-2688171,-2080531,-751332,-1659146,-4876610
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7.0287,-3.3159,-9.3836,-4.0239,-7.1317,-2881.2122,-19.7903,-Infinity,-4.1074,-0.9754
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1056066,195921,-6965242,-3308556,-1924467,3816998,-1233030,- -,57215,-8359565
20,Income Before Tax,- -,458968,514527,-408965,385058,99067,397373,-84038,-70375,-84736,832948,167845,-7360235,-3547594,-3376775,1128827,-3313561,-751332,-1601931,-13236175
21,Income Before Tax Ratio,- -,0.4742,0.5814,4.2063,0.9834,0.9165,0.9349,1.2457,5.2625,2.7370,26.2395,19.8234,-174.8524,-59.7198,-16.5821,1209.8896,-31.5190,-Infinity,-3.9658,-2.6475
22,Income Tax expense (Gain),- -,- -,-180084,- -,-134770,-34673,-139081,- -,- -,- -,- -,9451,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,417144,514527,-408965,385058,99067,397373,-84038,-70375,-84736,832948,158394,-7360235,-3547594,-3376775,1128827,-2643313,-751332,-1601931,-13236175
24,Net Income ratio,- -,0.4310,0.5814,4.2063,0.9834,0.9165,0.9349,1.2457,5.2625,2.7370,26.2395,18.7072,-174.8524,-59.7198,-16.5821,1209.8896,-25.1435,-Infinity,-3.9658,-2.6475
25,EPS,- -,6517.88,8039.48,-5243.14,4936.64,1270.09,5094.53,-1077.41,-890.82,-1059.20,9053.78,1721.67,-58881.88,-1920.77,-144.06,24.01,-24.01,-0.14,-0.12,-0.56
26,EPS Diluted,- -,6517.88,8039.48,-5243.14,4936.64,1270.09,5094.53,-1077.41,-890.82,-1059.20,9053.78,1721.67,-77791.12,-1920.77,-144.06,24.01,-24.01,-0.14,-0.12,-0.56
27,Weighted Average Shares Outstanding,- -,64,64,78,78,78,78,78,79,80,92,92,125,1824,34970,38668,163936,5328630,13732205,23655743
28,Weighted Average Shares Outstanding Diluted,- -,64,64,78,78,78,78,78,79,80,92,92,7741,1824,34970,58077,163936,5328630,13732205,23655743
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/748268/000155479521000309/0001554795-21-000309-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3075,3957,1600,1535,111,28378,31342,41480,11957,107627,7045,923,6647,225379,559237,5787,503438,236668,277347
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32925,- -,- -,- -
33,Cash and Short-Term Investments,- -,3075,3957,1600,1535,111,28378,31342,41480,11957,107627,7045,923,6647,225379,559237,38712,503438,236668,277347
34,Net Receivables,- -,12753,- -,- -,- -,- -,- -,- -,- -,- -,- -,135000,624,624,- -,38,111368,- -,- -,396693
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37900,- -,- -,- -,- -,- -,- -,- -,78650,362072
36,Other Current Assets,- -,- -,-8345,2155,1598,1785,1622,-1342,-1480,-1957,5678,- -,- -,- -,274400,131250,20631,100000,3020,603898
37,Total Current Assets,- -,- -,-4388,3755,3133,1896,30000,30000,40000,10000,151205,142045,1547,7271,499779,690525,170711,603438,318338,1640010
38,PP&E,- -,10038,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231050,21769,38735,26128,91676,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1341144,- -,- -,- -,- -,- -,2466073,8017333
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,20000,2032169
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1341144,100000,- -,- -,- -,- -,2486073,10049502
42,Investments,- -,- -,781655,162155,141598,121785,121145,82662,44984,24967,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,8345,-2155,-1598,-1785,-1622,-2662,1480,1957,- -,165000,- -,- -,44876,33500,- -,- -,3853,3853
45,Total Non-Current Assets,- -,- -,790000,160000,140000,120000,119523,80000,46464,26924,- -,165000,1572194,121769,83611,59628,91676,- -,2489926,10053355
46,Other Assets,- -,949471,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,949471,785612,163755,143133,121896,149523,110000,86464,36924,151205,307045,1573741,129040,583390,750153,262387,603438,2808264,11693365
48,Accounts Payable,- -,823299,442634,371791,210465,129671,167078,215597,237432,266005,55665,14951,59186,59245,34450,349469,138954,20894,249050,541903
49,Short-Term Debt,- -,521437,1507887,1292308,1047954,1047954,640801,640801,640801,660801,30383,12750,218294,253504,- -,1564814,2056571,- -,118771,269045
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38419,46096
52,Other Current Liabilities,- -,- -,219479,245901,251581,212375,212121,213602,181767,153194,16488,- -,31096,- -,- -,496107,494956,769816,423026,3817026
53,Total Current Liabilities,- -,1344736,2170000,1910000,1510000,1390000,1020000,1070000,1060000,1080000,102536,27701,308576,312749,34450,2410390,2690481,790710,829266,4674070
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450000,1753000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5892079,1698998,79088,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5892079,1698998,79088,- -,450000,1753000
59,Other Liabilities,- -,1445283,- -,2589,- -,- -,- -,- -,- -,2409,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,2790019,2165666,1912589,1506909,1386605,1016859,1065378,1057213,1082409,102536,27701,308576,312749,5926529,4109388,2769569,790710,1279266,6427070
62,Preferred Stock,- -,5153,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3009,3009,210,154,1223,- -,38903,21274
63,Common Stock,- -,75774,116462,140474,140474,140474,140474,140474,142420,144420,167098,167098,1508,22788,44520,47270,235461,179,20011,29431
