,https://roic.ai/company/STRR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7075000,28304387,41531655,56236370,68137000,68186000,71926000,73947000,80358000,69596000,56183000,53745000,50513000,49376000,55608000,60826000,125467000,118339000,104180000,114185000,78163000,106559000
2,COGS,10738000,21834815,30355255,39668317,46378000,52940000,52867000,53429000,60287000,49371000,44179000,38987000,37421000,35260000,38968000,42917000,89694000,89937000,85909000,92070000,64176000,91319000
3,Gross Profit,-3663000,6469572,11176400,16568053,21759000,15246000,19059000,20518000,20071000,20225000,12004000,14758000,13092000,14116000,16640000,17909000,35773000,28402000,18271000,22115000,13987000,15240000
4,Gross Profit Ratio,-0.5177,0.2286,0.2691,0.2946,0.3193,0.2236,0.2650,0.2775,0.2498,0.2906,0.2137,0.2746,0.2592,0.2859,0.2992,0.2944,0.2851,0.2400,0.1754,0.1937,0.1789,0.1430
5,Research and Development Exp.,2372000,3008651,2967055,2190570,2982000,3680000,3894000,3072000,2764000,3360000,2875000,2738000,3716000,1025000,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2878000,- -,- -,- -,- -,- -,- -,- -,- -,8921000,9007000,7741000,7839000,8118000,8344000,9888000,19988000,19360000,15038000,- -,- -,- -
7,Selling and Marketing Exp.,3586000,- -,- -,- -,- -,- -,- -,- -,- -,6977000,5922000,7622000,6402000,4411000,4730000,4741000,10049000,9154000,5418000,- -,- -,- -
8,"Selling, General and Administrative Exp.",6464000,- -,18044872,14217866,18131000,22390000,23362000,19590000,20359000,15898000,14929000,15363000,14241000,12529000,13074000,14629000,30037000,28514000,20456000,21575000,18635000,22595000
9,Other Expenses,440000,991229,1011371,443784,64000,179000,27000,697000,3264000,590000,435000,331000,233000,231000,356000,506000,2313000,3161000,1377000,1794000,2124000,4240000
10,Operating Expenses,9276000,3999880,22023298,16852220,21177000,26249000,27283000,23359000,26387000,19848000,18239000,18432000,18190000,13785000,13430000,15135000,32350000,31675000,21833000,23369000,20759000,26835000
11,COGS and Expenses,20014000,25834695,52378553,56520537,67555000,79189000,80150000,76788000,86674000,69219000,62418000,57419000,55611000,49045000,52398000,58052000,122044000,121612000,107742000,115439000,84935000,118154000
12,Interest Income ,- -,- -,- -,35412,- -,1678000,2100000,- -,- -,499000,378000,165000,97000,63000,58000,39000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,9000,- -,- -,- -,15000,39000,296000,1412000,1068000,751000,1156000,1292000,-905000
14,Depreciation and Amortization,194000,991229,3950652,3254988,3284000,5264000,4723000,5165000,6407000,5178000,4250000,3096000,2131000,1913000,1935000,2441000,9889000,11064000,8721000,8075000,9417000,3479000
15,EBITDA,-13282000,-18919552,-8821075,1574684,3529000,-4355000,-1567000,3789000,-458000,5795000,-1964000,-246000,-2793000,2147000,4511000,5254000,13186000,4025000,8647000,4229000,4381000,-6297000
16,EBITDA ratio,-1.8773,-0.6684,-0.2124,0.0280,0.0518,-0.0639,-0.0218,0.0512,-0.0057,0.0833,-0.0350,-0.0046,-0.0553,0.0435,0.0811,0.0864,0.1051,0.0340,0.0830,0.0370,0.0560,-0.0591
17,Operating Income,-12939000,-16945626,-10846898,-284167,582000,-11003000,-8224000,-2841000,-7624000,58000,-6590000,-3510000,-5098000,171000,2518000,2774000,3085000,-6019000,-4545000,-3828000,-7208000,-11595000
18,Operating Income ratio,-1.8288,-0.5987,-0.2612,-0.0051,0.0085,-0.1614,-0.1143,-0.0384,-0.0949,0.0008,-0.1173,-0.0653,-0.1009,0.0035,0.0453,0.0456,0.0246,-0.0509,-0.0436,-0.0335,-0.0922,-0.1088
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-25000,-77000,-54000,-101000,-3834000,-259000,-357000,167000,174000,48000,19000,-257000,-1200000,-2088000,-855000,-1440000,2052000,2724000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4924000,219000,2537000,2517000,1885000,-8107000,-5400000,-5268000,-5156000,-8871000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0975,0.0044,0.0456,0.0414,0.0150,-0.0685,-0.0518,-0.0461,-0.0660,-0.0832
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45000,62000,-19123000,-12417000,27623000,-1561000,-375000,129000,-5888000
23,Net Income,-13476000,-19910781,-12771727,-1680304,245000,-9619000,-6290000,-1376000,-6865000,608000,-6214000,-3342000,-4924000,264000,2475000,21640000,14302000,-35730000,736000,-4627000,-6457000,-2983000
24,Net Income ratio,-1.9047,-0.7035,-0.3075,-0.0299,0.0036,-0.1411,-0.0875,-0.0186,-0.0854,0.0087,-0.1106,-0.0622,-0.0975,0.0053,0.0445,0.3558,0.1140,-0.3019,0.0071,-0.0405,-0.0826,-0.0280
25,EPS,-4154.84,-6157.01,-4005.18,-1276.20,0.10,-5.20,-3.40,-0.70,-3.60,0.30,-3.30,-1.80,-2.60,0.10,1.30,11.30,7.30,-17.90,0.40,-2.56,-2.28,-0.82
26,EPS Diluted,-4154.84,-6157.01,-4005.18,-1276.20,0.05,-5.21,-3.40,-0.70,-3.60,0.30,-3.30,-1.80,-2.60,0.10,1.30,11.00,7.10,-17.90,0.40,-2.56,-2.28,-0.82
27,Weighted Average Shares Outstanding,3255,3255,3255,1571,1009500,1846800,1876100,1884500,1895500,1907300,1877400,1905200,1927400,1878900,1857100,1921000,1959400,1999500,2015800,2041000,3659000,3659000
28,Weighted Average Shares Outstanding Diluted,3255,3255,3255,1571,1696300,1846800,1876100,1884500,1895500,1955700,1877400,1905200,1927400,1915900,1887800,1969000,2006700,1999500,2015800,2041000,3659000,3659000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/707388/000070738820000013/0000707388-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/707388/000070738821000009/0000707388-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/707388/000070738822000008/0000707388-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,6987666,7681407,11348000,16303000,10070000,14922000,13525000,13560000,20459000,24039000,19514000,18744000,14051000,15868000,2203000,1877000,1545000,1821000,3225000,4538000
32,Short-Term Investments,- -,- -,- -,- -,44215000,33202000,34256000,16740000,14759000,18250000,9788000,6413000,7679000,7673000,7935000,3227000,917000,97000,153000,26000,35000,- -
33,Cash and Short-Term Investments,- -,- -,6987666,7681407,55563000,49505000,44326000,31662000,28284000,31810000,30247000,30452000,27193000,26417000,21986000,19095000,3120000,1974000,1698000,1847000,3260000,4538000
34,Net Receivables,- -,- -,7868234,12195031,10017000,8132000,7534000,8536000,9324000,7553000,7527000,6320000,6329000,5430000,5989000,7274000,14503000,15887000,12642000,18571000,12975000,15811000
35,Inventory,- -,- -,5752123,3709321,6980000,5136000,5860000,5455000,4978000,6402000,5432000,6178000,4979000,3881000,3644000,4381000,5987000,5501000,5402000,7097000,9787000,8525000
36,Other Current Assets,- -,- -,502805,854170,1620000,1687000,1499000,1786000,3104000,1234000,1038000,1049000,947000,941000,1333000,997000,3469000,2214000,1452000,2034000,22914000,2989000
37,Total Current Assets,- -,- -,21110828,24439929,74180000,64460000,59219000,47439000,45690000,46999000,44244000,43999000,39448000,36669000,32952000,31747000,27079000,25576000,21194000,29549000,48936000,31863000
38,PP&E,- -,- -,11113884,10087030,11182000,9582000,9570000,16235000,13428000,10263000,7185000,5367000,4693000,4153000,4766000,6252000,31407000,28365000,21645000,26965000,11531000,13412000
