,https://roic.ai/company/CCS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,96030000,171133000,362392000,734489000,994440000,1423799000,2147413000,2535911000,3161192000,4216314000
2,COGS,75448000,129651000,284495000,587635000,800344000,1168539000,1768409000,2080946000,2544859000,3167941000
3,Gross Profit,20582000,41482000,77897000,146854000,194096000,255260000,379004000,454965000,616333000,1048373000
4,Gross Profit Ratio,0.2143,0.2424,0.2150,0.1999,0.1952,0.1793,0.1765,0.1794,0.1950,0.2486
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,13496000,23622000,46795000,- -,122224000,176304000,263981000,301525000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",13496000,23622000,46795000,- -,122224000,176304000,263981000,301525000,- -,389610000
9,Other Expenses,- -,- -,- -,87840000,- -,- -,- -,- -,341710000,- -
10,Operating Expenses,13496000,23622000,46795000,87840000,122224000,176304000,263981000,301525000,341710000,389610000
11,COGS and Expenses,88944000,153273000,331290000,675475000,922568000,1344843000,2032390000,2382471000,2886569000,3557551000
12,Interest Income ,11000,228000,362000,129000,195000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,26000,10000,5000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,196000,937000,2941000,4713000,5580000,6973000,12031000,13382000,13141000,10912000
15,EBITDA,6334000,18958000,33926000,65028000,78734000,91137000,140561000,146017000,283381000,652034000
16,EBITDA ratio,0.0660,0.1108,0.0936,0.0885,0.0792,0.0640,0.0655,0.0576,0.0896,0.1546
17,Operating Income,7086000,17860000,31102000,59014000,71872000,- -,- -,- -,- -,- -
18,Operating Income ratio,0.0738,0.1044,0.0858,0.0803,0.0723,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),353000,213000,-143000,1291000,1277000,5208000,13507000,-20805000,-4383000,-17641000
20,Income Before Tax,7439000,18073000,30959000,60305000,73149000,84164000,128530000,132635000,270240000,641122000
21,Income Before Tax Ratio,0.0775,0.1056,0.0854,0.0821,0.0736,0.0591,0.0599,0.0523,0.0855,0.1521
22,Income Tax expense (Gain),- -,5642000,10937000,20415000,23609000,33869000,32075000,19641000,64083000,142618000
23,Net Income,6138000,12379000,20022000,39890000,49540000,50295000,96455000,112994000,206157000,498504000
24,Net Income ratio,0.0639,0.0723,0.0552,0.0543,0.0498,0.0353,0.0449,0.0446,0.0652,0.1182
25,EPS,0.32,0.93,1.03,1.88,2.34,2.06,3.20,3.66,6.19,14.79
26,EPS Diluted,0.32,0.93,1.03,1.88,2.33,2.03,3.17,3.62,6.13,14.47
27,Weighted Average Shares Outstanding,12873562,12873562,19226504,20569012,20679189,24280871,30084913,30886382,33312554,33706782
28,Weighted Average Shares Outstanding Diluted,12873562,12873562,19226504,20569012,20791937,24555509,30391346,31186952,33610098,34444918
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1576940/000156276215000061/ccs-20141231x10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1576940/000157694017000023/0001576940-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/1576940/000157694018000052/0001576940-18-000052-index.html,https://www.sec.gov/Archives/edgar/data/1576940/000157694019000023/0001576940-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1576940/000156276220000031/0001562762-20-000031-index.html,https://www.sec.gov/Archives/edgar/data/1576940/000157694021000009/0001576940-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1576940/000157694022000006/0001576940-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,4980000,109998000,33462000,29287000,29450000,88832000,32902000,55436000,394001000,316310000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4980000,109998000,33462000,29287000,29450000,88832000,32902000,55436000,394001000,316310000
34,Net Receivables,897000,4438000,13799000,20005000,8579000,15752000,68671000,43441000,32942000,55388000
35,Inventory,77305000,184072000,556323000,810137000,857885000,1390354000,1848243000,1995549000,1929664000,2456614000
36,Other Current Assets,4174000,5197000,17702000,16836000,42694000,110614000,166735000,256113000,337939000,460301000
37,Total Current Assets,87356000,303705000,621286000,876265000,938608000,1605552000,2116551000,2350539000,2694546000,3288613000
38,PP&E,2517000,3360000,12471000,8375000,11412000,27911000,33258000,54852000,44559000,41878000
39,Goodwill,- -,479000,21137000,21365000,21365000,27363000,30395000,30395000,30395000,30395000
40,Intangible Assets,- -,1877000,8632000,4784000,2911000,2938000,5095000,208000,- -,- -
41,Intangible Assets,- -,2356000,29769000,26149000,24276000,30301000,35490000,30603000,30395000,30395000
42,Investments,- -,- -,- -,- -,18275000,28208000,- -,185246000,- -,- -
43,Tax Assets,- -,- -,1359000,- -,- -,5555000,13763000,10589000,12450000,21239000
44,Other Non-Current Assets,800000,3218000,11094000,6952000,14957000,37495000,55193000,-131862000,63143000,114751000
45,Total Non-Current Assets,3317000,8934000,54693000,41476000,68920000,129470000,137704000,149428000,150547000,208263000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,90673000,312639000,675979000,917741000,1007528000,1735022000,2254255000,2499967000,2845093000,3496876000
48,Accounts Payable,2459000,588000,17135000,10967000,15708000,24831000,89907000,84794000,107712000,84679000
49,Short-Term Debt,11244000,- -,- -,- -,- -,48319000,307055000,242795000,259050000,- -
50,Tax Payable,- -,4730000,4092000,374000,783000,851000,- -,329000,3118000,1684000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,12208000,27366000,48432000,89324000,39928000,37549000,-213671000,-117620000,114965000,147401000
53,Total Current Liabilities,25911000,27954000,65567000,100291000,55636000,110699000,183291000,209969000,481727000,232080000
54,Long-Term Debt,33206000,1500000,229477000,390243000,454088000,824602000,1091832000,1139499000,911676000,1348171000
55,Deferred Revenue,1302000,4056000,68000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,912000,- -,275000,1782000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,5693000,6661000,15662000,17453000,22386000,64488000,119773000,88800000,170985000,152117000
58,Total Non-Current Liabilities,40201000,13129000,245207000,407971000,478256000,889090000,1211605000,1228299000,1082661000,1500288000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,133000,- -,- -,- -,- -,19306000,16801000,17359000
61,Total Liabilities,66112000,41083000,310774000,508262000,533892000,999789000,1394896000,1438268000,1564388000,1732368000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,22060000,173000,209000,213000,216000,295000,302000,331000,334000,338000
64,Retained Earnings,- -,8401000,28423000,68313000,117853000,168148000,264020000,377014000,583171000,1066325000
65,Other Comprehensive Income/Loss,-1021000,-1202000,-2202000,- -,-6766000,-14306000,-21829000,-29587000,-36772000,- -
66,Other Total Stockholders Equity,1021000,264184000,338775000,- -,362333000,581096000,616866000,713941000,733972000,697845000
67,Total Stockholders Equity,22060000,271556000,365205000,409479000,473636000,735233000,859359000,1061699000,1280705000,1764508000
68,Total Liabilities And Stockholders Equity,88172000,312639000,675979000,917741000,1007528000,1735022000,2254255000,2499967000,2845093000,3496876000
69,Minority Interest,2501000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,90673000,312639000,675979000,917741000,1007528000,1735022000,2254255000,2499967000,2845093000,3496876000
