,https://roic.ai/company/TLYS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,282764000,332604000,400600000,467300000,495800000,518294000,550991000,568952000,576899000,598478000,619300000,531329000
2,COGS,195430000,229989000,271500000,319700000,345000000,362762000,383745000,400493000,401529000,417582000,432592000,389139000
3,Gross Profit,87334000,102615000,129100000,147600000,150800000,155532000,167246000,168459000,175370000,180896000,186708000,142190000
4,Gross Profit Ratio,0.3089,0.3085,0.3223,0.3159,0.3042,0.3001,0.3035,0.2961,0.3040,0.3023,0.3015,0.2676
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,93600000,116200000,119300000,132343000,146550000,146729000,- -,149416000,157953000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,93600000,116200000,119300000,132343000,146550000,146729000,- -,149416000,157953000,- -
9,Other Expenses,65912000,77668000,600000,-0,1800000,- -,2600000,2400000,151384000,0,300000,145230000
10,Operating Expenses,65912000,77668000,94200000,116200000,121100000,132343000,149150000,149129000,151384000,149416000,158253000,145230000
11,COGS and Expenses,261342000,307657000,365700000,435900000,466100000,495105000,532895000,549622000,552913000,566998000,590845000,534369000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),284000,249000,- -,91000,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,13915000,14292000,15129000,16679000,19367000,21237000,22808000,23266000,23389000,22485000,20948000,19055000
15,EBITDA,35337000,39239000,49829000,48076000,49058000,44412000,40956000,43014000,48598000,56278000,52304000,16596000
16,EBITDA ratio,0.1250,0.1180,0.1244,0.1029,0.0989,0.0857,0.0743,0.0756,0.0842,0.0940,0.0845,0.0312
17,Operating Income,21422000,24947000,34925000,31390000,29737000,23189000,18096000,19330000,23986000,31480000,28455000,-3040000
18,Operating Income ratio,0.0758,0.0750,0.0872,0.0672,0.0600,0.0447,0.0328,0.0340,0.0416,0.0526,0.0459,-0.0057
19,Total Other Income Expenses (Gains),-284000,-249000,-225000,-90000,-37000,-14000,52000,418000,1223000,2313000,2901000,581000
