,https://roic.ai/company/TGS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,395020980,430271000,478881562,541486900,907951209,896721004,1001765214,1064278042,1307759333,1257824792,1419202000,1600648000,1653001000,1853875000,2574968000,2864986000,4303971000,4226569000,7402172000,12246664000,34062670000,48561494000,55871438000,88976328000
2,COGS,54989000,58393000,85180493,123110700,433174685,429128839,469943266,526877666,623101687,638935695,759826000,818362000,859201000,936986000,1351734000,1595319000,2565535000,2759905000,4435915000,6523317000,16188310000,24375503000,27565705000,47662553000
3,Gross Profit,340031980,371878000,393701069,418376200,474776524,467592165,531821948,537400377,684657646,618889097,659376000,782286000,793800000,916889000,1223234000,1269667000,1738436000,1466664000,2966257000,5723347000,17874360000,24185991000,28305733000,41313775000
4,Gross Profit Ratio,0.8608,0.8643,0.8221,0.7726,0.5229,0.5214,0.5309,0.5049,0.5235,0.4920,0.4646,0.4887,0.4802,0.4946,0.4750,0.4432,0.4039,0.3470,0.4007,0.4673,0.5247,0.4980,0.5066,0.4643
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,40455260,- -,46320000,64188000,77661000,86998000,94268000,117725000,163484000,201636000,315379000,402995000,961813000,928954000,1118985000,2564806000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,156233,- -,181624000,153415000,230662000,277398000,423233000,457364000,647359000,241330000,353514000,499909000,1764701000,3039557000,2967744000,4794605000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,40611494,- -,227944000,217603000,308323000,364396000,517501000,575089000,810843000,442966000,668893000,902904000,2726514000,3968511000,4086729000,7359411000
9,Other Expenses,57288540,71418000,93923482,29026100,41463861,58906132,74565953,94695314,74676502,128654922,- -,3166000,122084000,- -,13374000,-12054000,-4921000,11061000,65543000,142529000,756145000,439564000,440244000,-128816000
10,Operating Expenses,57288540,71418000,93923482,29026100,41463861,58906132,74565953,94695314,115287996,128654922,227944000,220769000,430407000,364396000,530875000,563035000,805922000,454027000,734436000,1045433000,3482659000,4408075000,4526973000,7230595000
11,COGS and Expenses,112277540,129811000,179103974,152136800,474638547,488034971,544509218,621572980,738389682,767590617,987770000,1039131000,1289608000,1301382000,1882609000,2158354000,3371457000,3213932000,5170351000,7568750000,19670969000,28783578000,32092678000,54893148000
12,Interest Income ,- -,- -,- -,5004500,15345768,18290314,8724728,15356979,30563542,34118920,16875000,13730000,16200000,26337000,35656000,150691000,219392000,79387000,100418000,87407000,1345278000,719559000,546600000,792128000
13,Interest Expense (Gain),48790240,- -,96757939,95085500,296725232,236407518,253240054,185377217,193416949,156730243,140944000,151416000,128800000,188813000,177153000,223562000,300075000,319210000,430927000,467668000,1675437000,2063620000,3358279000,4468022000
14,Depreciation and Amortization,38592280,52434000,75756595,88079200,227817349,201334220,199429143,197490148,192629655,199010226,204768000,209444000,215296000,221430000,234600000,242917000,254311000,261393000,286798000,358420000,2223083000,3695615000,6161233000,9610783000
15,EBITDA,317736440,264916000,368438554,353317700,-117913381,603108233,612389681,613088779,765451758,650389544,664192000,682572000,545521000,769716000,781314000,639864000,724135000,294941000,2137704000,4974381000,15327523000,22588551000,17210125000,47746900000
16,EBITDA ratio,0.8044,0.6157,0.7694,0.6525,-0.1299,0.6726,0.6113,0.5761,0.5853,0.5171,0.4680,0.4264,0.3300,0.4152,0.3034,0.2233,0.1682,0.0698,0.2888,0.4062,0.4500,0.4652,0.3080,0.5366
17,Operating Income,282743440,300460000,299777587,318286200,433312663,408686033,457255996,442705062,569369651,490234175,431432000,561517000,363393000,552493000,705733000,706632000,932514000,688247000,2231821000,4716066000,14257059000,19758608000,20640970000,34083180000
18,Operating Income ratio,0.7158,0.6983,0.6260,0.5878,0.4772,0.4558,0.4565,0.4160,0.4354,0.3897,0.3040,0.3508,0.2198,0.2980,0.2741,0.2466,0.2167,0.1628,0.3015,0.3851,0.4186,0.4069,0.3694,0.3831
19,Total Other Income Expenses (Gains),-52389520,-87978000,-103853568,-148133200,-1075768625,-243319539,-297538484,-212301909,-189961434,-195585100,-112952000,-239805000,-161968000,-193020000,-336172000,-533245000,-762760000,-973909000,-811839000,-567770000,-2828052000,-2929279000,-12950348000,-415082000
20,Income Before Tax,230353920,212482000,195924019,170153000,-642455962,165366495,159717512,230403153,379408217,294649075,318480000,321712000,201425000,359473000,369561000,173387000,169754000,-285662000,1419982000,4148296000,11429007000,16829329000,7690622000,33668098000
21,Income Before Tax Ratio,0.5831,0.4938,0.4091,0.3142,-0.7076,0.1844,0.1594,0.2165,0.2901,0.2343,0.2244,0.2010,0.1219,0.1939,0.1435,0.0605,0.0394,-0.0676,0.1918,0.3387,0.3355,0.3466,0.1376,0.3784
22,Income Tax expense (Gain),73885220,66758000,69863040,62055800,- -,-122067394,10648032,12809599,21860422,147075609,143389000,143332000,99189000,128794000,130343000,65881000,64766000,-113553000,489304000,1355030000,13171000,4024211000,4404423000,12737021000
23,Net Income,156468700,145724000,126060979,108097200,-642455962,287433888,149072452,217411815,357544731,147573466,175091000,178380000,102236000,230679000,239218000,107504000,104983000,-172109000,930675000,2793263000,11415832000,12805105000,3286190000,20931074000
24,Net Income ratio,0.3961,0.3387,0.2632,0.1996,-0.7076,0.3205,0.1488,0.2043,0.2734,0.1173,0.1234,0.1114,0.0618,0.1244,0.0929,0.0375,0.0244,-0.0407,0.1257,0.2281,0.3351,0.2637,0.0588,0.2352
25,EPS,0.94,0.89,0.76,0.66,-3.85,1.73,0.91,1.30,2.16,0.90,1.06,1.06,0.63,1.40,1.44,0.67,0.63,-1.06,5.63,16.95,69.72,82.50,21.55,137.28
26,EPS Diluted,0.94,0.89,0.76,0.66,-3.85,1.73,0.91,1.30,2.16,0.90,1.06,1.06,0.63,1.40,1.44,0.67,0.63,-1.06,5.63,16.95,69.72,82.50,21.55,137.28
27,Weighted Average Shares Outstanding,165690387,165014546,165014605,164917935,166780992,165828682,162950128,167093290,165178299,164735470,165014604,165014604,165014604,165014604,165014604,165014604,165014604,165014604,165014604,165014604,163749785,155224268,152474351,152474351
28,Weighted Average Shares Outstanding Diluted,165690387,165014546,165014605,164917935,166780992,165828682,165014605,167093290,165178299,165014605,165014604,165014604,165014604,165014604,165014604,165014604,165014604,165014604,165014604,165014604,163749785,155224268,152474351,152474351
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,53189360,11070000,1053312,3002700,5926293,11738998,10193217,2417134,6574056,2816985,268577000,441023000,470129000,234209000,87141000,893812000,789420000,872537000,1555089000,2652803000,16644827000,9765201000,4653406000,4428802000
32,Short-Term Investments,- -,- -,18844800,53047700,201510799,667070081,328293521,510306061,471043701,421287363,370920000,584119000,619351000,225083000,744426000,251734000,145331000,22719000,70408000,1665657000,5714000,1043960000,2139107000,13269824000
33,Cash and Short-Term Investments,53189360,11070000,19898112,56050400,207437092,678809079,338486738,512723195,477617757,424104348,639497000,1025142000,1089480000,459292000,831567000,1145546000,934751000,895256000,1625497000,4318460000,16650541000,10809161000,6792513000,17698626000
34,Net Receivables,55888820,64866000,75528960,85076500,138270081,129803461,271346465,201303646,223649644,242837346,177587000,421288000,369364000,411985000,538254000,510773000,844410000,1106138000,1513619000,2331568000,4034337000,8276419000,7029407000,13183807000
35,Inventory,1299740,2047000,1125197,3002700,6730600,5478003,5543992,5924704,9622139,16533245,12300000,12459000,12911000,7588000,54282000,7356000,29131000,8452000,116863000,105996000,360274000,307640000,571502000,1169604000
36,Other Current Assets,-99980,51054000,- -,-1000900,3365,0,- -,-3029,3063,- -,- -,9151000,- -,- -,36085000,139388000,150671000,220373000,91092000,397288000,2118164000,1546710000,1405883000,3440466000
37,Total Current Assets,110277940,129037000,96552269,143128700,352441138,814090543,615377194,719948517,710892604,683474939,829384000,1468040000,1471755000,878865000,1460188000,1803063000,1958963000,2230219000,3347071000,7153312000,23163316000,20939930000,15799305000,35492503000
38,PP&E,1848030320,1949773000,1934438938,2051845000,4931591387,4427857245,4351522620,4272868975,4212254648,4172430673,4171763000,4123410000,4059222000,4012556000,4000519000,3966908000,4082071000,4219520000,5333344000,6480361000,38685519000,74552728000,98873425000,150177045000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,26494700,38256000,34894080,41036900,65239706,52797630,11373359,702726,468700,10206057,7045000,5829000,4461000,3419000,2489000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,26494700,38256000,34894080,41036900,65239706,52797630,11373359,702726,468700,10206057,7045000,5829000,4461000,3419000,2489000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2314000,1779000,2051000,3221000,3311000,22751000,30049000,47747000,167330000,17538000,81430000,84063000,13887407000,22477568000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196000,- -,- -,67000,69000,- -,- -,- -,528000,4529000,15600000,24672000,23757000
