,https://roic.ai/company/KOP,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,753700000,776500000,842900000,952500000,1030200000,1159500000,1327900000,1364800000,1124400000,1245500000,1538900000,1555000000,1478300000,1555000000,1626900000,1416200000,1475500000,1710200000,1772800000,1669100000,1678600000
2,COGS,631400000,- -,726000000,798400000,857500000,969800000,1092400000,1140000000,946600000,1055100000,1335900000,1324600000,1264700000,1343700000,1366700000,1127900000,1154100000,1375100000,1430000000,1308700000,1344500000
3,Gross Profit,122300000,- -,116900000,154100000,172700000,189700000,235500000,224800000,177800000,190400000,203000000,230400000,213600000,211300000,260200000,288300000,321400000,335100000,342800000,360400000,334100000
4,Gross Profit Ratio,0.1623,- -,0.1387,0.1618,0.1676,0.1636,0.1773,0.1647,0.1581,0.1529,0.1319,0.1482,0.1445,0.1359,0.1599,0.2036,0.2178,0.1959,0.1934,0.2159,0.1990
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,66400000,71600000,72100000,65200000,58100000,63300000,75200000,75600000,71700000,116200000,124600000,131000000,133300000,- -,150900000,143100000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161600000,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,66400000,71600000,72100000,65200000,58100000,63300000,75200000,75600000,71700000,116200000,124600000,131000000,133300000,161600000,150900000,143100000,148900000
9,Other Expenses,76700000,- -,28000000,89700000,32300000,33400000,32500000,30000000,24800000,28100000,48800000,28200000,29700000,44000000,59000000,52900000,49800000,50800000,55100000,54100000,57700000
10,Operating Expenses,76700000,- -,28000000,89700000,98700000,105000000,104600000,95200000,82900000,91400000,124000000,103800000,101400000,160200000,183600000,183900000,183100000,212400000,206000000,197200000,206600000
11,COGS and Expenses,708100000,28700000,754000000,888100000,956200000,1074800000,1197000000,1235200000,1029500000,1146500000,1459900000,1428400000,1366100000,1503900000,1550300000,1311800000,1337200000,1587500000,1636000000,1505900000,1551100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),24500000,22900000,37700000,38500000,52300000,61900000,45900000,40800000,36300000,27100000,27200000,27900000,26800000,39100000,50700000,50800000,42500000,56300000,62500000,48900000,40500000
