,https://roic.ai/company/NKTX,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,6550000,115385,- -,- -
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -
5,Research and Development Exp.,4252210,17216955,36220000,63412000
6,General and Administrative Exp.,2654239,5246960,15288000,23017000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2654239,5246960,15288000,23017000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,6906449,22463915,51508000,86429000
11,COGS and Expenses,6906449,22463915,51508000,- -
12,Interest Income ,81946,304106,313000,370000
13,Interest Expense (Gain),- -,472819,- -,- -
14,Depreciation and Amortization,183214,400641,786000,- -
15,EBITDA,-91289,-20202375,-90575000,-86429000
16,EBITDA ratio,-0.0139,-175.0867,-Infinity,-Infinity
17,Operating Income,-356449,-22348530,-51508000,-86429000
18,Operating Income ratio,-0.0544,-193.6866,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),81946,1272695,-39853000,354000
20,Income Before Tax,-274503,-21075835,-91361000,-86075000
21,Income Before Tax Ratio,-0.0419,-182.6566,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-274503,-21075835,-91361000,-86075000
24,Net Income ratio,-0.0419,-182.6566,-Infinity,-Infinity
25,EPS,-0.05,-4.19,-5.44,-2.62
26,EPS Diluted,-0.05,-4.19,-5.44,-2.62
27,Weighted Average Shares Outstanding,5027005,5027005,16806262,32902723
28,Weighted Average Shares Outstanding Diluted,5027005,5027005,16806262,32902723
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1787400/000156459021015517/0001564590-21-015517-index.htm,https://www.sec.gov/Archives/edgar/data/1787400/000095017022004095/0000950170-22-004095-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,7866674,20606849,96692000,60816000
32,Short-Term Investments,- -,16384273,218221000,- -
33,Cash and Short-Term Investments,7866674,36991122,314913000,60816000
34,Net Receivables,150000,- -,- -,- -
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,211706,473922,3922000,184964000
37,Total Current Assets,8228380,37465044,318835000,245780000
38,PP&E,- -,- -,17855000,24534000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,- -,177272000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,1376918,10946708,960000,-173683000
45,Total Non-Current Assets,1376918,10946708,18815000,28123000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,9605298,48411752,337650000,273903000
48,Accounts Payable,367172,1881665,1176000,1112000
49,Short-Term Debt,- -,- -,1402000,2484000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,1709467,6328095,6253000,9347000
53,Total Current Liabilities,2076639,8209760,8831000,12943000
54,Long-Term Debt,- -,- -,- -,9975000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
