,https://roic.ai/company/PIAC,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66566,817046,-301755,-5188208,-2180989,-1630357,1935056,-6425065,904943,874536
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,904943,- -
4,Gross Profit Ratio,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125085,118706,109055,261716,3657778,2018707,1135917,1769783,1454653,1291191,537655
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125085,118706,109055,261716,3657778,2018707,1135917,1769783,1454653,1291191,537655
9,Other Expenses,67327,52838,22479,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,413928,287131,1216667
10,Operating Expenses,67327,52838,22479,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1868581,1578322,1754322
11,COGS and Expenses,67327,52838,22479,128907,46455,477341,220418,779206,445596,314152,298027,165374,125446,118706,109055,261716,4314257,2660081,1543526,2172533,- -,1578322,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,984,499,1608,- -,- -,- -,3075642,1489207,1414838,1933907,1115620,783633,- -
13,Interest Expense (Gain),- -,1964,2370,- -,- -,- -,- -,- -,- -,- -,984,499,1608,3467,2736,250,4685,83200,62960,46568,3527,3598,188
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,26171,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-67327,-52838,-22479,-183264,-46455,690675,-220418,-2981671,-2049918,-494525,-1110791,-70132,- -,-48673,710727,-563221,-8843351,-4116521,-2486755,211841,-8290119,-669781,-879598
16,EBITDA ratio,-67327.0000,-52838.0000,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-0.7312,0.8699,1.8665,1.7045,1.8875,1.5253,0.1095,1.2903,-0.7401,-1.0058
17,Operating Income,-67326,52837,22479,128907,46455,477341,220418,779206,445596,314152,298027,165374,-125446,118706,111791,261966,1226442,-373747,890020,1057424,- -,-673379,- -
18,Operating Income ratio,-67326.0000,52837.0000,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,-Infinity,1.7833,0.1368,-0.8681,-0.2364,0.1714,-0.5459,0.5465,- -,-0.7441,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,54357,-92910,-2122698,-440836,-1558412,879993,-402386,-596054,-267264,-1005124,-170846,596200,-825437,-10074478,-3825974,-3439735,-892151,- -,- -,- -
