,https://roic.ai/company/BAND,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,137801000,152135000,162955000,204113000,232594000,343113000,490907000
2,COGS,79242000,85218000,89262000,108145000,124959000,185252000,272384000
3,Gross Profit,58559000,66917000,73693000,95968000,107635000,157861000,218523000
4,Gross Profit Ratio,0.4250,0.4399,0.4522,0.4702,0.4628,0.4601,0.4451
5,Research and Development Exp.,7375000,8520000,10789000,20897000,31461000,42059000,55173000
6,General and Administrative Exp.,34602000,33859000,37069000,47588000,58847000,88755000,113770000
7,Selling and Marketing Exp.,8620000,9294000,11218000,20731000,35020000,40552000,51817000
8,"Selling, General and Administrative Exp.",43222000,43153000,48287000,68319000,93867000,129307000,165587000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,50597000,51673000,59076000,89216000,125328000,171366000,220760000
11,COGS and Expenses,129839000,136891000,148338000,197361000,250287000,356618000,493144000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,7075000,6142000,5712000,5824000,13807000,21615000,42364000
15,EBITDA,783000,17406000,18601000,12877000,-1417000,-7357000,11169000
16,EBITDA ratio,0.0057,0.1144,0.1141,0.0631,-0.0061,-0.0214,0.0228
17,Operating Income,7962000,15244000,14617000,6752000,-17693000,-13505000,-2237000
18,Operating Income ratio,0.0578,0.1002,0.0897,0.0331,-0.0761,-0.0394,-0.0046
19,Total Other Income Expenses (Gains),-589000,-908000,-1728000,301000,2469000,-15467000,-28958000
20,Income Before Tax,7373000,14336000,12889000,7053000,-15224000,-28972000,-31195000
21,Income Before Tax Ratio,0.0535,0.0942,0.0791,0.0346,-0.0655,-0.0844,-0.0635
22,Income Tax expense (Gain),408000,-11094000,6918000,-10870000,-17718000,15005000,-3833000
23,Net Income,-6700000,22358000,5971000,17923000,2494000,-43977000,-27362000
24,Net Income ratio,-0.0486,0.1470,0.0366,0.0878,0.0107,-0.1282,-0.0557
25,EPS,-0.43,1.89,0.42,0.96,0.11,-1.83,-1.14
26,EPS Diluted,-0.43,1.74,0.37,0.85,0.10,-1.83,-1.14
27,Weighted Average Shares Outstanding,13581619,13453568,12590221,18573067,22640461,24092574,24092574
28,Weighted Average Shares Outstanding Diluted,14572606,14645632,14543170,21140382,23923777,24092574,24092574
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1514416/000151441618000003/0001514416-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1514416/000151441619000011/0001514416-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1514416/000151441620000027/0001514416-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/1514416/000151441622000040/0001514416-22-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1514416/000151441622000054/0001514416-22-000054-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,10059000,6788000,37627000,41261000,185004000,72163000,331453000
32,Short-Term Investments,- -,- -,- -,17400000,- -,40000000,- -
33,Cash and Short-Term Investments,10059000,6788000,37627000,58661000,185004000,112163000,331453000
34,Net Receivables,12795000,16838000,21225000,24009000,30187000,55243000,61572000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,9287000,4417000,6400000,8744000,11758000,26193000,19860000
37,Total Current Assets,32141000,28043000,65252000,91414000,226949000,193599000,412885000
38,PP&E,10257000,11180000,14946000,25136000,62685000,71136000,83665000
39,Goodwill,6867000,6867000,6867000,6867000,6867000,372239000,344423000
40,Intangible Assets,10068000,8482000,7643000,7089000,6569000,248055000,211217000
41,Intangible Assets,16935000,15349000,14510000,13956000,13436000,620294000,555640000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,12694000,6526000,17359000,34861000,- -,- -
44,Other Non-Current Assets,3813000,2707000,3260000,2555000,3485000,5579000,13349000
45,Total Non-Current Assets,31005000,41930000,39242000,59006000,114467000,697009000,652654000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,63146000,69973000,104494000,150420000,341416000,890608000,1065539000
48,Accounts Payable,4445000,4688000,3025000,3418000,4190000,11665000,9142000
49,Short-Term Debt,17102000,7101000,92000,- -,4876000,5698000,5984000
50,Tax Payable,4647000,2769000,3030000,4742000,5439000,9142000,11046000
51,Deferred Revenue,4645000,4032000,5768000,7912000,9344000,11944000,12628000
