,https://roic.ai/company/GENH,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,28027,180493,189390,390741,452059,412396,558153,7500,90000,674524
2,COGS,- -,- -,- -,31067,47351,82111,57088,46842,117826,- -,- -,652521
3,Gross Profit,- -,- -,28027,149426,142039,308630,394971,365554,440327,7500,90000,22003
4,Gross Profit Ratio,- -,- -,1.0000,0.8279,0.7500,0.7899,0.8737,0.8864,0.7889,1.0000,1.0000,0.0326
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,24464,- -,64942,153907,273995,260057,354803,350858,406544,997348,1141957,7787081
7,Selling and Marketing Exp.,- -,- -,7958,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",24464,- -,72900,153907,273995,260057,354803,350858,406544,997348,1141957,7787081
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,15609,- -,- -
10,Operating Expenses,- -,- -,72900,153907,273995,260057,354803,350858,406544,1012957,1141957,7787081
11,COGS and Expenses,24464,64049,72900,184974,321346,342168,411891,397700,524370,1012957,1312837,9796142
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,2696,1,- -
13,Interest Expense (Gain),- -,- -,937,309,10573,59049,59175,65742,65116,179986,286372,708338
14,Depreciation and Amortization,- -,- -,- -,- -,8378,26025,23843,22646,21986,15609,71000,1340
15,EBITDA,-24464,-64049,-44873,-4481,-120531,74598,64011,51902,61797,-7713344,-1195977,-9113050
16,EBITDA ratio,-Infinity,-Infinity,-1.6011,-0.0248,-0.6364,0.1909,0.1416,0.1259,0.1107,-1028.4459,-13.2886,-13.5103
17,Operating Income,-24464,-64049,-44873,-4481,-131956,48573,40168,14696,33783,-6721879,-1222837,-9792762
18,Operating Income ratio,-Infinity,-Infinity,-1.6011,-0.0248,-0.6967,0.1243,0.0889,0.0356,0.0605,-896.2505,-13.5871,-14.5180
19,Total Other Income Expenses (Gains),- -,- -,- -,-309,-7526,-59049,-59175,-51182,-59088,-394331,-330512,-29966
20,Income Before Tax,- -,- -,- -,-4790,-139482,-10476,-19007,-36486,-25305,-7116210,-1553349,-9822728
21,Income Before Tax Ratio,- -,- -,- -,-0.0265,-0.7365,-0.0268,-0.0420,-0.0885,-0.0453,-948.8280,-17.2594,-14.5625
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-24464,-64049,-45810,-4790,-139482,-10476,-19007,-36486,-25305,-7908939,-1553349,-9822728
24,Net Income ratio,-Infinity,-Infinity,-1.6345,-0.0265,-0.7365,-0.0268,-0.0420,-0.0885,-0.0453,-1054.5252,-17.2594,-14.5625
25,EPS,-0.00,-0.01,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,-4.01,-0.09,-0.57
26,EPS Diluted,-0.00,-0.01,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,-4.01,-0.09,-0.09
27,Weighted Average Shares Outstanding,11365000,11415972,11577033,11725800,12735947,13205450,13205450,13205450,13210510,1973662,17346164,17346164
28,Weighted Average Shares Outstanding Diluted,11365000,11415972,11577033,11725800,12735947,13205450,13205450,13205450,13210510,1973662,107998708,107998708
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527102/000107997419000164/0001079974-19-000164-index.htm,https://www.sec.gov/Archives/edgar/data/1527102/000121390020042822/0001213900-20-042822-index.htm,https://www.sec.gov/Archives/edgar/data/1527102/000121390021019142/0001213900-21-019142-index.htm,https://www.sec.gov/Archives/edgar/data/1527102/000121390022019464/0001213900-22-019464-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,7982,106,9408,14205,36848,45210,60202,49437,63704,101337,2776,21
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7982,106,9408,14205,36848,45210,60202,49437,63704,101337,2776,21
34,Net Receivables,- -,- -,- -,- -,- -,500,500,4176,500,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213
36,Other Current Assets,7000,- -,280,- -,753,706,1737,- -,1169,20835,- -,5
37,Total Current Assets,14982,106,9688,14205,37601,46416,62439,53613,65373,122172,2776,238
38,PP&E,- -,- -,- -,- -,867547,843106,820203,797557,- -,1191031,1222,2844
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1858
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2658
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,32959,23077,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,1050,1050,1400,1400,777393,1196161,-23077,407
45,Total Non-Current Assets,- -,- -,- -,- -,868597,844156,821603,798957,777393,2420151,1222,5909
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14982,106,9688,14205,906198,890572,884042,852570,842766,2542323,3999,6146
48,Accounts Payable,3040,9115,15959,6311,9462,- -,18336,21017,7840,685692,1054,883
49,Short-Term Debt,- -,- -,- -,- -,21696,22458,31685,20487,791446,2334960,3956053,2786
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,11518,30066,49021,72765,89580,85284,109905,146316,1832491,-3951121,768
53,Total Current Liabilities,3040,20633,46025,55332,103923,112038,135305,151409,945602,4853143,5986,4438
54,Long-Term Debt,- -,- -,- -,- -,824919,811654,800864,789774,- -,- -,25,162
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-19000,- -,163990,- -,163
58,Total Non-Current Liabilities,- -,- -,- -,- -,824919,811654,800864,770774,- -,163990,25,325
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,44333,- -,- -
61,Total Liabilities,3040,20633,46025,55332,928842,923692,936169,922183,945602,5017133,6155,4763
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,4975503,4975503,- -
