,https://roic.ai/company/SGMA,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,36700000,45300000,69600000,87200000,85700000,88200000,88884591,80890699,84770921,93165149,100494122,106076965,124786476,165909106,167810994,133744642,122476340,151728084,156635984,198439534,222485940,230237161,253904146,252235794,278131709,290553951,281042482,277718672
2,COGS,30000000,36300000,58600000,73500000,75900000,77700000,78888937,75825592,74662397,75732616,81378192,87509391,109986377,148150350,148247604,117769739,108719103,135940878,141381443,178513888,199658942,208168323,228385615,228194867,251528791,264212182,255937592,252766475
3,Gross Profit,6700000,9000000,11000000,13700000,9800000,10500000,9995654,5065107,10108524,17432533,19115930,18567574,14800099,17758756,19563390,15974903,13757237,15787206,15254541,19925646,22826998,22068838,25518531,24040927,26602918,26341769,25104890,24952197
4,Gross Profit Ratio,0.1826,0.1987,0.1580,0.1571,0.1144,0.1190,0.1125,0.0626,0.1192,0.1871,0.1902,0.1750,0.1186,0.1070,0.1166,0.1194,0.1123,0.1040,0.0974,0.1004,0.1026,0.0959,0.1005,0.0953,0.0956,0.0907,0.0893,0.0898
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,6000000,5600000,5900000,5721593,5752984,6775308,8581932,9664903,10919006,10925646,12872353,12375458,11591440,10826880,11460908,12611673,18358354,19200514,19431637,21194211,20774729,23089939,23263117,22292309,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3300000,4400000,4900000,6000000,5600000,5900000,5721593,5752984,6775308,8581932,9664903,10919006,10925646,12872353,12375458,11591440,10826880,11460908,12611673,18358354,19200514,19431637,21194211,20774729,23089939,23263117,22292309,21562413
9,Other Expenses,400000,600000,800000,1100000,1300000,1500000,1799065,- -,- -,- -,- -,- -,- -,- -,9298945,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3700000,5000000,5700000,7100000,6900000,7400000,7520658,5752984,6775308,8581932,9664903,10919006,10925646,12872353,21674403,11591440,10826880,11460908,12611673,18358354,19200514,19431637,21194211,20774729,23089939,23263117,22292309,21562413
11,COGS and Expenses,33700000,41300000,64300000,80600000,82800000,85100000,86409595,81578576,81437705,84314548,91043095,98428397,120912023,161022703,169922007,129361179,119545983,147401786,153993116,196872242,218859456,227599960,249579826,248969596,274618730,287475299,278229901,274328888
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1710817,821263,1154352,1025325,832126,966038,1081323,1004988,1135853,1537446,2413297,1839060,1210024
14,Depreciation and Amortization,400000,600000,800000,1100000,1300000,1500000,1799065,1994084,1905611,2540747,2682530,3249055,4231543,4758197,4507811,4384986,4252242,4604422,4182694,4654888,5138343,5413882,5590275,5198886,5553340,5382165,7397719,7668397
15,EBITDA,2800000,3600000,4600000,6300000,2100000,4300000,3071834,138454,4391270,11178014,11638300,11030422,7049264,7352700,-293507,8987928,8438834,8940322,6864514,6301338,8889205,8199666,10080459,8832422,2788464,8661763,10329913,10977181
16,EBITDA ratio,0.0763,0.0795,0.0661,0.0722,0.0245,0.0488,0.0346,0.0017,0.0518,0.1200,0.1158,0.1040,0.0565,0.0443,-0.0017,0.0672,0.0689,0.0589,0.0438,0.0318,0.0400,0.0356,0.0397,0.0350,0.0100,0.0298,0.0368,0.0395
17,Operating Income,3000000,4000000,5300000,6600000,2900000,3100000,2474996,-687877,3333216,8850601,9451027,7648568,3874453,4886403,-2111013,4383463,2930357,4326298,2642868,1567292,3626484,2637201,4324320,3266198,-2909450,3078652,2812581,3389784
18,Operating Income ratio,0.0817,0.0883,0.0761,0.0757,0.0338,0.0351,0.0278,-0.0085,0.0393,0.0950,0.0940,0.0721,0.0310,0.0295,-0.0126,0.0328,0.0239,0.0285,0.0169,0.0079,0.0163,0.0115,0.0170,0.0129,-0.0105,0.0106,0.0100,0.0122
19,Total Other Income Expenses (Gains),-600000,-1000000,-1500000,-1400000,-2100000,-300000,-1114727,-1167753,-847557,-213334,-232292,267133,-1012566,-2291900,-2690305,-1491338,434972,-1144750,-986373,-752968,-841660,-932740,-839124,-768515,-1392872,-2212351,-1719447,-1291024
20,Income Before Tax,2400000,3000000,3800000,5200000,800000,2800000,1360269,-1855630,2485659,8637267,9218735,7915701,2861887,2594503,-4801318,2892125,3365329,3181548,1656495,814324,2784824,1704461,3485196,2497683,-4302322,866301,1093134,2098760
21,Income Before Tax Ratio,0.0654,0.0662,0.0546,0.0596,0.0093,0.0317,0.0153,-0.0229,0.0293,0.0927,0.0917,0.0746,0.0229,0.0156,-0.0286,0.0216,0.0275,0.0210,0.0106,0.0041,0.0125,0.0074,0.0137,0.0099,-0.0155,0.0030,0.0039,0.0076
22,Income Tax expense (Gain),500000,1100000,1400000,1900000,300000,1100000,506122,-699866,943603,3251551,3550038,3082568,935589,896179,1655518,936278,1120786,1203514,522171,321363,-133867,801049,1402537,1107477,-1060452,1731415,650032,557741
23,Net Income,1900000,1900000,2400000,3300000,500000,1700000,766647,-1155764,1542056,5385716,5405732,4698799,1882132,1698324,-6456836,1955847,2244543,1978034,1134324,492961,2918691,903412,2082659,1390206,-3241870,-865114,443102,1541019
24,Net Income ratio,0.0518,0.0419,0.0345,0.0378,0.0058,0.0193,0.0086,-0.0143,0.0182,0.0578,0.0538,0.0443,0.0151,0.0102,-0.0385,0.0146,0.0183,0.0130,0.0072,0.0025,0.0131,0.0039,0.0082,0.0055,-0.0117,-0.0030,0.0016,0.0055
25,EPS,0.59,0.69,0.86,1.11,0.18,0.59,0.27,-0.40,0.54,1.87,1.58,1.25,0.50,0.45,-1.69,0.51,0.59,0.52,0.29,0.13,0.74,0.22,0.50,0.33,-0.77,-0.20,0.10,0.36
26,EPS Diluted,0.59,0.69,0.86,1.08,0.18,0.59,0.27,-0.40,0.52,1.61,1.53,1.23,0.48,0.44,-1.69,0.51,0.58,0.51,0.29,0.12,0.72,0.22,0.49,0.33,-0.77,-0.20,0.10,0.36
27,Weighted Average Shares Outstanding,3220339,2753623,2790698,2940289,2777778,2881356,2839433,2889410,2881227,2885652,3423999,3751792,3756804,3791077,3811832,3822556,3863505,3803912,3911462,3792008,3944177,4106418,4165318,4212745,4210221,4325570,4431020,4280608
28,Weighted Average Shares Outstanding Diluted,3220339,2753623,2790698,3000680,2777778,2881356,2839433,2889410,2967258,3345165,3541297,3815549,3894731,3879155,3811832,3859526,3863505,3890949,3911462,4003887,4074487,4116424,4224030,4213592,4210221,4325570,4431020,4301981
